ID Salary Experience Employed Education Gender Department
77 72369 3 22 10 M 4
31 69246 3 22 10 M 4
70 30860 0 2 3 F 2
16 35468 5 9 4 F 2
133 49097 5 15 6 M 3
78 51818 19 6 8 M 4
101 29271 6 5 1 M 1
76 31783 4 21 5 M 1
40 26578 6 0 2 F 2
64 32820 6 18 5 F 1
173 37995 4 6 4 M 4
179 47727 5 15 6 M 3
55 22540 6 5 1 M 1
122 38514 4 21 5 M 1
105 36399 6 6 4 F 4
69 49334 5 14 6 F 4
155 36769 4 4 8 M 3
19 36487 5 6 2 M 4
167 41340 16 22 7 M 1
43 56326 3 12 8 M 2
91 17741 2 6 0 F 1
164 38436 7 18 9 M 1
84 44378 4 9 6 M 4
82 55550 3 20 6 F 3
61 71548 2 25 12 M 4
97 34756 5 7 4 F 4
149 23845 0 0 0 F 3
119 54795 0 25 6 M 3
1 65487 0 27 12 F 4
158 37739 9 19 4 M 3
67 24520 11 3 3 M 1
30 38791 4 21 5 M 1
114 34519 4 5 4 M 4
172 28436 1 0 4 F 1
48 49307 3 20 4 M 4
27 53234 0 25 6 M 3
52 38610 2 8 2 F 4
132 26478 6 0 2 F 2
138 26339 3 1 2 F 4
60 36451 6 3 6 F 2
89 57310 3 12 8 M 2
153 70789 2 25 12 M 4
150 41695 3 9 6 F 4
59 39635 6 6 4 F 4
168 38242 4 21 5 M 1
176 43619 4 9 6 M 4
118 38708 7 18 9 M 1
151 38876 6 6 4 F 4
95 32505 1 0 7 M 1
99 26435 1 5 0 M 4
