ID Salary Experience Employed Education Gender Department
52 38610 2 8 2 F 4
40 26578 6 0 2 F 2
144 37851 2 8 2 F 4
15 68425 2 25 12 M 4
93 65374 0 27 12 F 4
162 29999 0 2 3 F 2
56 37354 2 6 6 M 4
33 34987 6 9 2 F 4
89 57310 3 12 8 M 2
101 29271 6 5 1 M 1
4 54899 5 12 8 F 4
37 39743 6 9 5 F 4
165 53425 0 25 6 M 3
156 39279 6 18 5 F 1
168 38242 4 21 5 M 1
24 29876 0 2 3 F 2
67 24520 11 3 3 M 1
174 54870 3 20 6 F 3
83 42866 6 9 5 F 4
138 26339 3 1 2 F 4
11 23654 0 0 0 F 3
32 48695 19 6 8 M 4
114 34519 4 5 4 M 4
69 49334 5 14 6 F 4
79 38110 6 9 2 F 4
149 23845 0 0 0 F 3
58 42454 3 9 6 F 4
137 24472 2 6 0 F 1
90 32296 6 7 5 F 3
10 34231 2 6 6 M 4
167 41340 16 22 7 M 1
31 69246 3 22 10 M 4
131 36331 4 9 4 F 2
181 56449 3 12 8 M 2
134 36471 1 6 4 M 2
146 32371 3 15 9 F 1
176 43619 4 9 6 M 4
36 54679 3 20 6 F 3
70 30860 0 2 3 F 2
160 36996 4 5 4 M 4
18 39828 6 18 5 F 1
17 36578 4 4 8 M 3
150 41695 3 9 6 F 4
95 32505 1 0 7 M 1
38 41255 4 9 6 M 4
119 54795 0 25 6 M 3
155 36769 4 4 8 M 3
177 36554 4 9 4 F 2
9 29548 6 5 1 M 1
78 51818 19 6 8 M 4
