ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
93 1 1 5 0 65
210 1 1 18 0 65
186 2 0 21 0 100
46 1 1 16 1 60
192 1 1 11 0 60
1 1 1 13 0 50
209 1 1 4 1 50
109 2 0 17 0 80
173 2 0 14 1 70
10 1 1 12 1 65
229 1 1 7 0 50
95 1 0 17 0 80
40 1 1 23 0 60
251 1 1 5 1 60
256 2 1 9 0 90
104 2 0 22 0 50
187 2 0 16 0 40
170 2 1 3 1 70
227 1 1 17 0 55
205 1 0 5 1 60
224 1 1 17 1 50
188 2 1 12 0 55
235 1 1 4 1 55
88 1 1 16 1 70
27 1 0 18 1 45
163 2 0 19 1 40
43 1 1 19 0 65
146 2 1 6 1 50
65 1 1 8 1 40
54 1 1 21 0 50
233 1 0 3 0 55
253 1 1 10 0 70
184 2 0 7 0 40
225 1 1 3 0 45
197 1 1 5 1 55
238 2 0 17 1 45
62 1 1 14 0 60
86 1 1 3 0 70
72 1 1 6 1 80
53 1 1 16 0 65
87 1 1 17 0 80
189 1 1 4 1 75
134 2 1 7 1 70
73 1 0 13 0 80
14 1 1 19 0 70
96 1 1 6 0 50
169 2 0 18 0 80
11 1 0 5 1 80
36 1 1 12 1 55
28 1 1 12 1 55
44 1 0 18 0 70
181 2 1 7 0 100
262 2 1 17 0 80
69 1 0 18 0 75
89 1 1 21 0 35
257 1 1 6 0 50
240 1 1 5 1 55
255 1 0 10 1 60
236 1 0 11 0 60
50 1 1 18 0 65
218 1 1 11 0 45
34 1 0 18 0 60
198 1 1 11 0 45
133 2 1 21 0 40
250 1 1 4 0 40
153 2 1 9 0 45
99 1 1 16 0 70
252 1 1 6 1 60
243 1 0 3 1 50
81 1 1 9 0 65
45 1 1 16 0 60
32 1 1 20 0 80
19 1 1 16 0 80
90 1 0 13 0 50
177 2 0 3 1 40
16 1 1 12 1 60
30 1 1 9 1 50
84 1 1 12 1 55
129 2 0 20 0 70
217 1 1 14 0 55
264 1 1 3 0 40
239 1 0 3 0 40
71 1 0 19 1 60
228 1 1 6 1 50
214 1 0 17 0 40
178 2 0 32 0 80
194 1 0 10 1 50
85 1 1 7 0 40
234 1 1 8 1 60
119 2 0 21 0 65
206 1 1 7 1 40
137 2 0 18 0 70
121 2 0 18 0 70
263 2 0 17 0 65
102 1 1 15 0 65
105 2 0 5 0 50
58 1 1 20 1 60
193 2 0 17 1 65
176 2 1 4 1 70
22 1 1 7 1 60
258 2 1 11 0 55
143 2 0 33 0 80
201 1 1 4 0 20
55 1 1 5 0 65
219 1 1 11 1 60
221 1 0 11 0 40
80 1 0 11 1 60
165 2 0 34 1 80
38 1 1 18 0 55
207 1 0 4 1 40
52 1 1 15 0 30
164 2 1 10 0 55
259 2 0 17 1 50
113 2 1 4 1 60
82 1 1 8 1 60
4 1 1 6 0 30
200 1 1 14 1 40
92 1 0 5 1 65
70 1 1 11 0 65
245 1 1 5 1 60
24 1 1 9 0 55
106 2 1 14 0 55
100 1 1 23 0 70
2 1 1 9 1 55
31 1 0 19 0 60
118 2 0 17 0 70
5 1 1 8 1 65
97 1 0 15 1 75
195 1 0 14 1 75
41 1 1 17 1 60
162 2 1 8 1 70
15 1 1 7 1 60
61 1 1 6 1 70
68 1 0 14 0 80
57 1 1 18 1 70
211 1 1 6 0 55
160 2 1 5 0 40
161 2 0 18 1 80
158 2 0 10 1 60
126 2 0 18 0 110
64 1 1 16 0 65
150 2 1 5 0 40
67 1 1 12 0 60
254 1 0 15 0 50
26 1 1 8 1 65
76 1 1 8 0 70
215 1 0 7 1 50
131 2 0 11 0 70
223 2 1 5 1 80
249 2 0 12 1 80
