Industry experience age publications phds masters ranking
no 9.33819165544446 46.0192091728607 368 27 255 37.6835
no 12.422602519336 42.5381801974228 517 38 342 -4.0534
yes 10.4160002860173 44.2993414871815 759 50 644 61.8504
no 13.0040757469223 37.4863774803473 593 31 332 24.5515
yes 9.64384883984221 41.7303767986751 770 37 599 65.4695
no 10.4449833752428 42.5981323929753 390 36 299 39.1483
yes 9.09345616188581 40.9914179218611 756 37 592 52.1903
no 10.6995387970588 44.3908428701895 453 25 267 46.6734
no 12.0698478149468 38.8061778727458 465 17 238 51.4918
yes 10.9728760234058 39.1927865098821 814 43 645 55.5672
no 10.8996555874677 40.9262002455768 467 33 305 19.686
no 10.4865512268952 44.4017889525408 620 38 372 51.3359
no 12.2038946026147 41.560417567916 361 15 200 25.2479
no 9.50017280213559 42.3457388933314 496 35 324 35.2497
no 12.156701743514 38.0791482593326 480 30 296 61.2141
no 11.2827281286125 43.1071142980743 447 25 269 18.2558
no 9.36545864070265 42.392931583708 568 30 323 59.3887
no 12.4499648437034 41.2283645547938 459 39 329 36.2021
no 8.14349727687669 40.878832767458 415 32 288 22.7724
no 10.1652584285731 39.5604525254644 455 22 258 40.7057
yes 12.9934931057907 42.3482951640601 838 42 654 54.7547
yes 11.1453444721193 41.597822144733 731 32 558 60.4793
no 11.3512769481951 40.7427605102054 336 26 240 43.7776
no 12.1122737185828 44.3777774864649 582 28 316 27.7058
no 9.70152900096531 35.598604319879 421 36 305 29.6988
yes 10.2432458199759 41.6840361985414 755 34 577 73.4676
no 10.0051840640679 40.8833554002858 523 23 280 30.2514
yes 11.5956310853166 38.1650564345922 769 44 625 63.8082
no 9.25496061303047 42.0939134538495 421 32 290 19.3435
no 10.6238395442791 40.5672299201657 536 32 322 32.5605
no 13.0099867716986 39.2412682598569 507 27 293 -4.6126
yes 9.91699538797059 40.6927493674869 758 36 587 58.8468
no 8.80925027707929 43.8956691967192 331 23 228 36.8731
no 12.1518394489399 40.8432416134657 460 29 286 35.4801
no 11.7400698358976 41.6730027223191 503 32 313 8.036
no 10.0118578017185 42.8069818963596 411 31 284 44.441
yes 10.3102692138099 39.6057007022098 745 48 629 56.9042
no 7.67671699777145 43.6466403611115 447 26 269 26.9411
yes 12.251278139934 41.6216151261312 795 36 608 83.6589
no 12.2339264220424 39.134756979493 521 30 311 57.2744
