X1 X2 X3 X4 X5 Y1 Y2 Y3
0.41 -0.97 0.29 0.25 -0.89 0.31 1.87 2.61
-1.49 -0.86 -0.8 0.15 -0.72 -1.07 0.3 -2.74
-0.34 -0.78 0.12 1.98 1.35 -3.8 -6.82 -6.84
1.44 0.49 0.48 -0.19 0.62 -0.47 0.74 4.81
-1.71 -0.19 1.11 0.76 0.51 3.26 -1.63 0.8
-0.93 1.34 -1.87 -1.15 -0.42 1.44 -0.39 -4.23
0.2 -1.66 0.42 -0.23 -0.2 -1.34 1.92 0.09
0.06 0.16 0.22 -1.45 -1.38 3.31 6.15 3.72
0.37 -0.24 0.82 -1.55 1.48 0.33 0.78 4.63
1.65 0.29 1.58 -1.04 0.48 4.75 3.72 6.91
1.25 -0.13 0.71 0.18 1.11 0.89 0.05 3.01
0.03 -0.77 0.59 -0.06 -0.57 0.05 1.41 2.07
-1.39 1.33 -1.2 -0.35 2.47 -1.3 -6.22 -4.6
-1.51 0.09 1.24 0.23 -0.6 4.4 0.32 -1.66
-1.02 1.55 1.62 0.05 -1.51 6.33 2.52 4.72
1.36 -0.03 0.71 0.21 -0.64 2.03 2.58 1.17
0.58 0.52 0.59 1.78 1.59 -1.51 -4.91 -1.64
0.63 -0.91 -0.77 0.15 -0.88 -1.75 1.22 -1.25
-1.78 -2.36 1.25 1.08 0.6 -0.42 -1.99 -3.5
-0.17 -0.8 0.43 1.48 -0.51 -2.41 -0.64 -1.33
1.49 1.99 -0.47 1.43 0.1 -0.18 -4.03 5.22
-0.11 -0.11 1.66 0.93 0.42 2.99 -0.24 2.34
0.18 -0.13 -0.76 0.1 0.01 -2.63 -1.06 0.57
1.25 -0.13 0.71 0.18 1.11 -0.09 -0.65 0.36
1.25 -0.13 0.71 0.18 1.11 0.31 -0.27 -1.77
-0.41 1.05 -0.22 0.65 -1.16 0.99 -0.54 0.71
-0.41 0.26 0.83 0.56 0.75 3.03 -1.56 0.6
0.73 -0.07 -0.62 1.84 -0.94 -4.51 -3.16 0.2
-0.51 -0.24 1.13 -0.82 0.73 2.73 2.66 1.09
2.02 -0.87 0.43 1.67 -0.01 -3.77 -1.32 -3.4
0.34 -0.54 -0.48 0.79 0.26 -2.56 -2.86 -4.98
1.3 -1.71 0.46 -0.09 -0.5 -1.04 2.15 -0.2
0.33 -0.23 1.98 -1.81 0.19 7.74 6.21 6.27
-1.77 -0.43 -0.07 0.13 1.8 -1.15 -3.78 -4.98
0.48 -1.08 -0.33 -1.31 0.27 -0.92 2.77 -2.25
1.12 -0.35 -0.85 -0.85 -1.63 -2.59 4.33 6.29
0.2 0.8 1.61 -0.8 0.3 5.16 2.64 6.22
0.04 -0.51 0.56 2.16 -1.08 -0.86 -2.53 -1.85
0.65 0.81 1.43 -0.58 0.09 2.59 2.89 5.19
1.28 -1.15 -0.86 -1.22 1.19 -4.71 0.87 2.7
-0.02 -1.67 0.13 0.39 0.29 -1.2 -1.02 2.8
0.13 0.64 0.8 0.29 -0.07 4.65 0.58 0.95
-1.35 -1.51 0.63 -1.42 -0.53 0.68 4.96 0.85
-0.99 2.17 -1.34 0.15 0 -1.24 -3.12 -4.06
1.25 -0.13 0.71 0.18 1.11 0.22 -0.31 -1.4
-1.51 0.09 1.24 0.23 -0.6 1.69 0.42 -0.19
0.13 0.64 0.8 0.29 -0.07 2.09 0.12 3.44
-0.11 -0.11 1.66 0.93 0.42 2.28 -0.96 2.88
1.3 -1.71 0.46 -0.09 -0.5 -1.83 2.32 2.56
0.97 -0.08 0.54 1.97 -0.14 -0.94 -2.98 -0.09
