X1 X2 X3 X4 X5 Y1 Y2 Y3
2.05 1.46 -0.08 -0.39 0.16 2.09 0.97 7.22
0.97 -0.08 0.54 1.97 -0.14 -0.36 -2.07 1.1
-1.71 -0.19 1.11 0.76 0.51 1.92 -2.73 -3.98
-1.49 0.23 -0.71 -0.25 -0.82 -1.28 0.49 0.14
1.09 -0.81 0.89 -0.37 -1.29 2.79 5.04 5.61
-0.91 0.75 1.17 -0.17 0.92 6.02 -0.99 -2.01
-0.74 0.62 -0.46 -1.39 -0.82 1.85 2.99 2.42
0.22 -2.09 2.81 0.83 1.06 2.32 1.28 0.69
-1.91 1.68 -0.41 -0.52 0.55 0.62 -3.16 2.09
0.74 -0.12 0.88 -0.67 0.23 2.67 2.27 3.84
1.14 1.65 0.4 0.17 -0.48 3.67 1.49 6.12
-0.69 -0.41 1.04 0.01 0.51 1.26 -0.48 1.53
-0.14 -0.78 -1.06 1.1 -0.12 -4.59 -3.49 -5.35
-0.53 -1.89 0.01 -0.55 0.36 -1.52 0.36 -5.23
-0.38 1.82 -0.34 -1.43 -0.07 2.44 1.39 3.01
0 0.34 -0.55 -0.41 0.22 0.37 0.29 -2.09
-0.31 0.83 1.59 -0.64 0.33 5.19 2.72 3.09
0.34 0.89 0.72 -0.7 -1.25 5.65 4.38 4.7
0.03 -0.77 0.59 -0.06 -0.57 1.29 1.83 1.98
1.42 -0.27 -0.71 -0.04 0.71 -4.28 -0.09 0.07
1.53 2.18 0.85 -0.34 1.43 4.39 -1.03 8.66
-1.77 -0.43 -0.07 0.13 1.8 -0.72 -3.37 -3.27
-1.02 1.55 1.62 0.05 -1.51 7.02 2.82 6.81
1.03 -0.22 1.2 0.75 -0.41 1.36 1.04 1.39
1.42 -0.27 -0.71 -0.04 0.71 -2.91 -0.62 -3.63
1.24 1.19 0.67 -0.46 -1.54 3.95 4.16 5.92
1.5 -0.81 0.49 0.37 0.37 0.22 0.45 1.34
0.41 -0.36 -0.6 0.59 1.39 -4.75 -4.3 -1.06
-0.14 -0.78 -1.06 1.1 -0.12 -5.06 -1.99 -4.36
1.2 0.16 1.39 0.95 -0.67 1.56 1.49 0
-0.01 1.18 0.67 0.82 -1.82 3.98 0.78 0.59
0.92 -0.19 -0.56 -0.74 1.92 -1.9 -2.29 -1.49
-0.1 0.31 1.07 0.18 -0.28 4.62 1.35 3.16
-0.81 -1.14 -0.41 -0.29 -0.46 -1.63 1.1 -3.14
-0.12 0.43 -0.31 1.31 1.03 -1.8 -4.84 -4.31
-0.08 -0.65 -1.09 -1.14 -1.5 -2.77 3.98 4.22
-1.36 1.13 -0.39 -0.73 0.18 1.58 -0.44 1.43
0 0.34 -0.55 -0.41 0.22 -0.26 -0.8 -0.8
-1.36 -0.23 0.69 1.38 -0.34 -1.54 -1.95 -1.76
-1.57 0.47 -0.85 -0.62 -2.15 0.35 2.92 3.59
-0.91 0.75 1.17 -0.17 0.92 5.37 -1.13 7
-1.71 -0.19 1.11 0.76 0.51 4.27 -1.59 -2.89
0.69 -0.64 0.52 -0.54 -0.94 -0.11 4.31 3.69
-0.17 -0.8 0.43 1.48 -0.51 -2.7 -1.53 -5.27
0.5 1.35 -0.06 -1.47 1.13 2.61 1.29 0.25
-1.8 -0.55 1.85 -0.13 0.84 1.94 -0.35 -1.15
0.5 1.35 -0.06 -1.47 1.13 2.02 0.84 4.37
-0.73 0.68 1.47 -0.91 -0.76 5.97 3.93 5.88
-2.49 1.05 1.01 -0.05 -0.9 5.45 0.49 3.1
1.42 -0.27 -0.71 -0.04 0.71 -2.74 -1.2 -0.42
