X1 X2 X3 X4 X5 Y1 Y2 Y3
1.19 -0.39 0.04 -0.14 -0.4 0.29 1.79 3.99
2.25 -0.4 -1.08 1.58 -0.55 -4.67 -1.6 0.18
0.04 -0.04 0.23 -0.95 1.33 0.54 -0.61 -1.93
1.03 -0.22 1.2 0.75 -0.41 0.07 1.27 4.35
1.42 -0.27 -0.71 -0.04 0.71 -2.04 -0.69 2.07
0.62 0.69 -0.16 0.94 0.49 1 -3.31 -3.41
-0.2 0.89 0.37 -0.46 0.37 2.2 0.21 2.87
0.15 1.68 1.61 1.98 -2.08 5.39 1.04 5.12
-0.54 -1.34 1.01 0.17 -0.47 -1.03 0.48 1.99
0.22 -2.09 2.81 0.83 1.06 2.67 0.46 1.43
0.61 0.06 -0.91 -0.45 -0.94 -0.48 2.48 2.09
0.65 0.81 1.43 -0.58 0.09 4.14 2.04 6.5
-0.32 -0.11 0.17 0.48 1.46 -0.87 -3.73 -3.12
-0.32 -0.11 0.17 0.48 1.46 -0.55 -4 -4.24
-0.84 -0.76 -0.47 0.38 -1.41 -2.42 0.4 -2.28
-0.32 -0.11 0.17 0.48 1.46 -0.09 -2.75 -3.84
1.65 0.29 1.58 -1.04 0.48 3.77 4.48 4.98
0.15 1 -2.06 2.34 1.75 -5.93 -10.03 -5.88
0.11 1.77 0.08 -0.11 -0.43 3.53 0.16 4.7
-1 -0.45 -0.04 2.68 0.03 -4.28 -5.1 -4.39
0.18 -0.13 -0.76 0.1 0.01 -1.67 -1.21 1.71
0 0.35 0.29 -0.85 -0.93 3.06 4.01 3.82
1.19 -0.39 0.04 -0.14 -0.4 -1.05 1.59 3.39
2.25 -0.4 -1.08 1.58 -0.55 -5.82 -2.3 -2.09
-1.35 -1.51 0.63 -1.42 -0.53 2.23 4.86 -3.9
1.58 0.3 1.8 -1.56 -0.03 5.57 5.84 7.03
-0.53 -1.89 0.01 -0.55 0.36 -0.4 1.31 -2.4
2.5 -0.53 0.3 0.01 -0.63 -2.01 2.26 5
0.9 -0.16 -2.75 0 0.2 -7.76 -1.8 -4.18
-0.38 1.82 -0.34 -1.43 -0.07 2.78 2.17 -0.37
-0.32 -0.11 0.17 0.48 1.46 -0.44 -3.93 -4.67
-0.15 -0.54 -0.84 -1.1 0.74 -1.42 -0.34 -2.4
1.14 0.92 -0.68 1.82 -1.23 -0.6 -2.12 1.47
1.14 -0.3 1.64 0.24 1.14 1.95 0.32 2
0.9 -0.52 0.89 -1.62 1.09 2.41 3.42 0.78
-1.2 0.48 0.98 0.1 -0.15 2.17 0.48 5.54
-2.49 1.05 1.01 -0.05 -0.9 5.31 0.88 2.48
-0.2 -0.49 -0.19 -0.51 -0.99 0.39 1.99 -0.51
0.34 0.89 0.72 -0.7 -1.25 2.08 4.33 4.93
0.28 0.22 0.52 -0.2 1.36 -0.22 -1.07 4.52
-0.86 -0.43 -1.94 1.2 0.37 -4.99 -6.07 -0.96
-0.09 0.78 0.38 0.49 0.56 3.32 -1.5 -0.58
0.62 0.69 -0.16 0.94 0.49 -2.33 -2.39 1.53
1.65 0.29 1.58 -1.04 0.48 2.86 3.91 2.37
1.58 1.68 0.99 0.74 1.15 2.62 -1.81 1.37
0.68 -0.69 -2.09 -1.15 -0.06 -7.29 0.21 -3.22
-1.78 -2.36 1.25 1.08 0.6 -1.36 -1.87 -3.71
-0.51 -0.24 1.13 -0.82 0.73 2.76 1.46 2.98
-3.04 -0.46 1.21 -1.08 2.2 3.35 -1.76 -0.69
0.58 0.52 0.59 1.78 1.59 -0.6 -5.7 -0.8
