X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.73 0.68 1.47 -0.91 -0.76 7.24 4.16 6.73
-0.16 -0.9 -1.14 0.43 0.09 -3.41 -1.28 -2.74
1.58 1.68 0.99 0.74 1.15 2.25 -2.95 1.91
-0.3 -0.09 1.37 1.84 1.57 -1.09 -4.72 0.43
-0.54 0.22 0.33 1.35 0.35 0.82 -3.05 0.93
-0.1 0.31 1.07 0.18 -0.28 5.09 0.66 -1.24
0.2 -1.66 0.42 -0.23 -0.2 -1.34 1.92 0.09
0.2 -1.66 0.42 -0.23 -0.2 -0.86 2.72 -0.6
1.58 1.68 0.99 0.74 1.15 0.5 -3.47 6.81
1.34 0.96 0.08 2.99 0.65 -2.3 -7.09 0.36
0.73 -0.07 -0.62 1.84 -0.94 -2.55 -1.9 0.03
-0.09 0.78 0.38 0.49 0.56 0.46 -2.48 2.21
-0.41 1.05 -0.22 0.65 -1.16 1.23 -0.84 -0.37
-0.16 -0.9 -1.14 0.43 0.09 -3.99 -2.75 -6.22
2.05 1.46 -0.08 -0.39 0.16 0.06 0.46 4.53
-0.01 1.18 0.67 0.82 -1.82 4.34 1.96 1.43
0.15 1 -2.06 2.34 1.75 -7.72 -9.7 -6.77
0 0.35 0.29 -0.85 -0.93 4.01 3.74 2.7
-0.19 0.88 -0.57 0.27 1.55 -0.71 -4.33 -0.01
1.14 -0.3 1.64 0.24 1.14 0.9 1.11 3.04
0.22 0.07 -0.83 -0.79 -1.87 0.54 3.53 4.42
1.25 -0.13 0.71 0.18 1.11 0.42 -0.13 2.6
0.61 0.06 -0.91 -0.45 -0.94 -1.75 1.61 2.48
-0.24 1.88 -0.43 -0.96 -0.15 2.73 0.95 1.7
1.58 1.68 0.99 0.74 1.15 2.71 -1.77 0.99
0.11 1.77 0.08 -0.11 -0.43 2.86 0.2 3.11
1.58 0.3 1.8 -1.56 -0.03 7.25 6.2 7.66
0.6 0.67 -0.87 -0.86 -1.81 -0.52 3.25 4.3
-0.1 0.55 -0.2 1.41 -1.23 -0.83 -0.44 -0.45
-0.17 -0.8 0.43 1.48 -0.51 -2.07 -1.24 -5.32
-1.57 0.47 -0.85 -0.62 -2.15 1.91 2.18 -3
-0.69 -0.41 1.04 0.01 0.51 2.46 -0.55 -0.7
0.9 -0.52 0.89 -1.62 1.09 3.67 3.58 3.76
1.14 -0.3 1.64 0.24 1.14 1.95 0.32 2
1.69 -0.92 -0.33 0.11 0.21 -2.84 0.41 -2.1
1.87 -0.34 0.15 -0.48 -0.91 -1.4 3.86 7.91
0.22 -2.09 2.81 0.83 1.06 1.72 0.49 1.83
1.14 2.07 0.39 1.76 -1.75 2.66 -1.28 3.79
0.15 1 -2.06 2.34 1.75 -9.5 -10.08 -5.65
-0.55 -2.53 -0.91 0.38 2 -8.11 -4.18 -3.91
-0.55 -2.53 -0.91 0.38 2 -5.68 -4.81 -2.17
-1.2 0.48 0.98 0.1 -0.15 5.76 0.69 -0.31
-0.54 0.22 0.33 1.35 0.35 -1.6 -2.87 -0.01
0.69 -0.28 0.71 0.11 -0.3 -0.35 1.54 -1.69
1.1 0.97 0.39 -0.57 -1.71 3.57 4.89 2.48
-0.19 -0.37 -0.77 1.76 0.3 -6.66 -5.6 -5.06
1.36 -0.03 0.71 0.21 -0.64 0.74 1.97 4.36
1.2 0.16 1.39 0.95 -0.67 1.99 0.98 5.22
0.69 -0.28 0.71 0.11 -0.3 0.74 0.98 3.88
-0.91 0.75 1.17 -0.17 0.92 4.4 -0.75 1.4
