X1 X2 X3 X4 X5 Y1 Y2 Y3
1.2 0.16 1.39 0.95 -0.67 3.25 1.21 6.07
1.2 0.16 1.39 0.95 -0.67 3.33 1.88 4.7
1.14 0.92 -0.68 1.82 -1.23 -2.37 -3.17 -1.82
0.9 -0.52 0.89 -1.62 1.09 0.66 3.57 4.64
0.58 -1.57 -0.78 1.28 -0.11 -4.54 -2.1 -1.66
0.69 -0.64 0.52 -0.54 -0.94 3.22 3.39 -1.26
-0.09 0.78 0.38 0.49 0.56 0.85 -2 1.66
-0.63 0.38 -0.04 -1.24 -0.63 2.67 3.79 1.94
-0.19 0.88 -0.57 0.27 1.55 -3.19 -5.42 1.11
0.51 -1.11 -0.15 1.32 1.5 -4.02 -4.77 -2.77
-1.94 -0.71 -0.55 -0.18 0.03 -0.31 -0.24 -2.52
1.24 0.31 -0.44 -0.17 0.91 -2.29 -1.68 2.22
1.66 -0.93 -1.79 -0.33 -1.3 -5.17 1.56 -2.13
0.37 -0.24 0.82 -1.55 1.48 2.7 1.33 -0.28
0.97 -0.08 0.54 1.97 -0.14 -2.48 -3.25 -0.22
0.79 -0.51 -0.07 -0.22 0.36 -0.36 0.92 -1.84
0.61 0.06 -0.91 -0.45 -0.94 -1.8 2.37 -0.33
1.32 -0.4 0.11 -0.81 0.33 1.06 2.4 1.88
-0.31 0.83 1.59 -0.64 0.33 6.19 1.89 5.43
1.2 0.16 1.39 0.95 -0.67 1.22 2.08 3.99
0.17 0.06 -0.82 -0.26 -0.46 -0.84 0.17 2.65
1.12 -0.35 -0.85 -0.85 -1.63 -0.78 4.72 2.81
-1.51 0.09 1.24 0.23 -0.6 3.55 0.91 2.59
1.32 -0.4 0.11 -0.81 0.33 -0.39 2.15 0.75
-1.02 1.55 1.62 0.05 -1.51 7.7 3.37 1.64
0.68 -0.69 -2.09 -1.15 -0.06 -5.14 0.68 -2.48
0.17 0.06 -0.82 -0.26 -0.46 0.16 0.66 0.09
0.15 1 -2.06 2.34 1.75 -8.37 -10.85 -4.18
0.28 0.22 0.52 -0.2 1.36 0.45 -0.11 0.46
1.25 -0.13 0.71 0.18 1.11 -0.72 -0.35 -2.07
0.04 -0.51 0.56 2.16 -1.08 -0.59 -2.63 -3.97
-0.86 -0.43 -1.94 1.2 0.37 -5.89 -6.2 -7.22
-0.1 0.9 0.53 -1.38 -0.2 5.81 3.66 4.71
-0.14 -1.19 -0.21 -0.97 0.06 -1.12 2.26 -1.74
0.48 -1.08 -0.33 -1.31 0.27 -0.92 2.77 -2.25
-0.51 -0.24 1.13 -0.82 0.73 1.66 1.79 5.91
-3.04 -0.46 1.21 -1.08 2.2 3.22 -1.37 -1.31
0.63 -0.91 -0.77 0.15 -0.88 -2.81 0.37 -1.91
-1.95 -0.44 -0.98 -0.16 0.54 -4.38 -2.15 -4.61
0.11 1.77 0.08 -0.11 -0.43 1.97 0.43 7.07
0.71 1.06 -0.21 -1.6 0.8 3.32 1.24 8.7
0.55 -0.31 -1.26 -1.25 -0.63 0.17 3.01 -1.26
0.33 -0.23 1.98 -1.81 0.19 4.88 6.44 6.81
1.58 1.68 0.99 0.74 1.15 1.05 -2.14 0.74
0.12 -0.2 0.63 -1.22 1.64 1.71 1.15 -1.88
0.22 -2.09 2.81 0.83 1.06 -0.12 -0.03 -0.49
0 0.34 -0.55 -0.41 0.22 -0.92 -0.32 1.1
-0.91 0.75 1.17 -0.17 0.92 3.63 -0.75 3.1
-0.53 -1.89 0.01 -0.55 0.36 -2.25 0.58 -0.82
0.36 -0.27 -0.32 -0.71 0.8 -0.58 -0.03 -0.35
