X1 X2 X3 X4 X5 Y1 Y2 Y3
-2.12 -1.23 1.69 -0.42 -1.5 5.69 4.63 2.82
-0.51 -0.24 1.13 -0.82 0.73 4.11 2.36 2.47
1.33 0.16 0.66 -1.23 -1.02 2.93 4.77 2.82
2.02 -0.87 0.43 1.67 -0.01 -4.43 -1.39 1.99
0.1 1 0.37 0.53 2.76 1.14 -5.14 1.83
1.36 -0.03 0.71 0.21 -0.64 3.2 1.65 -0.34
1.36 -0.03 0.71 0.21 -0.64 0.82 1.93 4.1
0.97 -0.08 0.54 1.97 -0.14 -1.22 -2.13 0.26
-1.88 1.24 -0.56 -0.39 0.51 -0.47 -3.34 1.17
0.48 -1.08 -0.33 -1.31 0.27 -0.75 2.5 0.82
0.36 -0.27 -0.32 -0.71 0.8 -0.16 0.87 1.23
-1.36 1.13 -0.39 -0.73 0.18 1.32 -0.93 1.53
-0.03 0.23 0.25 -0.01 -0.4 1.29 0.36 -0.15
-0.33 0.33 0.75 0.37 -2.3 3.83 2.71 0.48
0.36 -0.27 -0.32 -0.71 0.8 -2.12 -0.3 -0.48
0.06 0.16 0.22 -1.45 -1.38 4.04 6 1.48
2.25 -0.4 -1.08 1.58 -0.55 -6.16 -1.71 -1.86
-2.75 -1.98 -0.7 -1.83 0.11 0.2 2.6 -5.29
-1.49 -0.86 -0.8 0.15 -0.72 -1.55 -0.64 -2.44
0.6 0.67 -0.87 -0.86 -1.81 -0.51 4.71 3.05
0.74 -0.12 0.88 -0.67 0.23 2.71 2.12 5.86
1.32 -0.4 0.11 -0.81 0.33 0.12 2.67 3
2.25 -0.4 -1.08 1.58 -0.55 -6.1 -2.47 0.94
0.22 -2.09 2.81 0.83 1.06 2.03 0.64 -0.74
-1.88 -0.07 1 -0.26 -0.46 4.07 1.87 -3.21
-0.73 0.68 1.47 -0.91 -0.76 6.17 3.94 4.08
0.58 0.52 0.59 1.78 1.59 0.51 -5.33 -0.25
-1.88 -0.07 1 -0.26 -0.46 2.69 0.93 1.74
-0.74 0.62 -0.46 -1.39 -0.82 1.81 4.15 1.19
1.25 -0.13 0.71 0.18 1.11 -0.72 -0.35 -2.07
1.5 -0.81 0.49 0.37 0.37 -0.79 -0.42 -1.93
1.58 1.68 0.99 0.74 1.15 2.94 -2.86 3.55
0.18 -0.13 -0.76 0.1 0.01 -0.63 -0.64 -0.39
-2.49 1.05 1.01 -0.05 -0.9 5.7 1.15 0.43
-0.85 0.09 1.27 -0.26 -1.11 4.89 3.38 0.45
0.15 1.68 1.61 1.98 -2.08 3.79 0.53 9.4
-0.73 0.68 1.47 -0.91 -0.76 5.87 3.98 5.66
0.65 0.81 1.43 -0.58 0.09 5.11 2.09 4.31
-0.96 0.62 -0.8 0.05 -1.65 -1.89 1.15 -0.13
0.08 -0.29 0.44 0.36 0.47 -1.09 -0.8 3.52
0.33 -1.74 0.89 -0.93 0.66 1.57 2.2 5.57
0.47 -0.3 -0.75 0.5 -1.95 0.33 1.98 -1.33
0.41 -0.97 0.29 0.25 -0.89 -1.89 2.31 1.59
1.42 -0.27 -0.71 -0.04 0.71 -4.57 -0.98 -3.87
1.03 -0.22 1.2 0.75 -0.41 1.68 1.37 -0.37
-1.49 -0.86 -0.8 0.15 -0.72 -4.37 -1.07 -4.76
-0.84 -0.27 0.47 -0.13 1.12 0.23 -1.4 -0.06
1.02 0.3 0.78 -0.71 -0.66 2.63 3.64 5.98
-0.09 0.78 0.38 0.49 0.56 0.87 -2.39 2.74
-1.77 -0.43 -0.07 0.13 1.8 -0.66 -4.1 -4.44
