X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.17 -0.8 0.43 1.48 -0.51 -0.38 -1.51 0.75
0.08 -0.29 0.44 0.36 0.47 0.95 -0.14 0.85
-1.57 0.47 -0.85 -0.62 -2.15 1.18 2.07 -2.57
-0.32 -0.11 0.17 0.48 1.46 -2.4 -3 -0.06
1.14 0.92 -0.68 1.82 -1.23 -1.04 -2.06 2.96
-0.23 1.34 1.76 -0.75 -0.03 9.11 2.51 2.03
0.18 -0.13 -0.76 0.1 0.01 -2.53 -1.04 -0.35
0.9 -0.52 0.89 -1.62 1.09 2.25 3.98 3.11
1.28 -1.15 -0.86 -1.22 1.19 -5.63 -0.49 1.45
-0.41 1.05 -0.22 0.65 -1.16 1.63 -0.53 1.89
0.69 -0.64 0.52 -0.54 -0.94 2.02 4.53 3.72
-0.41 0.26 0.83 0.56 0.75 0.78 -2.38 1.64
-1.36 1.13 -0.39 -0.73 0.18 2.12 -0.78 -1.23
-0.84 -0.27 0.47 -0.13 1.12 1.06 -2.05 -3.65
0.06 0.16 0.22 -1.45 -1.38 2.04 5.03 3.24
0 0.35 0.29 -0.85 -0.93 3.57 3.98 0.76
-0.53 -1.89 0.01 -0.55 0.36 -2.42 1.72 -3.79
0.58 -1.57 -0.78 1.28 -0.11 -4.37 -2.15 -4.11
-1.71 -0.19 1.11 0.76 0.51 2.65 -2.16 -0.19
-0.79 -1.27 1.68 -0.77 -0.1 2.48 4.68 1.55
1.65 0.29 1.58 -1.04 0.48 4.79 3.57 8.93
0.03 -0.77 0.59 -0.06 -0.57 1.13 2.58 1.65
0.71 1.06 -0.21 -1.6 0.8 1.5 1.65 5.05
1.09 -0.81 0.89 -0.37 -1.29 1.52 4.73 2.04
-0.96 0.62 -0.8 0.05 -1.65 0.62 1.32 -3.61
-1.91 1.68 -0.41 -0.52 0.55 2.42 -2.03 -0.61
-0.99 2.17 -1.34 0.15 0 1.7 -2.95 -0.06
0.5 -1.8 -1.82 -0.42 3.09 -9.62 -5.63 -5.29
-0.91 0.75 1.17 -0.17 0.92 3.6 0.46 1.21
1.34 0.96 0.08 2.99 0.65 -3.57 -6.61 -4.24
1.14 1.65 0.4 0.17 -0.48 3.35 0.1 1.82
1.48 -0.9 -0.06 -0.15 -0.15 -1.38 0.9 0.05
-0.47 -1.29 0.67 -1.72 1.33 2.72 2.79 0.59
-0.19 -0.37 -0.77 1.76 0.3 -4.43 -4.82 -4.79
0.63 -0.91 -0.77 0.15 -0.88 -2.74 1.05 -3.28
-0.32 -0.11 0.17 0.48 1.46 -2.41 -3.11 2.69
-1.49 0.23 -0.71 -0.25 -0.82 -0.3 0.1 -0.25
1.5 -0.81 0.49 0.37 0.37 -1.07 -0.32 0.19
1.58 1.68 0.99 0.74 1.15 0.19 -1.94 4.47
-1.49 0.23 -0.71 -0.25 -0.82 -0.88 0.3 2.13
0.13 0.64 0.8 0.29 -0.07 3.9 -0.35 7.76
0.95 0.08 -0.7 0.22 1.05 -0.76 -2.1 -2.24
0.97 -0.08 0.54 1.97 -0.14 -2.65 -2.29 1.45
0.95 0.08 -0.7 0.22 1.05 -4.3 -2.43 -4.49
-0.16 1.5 -0.81 1.04 0.41 -0.96 -4.03 -3.77
-0.2 0.89 0.37 -0.46 0.37 0.23 -0.3 1
1.69 -0.92 -0.33 0.11 0.21 -3.57 0.21 1.17
-1.57 0.47 -0.85 -0.62 -2.15 1.04 2.67 1.43
0.12 -0.2 0.63 -1.22 1.64 1.23 0.27 3.07
0.69 -0.28 0.71 0.11 -0.3 1.48 1.32 1.76
