X1 X2 X3 X4 X5 Y1 Y2 Y3
0.58 0.52 0.59 1.78 1.59 -0.11 -5.47 1.77
-0.03 0.23 0.25 -0.01 -0.4 2.2 1.56 2.21
0.92 -0.19 -0.56 -0.74 1.92 -2.59 -2.37 -3.13
0.37 -0.24 0.82 -1.55 1.48 0.85 2.34 3.89
1.12 -0.35 -0.85 -0.85 -1.63 -0.01 4.5 4.14
0.48 -1.08 -0.33 -1.31 0.27 0.81 2.24 -3.67
-0.93 1.34 -1.87 -1.15 -0.42 -0.93 -0.11 0.21
0.69 0.74 0.94 -1.14 -0.25 4.51 4.55 5.25
1.58 1.68 0.99 0.74 1.15 0.5 -3.47 6.81
1.34 0.96 0.08 2.99 0.65 -2.3 -7.09 0.36
0.9 -0.16 -2.75 0 0.2 -6.55 -2.11 -2.43
-0.55 -2.53 -0.91 0.38 2 -7.78 -4.87 -6.19
-0.63 0.38 -0.04 -1.24 -0.63 2.62 2.65 0.42
-0.1 0.55 -0.2 1.41 -1.23 -0.04 -2.21 -2.56
1.58 1.68 0.99 0.74 1.15 1.34 -2.62 4.07
1.01 -1.52 -0.64 -0.67 0.66 -2.96 1.27 -3.71
0.1 0.66 -0.11 0.52 -0.32 -0.24 -0.29 -0.31
0.08 -0.29 0.44 0.36 0.47 1.26 -0.58 -0.3
-0.69 -0.41 1.04 0.01 0.51 2.5 -0.07 1.44
0.69 -0.64 0.52 -0.54 -0.94 0.07 4.73 2.63
-1.88 1.24 -0.56 -0.39 0.51 2.01 -2.34 1.65
0.12 -0.2 0.63 -1.22 1.64 1.91 1.34 2.12
-0.73 0.68 1.47 -0.91 -0.76 5.89 3.96 6.13
1.14 1.65 0.4 0.17 -0.48 2.68 0.79 3.47
0.69 -0.28 0.71 0.11 -0.3 1.31 1.9 -1.45
-0.32 -0.11 0.17 0.48 1.46 -1.11 -3.43 -2.04
0 0.34 -0.55 -0.41 0.22 1.03 -0.03 0.35
1.1 0.97 0.39 -0.57 -1.71 2.27 3.99 7.06
0.34 -0.54 -0.48 0.79 0.26 -3.45 -1.16 -2.43
0.47 -0.36 -0.47 2.03 -1.93 -3.71 -0.97 -4.95
0.69 -0.64 0.52 -0.54 -0.94 1.7 3.14 -0.58
-1.36 1.13 -0.39 -0.73 0.18 2.52 -1 -0.71
1.14 2.07 0.39 1.76 -1.75 3.98 -0.43 5.4
-1.46 1.94 0.04 -0.39 0.75 3.48 -1.69 0.31
-0.03 0.23 0.25 -0.01 -0.4 1.51 0.95 -0.96
-0.02 -1.67 0.13 0.39 0.29 -4.04 -0.3 1.83
0.22 -2.09 2.81 0.83 1.06 1.72 0.49 1.83
1.5 -0.81 0.49 0.37 0.37 -1.07 -0.32 0.19
-2.49 1.05 1.01 -0.05 -0.9 3.5 1.24 1.26
0.69 -0.28 0.71 0.11 -0.3 0.01 1.57 5.63
-0.1 0.31 1.07 0.18 -0.28 4.43 0.52 7.77
2.02 -0.87 0.43 1.67 -0.01 -0.85 -1.28 -1.1
-0.97 -0.95 -1.69 0.74 0.06 -7.02 -3.1 -4.7
-0.08 -0.65 -1.09 -1.14 -1.5 -2.72 3.86 -3.88
-1.46 1.94 0.04 -0.39 0.75 3.71 -1.47 -1.98
1.24 0.31 -0.44 -0.17 0.91 -3.87 -1.7 -0.19
0 0.35 0.29 -0.85 -0.93 2.28 3.37 3.94
0.9 -0.16 -2.75 0 0.2 -7.74 -3 -2.29
-0.97 -0.95 -1.69 0.74 0.06 -6.05 -4.12 -4.12
-1.88 1.24 -0.56 -0.39 0.51 1.9 -2.22 -1.45
