X1 X2 X3 X4 X5 Y1 Y2 Y3
0.15 -0.68 0.58 -0.22 0.33 1.34 0.99 2.75
-0.08 -0.65 -1.09 -1.14 -1.5 -0.32 4.55 0.77
0.17 -0.34 -1.74 0.12 1.4 -5.89 -4.96 -6.79
-0.96 0.62 -0.8 0.05 -1.65 -1.07 1.18 1.48
-0.16 1.5 -0.81 1.04 0.41 0.01 -4.07 1.55
-0.99 2.17 -1.34 0.15 0 2.21 -3.57 -4.01
-0.34 -0.78 0.12 1.98 1.35 -3.92 -6.17 -3.51
-2.44 0.71 -0.92 -0.16 0.18 0.24 -1.79 -3.12
0.79 -0.51 -0.07 -0.22 0.36 -3.19 -0.89 2.67
-1 -0.45 -0.04 2.68 0.03 -2.68 -6.18 -3.79
0.79 -0.51 -0.07 -0.22 0.36 -0.4 1.12 1.63
-0.24 1.88 -0.43 -0.96 -0.15 2.16 0.3 4.37
0.03 -0.77 0.59 -0.06 -0.57 0.86 1.57 -0.68
-1.86 0.76 -1.28 1.75 0.27 -2.72 -7.48 -7.77
0.63 -0.91 -0.77 0.15 -0.88 -4.17 0.48 -1.43
-1.46 1.94 0.04 -0.39 0.75 4.42 -1.32 -1.04
1.24 1.19 0.67 -0.46 -1.54 3.61 4.93 5.17
-1.88 1.24 -0.56 -0.39 0.51 2.79 -1.76 -1.4
-2.49 1.05 1.01 -0.05 -0.9 6.29 0.8 2.48
-1.95 -0.44 -0.98 -0.16 0.54 -3.24 -1.46 -4.4
1.1 0.97 0.39 -0.57 -1.71 3.93 4.23 8.42
-0.47 -1.29 0.67 -1.72 1.33 1.5 3.07 0.75
-0.74 0.62 -0.46 -1.39 -0.82 1.75 2.98 3.34
-1.71 -0.19 1.11 0.76 0.51 1.98 -1.93 -2.77
-0.34 1.81 -1.07 -0.65 -0.88 1.65 1.1 -1.5
-0.2 1.95 -1.09 0.54 0.72 -0.93 -4.52 -0.63
1.42 -0.27 -0.71 -0.04 0.71 -1.64 -0.82 0.13
-0.19 -0.37 -0.77 1.76 0.3 -5.49 -5.5 -2.5
-0.86 -0.43 -1.94 1.2 0.37 -6.75 -4.48 -6.75
-0.32 -0.11 0.17 0.48 1.46 -1.74 -2.94 -5.46
-0.84 -0.27 0.47 -0.13 1.12 1.17 -1.98 -4.08
-0.74 0.62 -0.46 -1.39 -0.82 2.66 2.43 0.73
0.41 -0.36 -0.6 0.59 1.39 -2.05 -3.49 -1.8
-0.74 0.62 -0.46 -1.39 -0.82 2.12 3.27 0.83
-0.1 0.31 1.07 0.18 -0.28 3.36 1.19 0.18
-1.88 1.24 -0.56 -0.39 0.51 0.03 -1.88 3.19
0 0.35 0.29 -0.85 -0.93 2.25 3.33 4.14
-0.23 1.34 1.76 -0.75 -0.03 7.31 2.36 4.83
-1.2 0.48 0.98 0.1 -0.15 1.36 0.56 1.17
-0.33 0.33 0.75 0.37 -2.3 2.38 3.51 6.64
0.55 -0.31 -1.26 -1.25 -0.63 -0.58 2.09 5.55
-1.94 -0.71 -0.55 -0.18 0.03 0.99 -0.6 -5.29
-0.52 -0.44 0.36 1.72 1.52 -3.56 -5.22 -2.2
0.1 1.06 -0.82 0.73 0.73 -3.15 -3.92 -4.63
-0.52 -0.44 0.36 1.72 1.52 -2.1 -5.36 -6.58
-0.03 0.23 0.25 -0.01 -0.4 -1.1 0.19 0.19
1.14 2.07 0.39 1.76 -1.75 1.99 -0.79 5.69
-1.71 -0.19 1.11 0.76 0.51 1.77 -2.13 0.02
-0.81 -1.14 -0.41 -0.29 -0.46 -1.88 0.44 -0.48
0.58 0.52 0.59 1.78 1.59 -0.6 -5.7 -0.8
