X1 X2 X3 X4 X5 Y1 Y2 Y3
0.06 0.16 0.22 -1.45 -1.38 4.08 5.54 5.93
-1.05 -1.27 1.7 -0.43 -0.67 4.72 4.57 2.04
-0.73 0.68 1.47 -0.91 -0.76 6.12 3.33 1.88
0.69 -0.28 0.71 0.11 -0.3 -0.38 1.76 3.64
1.32 -0.4 0.11 -0.81 0.33 0.89 2.45 4.32
1.24 1.19 0.67 -0.46 -1.54 6.14 3.9 2.61
0.9 -0.52 0.89 -1.62 1.09 1.77 3.18 3.8
1.12 -0.35 -0.85 -0.85 -1.63 -1 4.84 2
0.95 0.08 -0.7 0.22 1.05 -4.86 -3.76 1.58
0.29 -1.55 0.92 0.51 -1.38 0.67 2.78 1.36
-0.15 -0.54 -0.84 -1.1 0.74 -1.07 1.07 -0.18
1.66 -0.93 -1.79 -0.33 -1.3 -5.98 1.4 0.63
0.22 -2.09 2.81 0.83 1.06 2.27 0.15 -0.83
-0.2 -0.49 -0.19 -0.51 -0.99 0.56 1.82 -2.19
-0.51 -0.24 1.13 -0.82 0.73 1.99 1.18 1.14
0.24 -0.81 0.52 1.12 2.83 -2.05 -5.35 -5.36
1.14 1.65 0.4 0.17 -0.48 2.35 1.38 3.7
-0.66 -2.01 -0.04 -0.73 0.76 -0.91 1.04 -3.44
-0.52 -0.44 0.36 1.72 1.52 -1.74 -5.93 -2.24
-0.14 -1.19 -0.21 -0.97 0.06 -2.17 3.05 -0.71
0.9 -1.37 -1.09 0.7 1.02 -5.8 -3.58 -1.18
-0.02 -1.67 0.13 0.39 0.29 -2.23 0.09 -1.64
1.01 -1.52 -0.64 -0.67 0.66 -4.26 0.61 0.14
1.69 -0.92 -0.33 0.11 0.21 -3.3 0.32 -1.2
-3.04 -0.46 1.21 -1.08 2.2 3.92 -0.84 -6.01
-1.02 1.55 1.62 0.05 -1.51 7.3 2.81 4.76
-0.41 0.31 0.36 -0.68 1.17 3.1 -0.16 0.91
0.17 0.06 -0.82 -0.26 -0.46 -2.5 -0.08 1.29
1.69 -0.92 -0.33 0.11 0.21 -3.53 1.33 -0.3
0.37 -0.24 0.82 -1.55 1.48 1.51 2.4 -1.5
-0.01 1.18 0.67 0.82 -1.82 3.98 0.78 0.59
-0.41 0.26 0.83 0.56 0.75 1.99 -2.46 -0.59
-0.84 -0.76 -0.47 0.38 -1.41 0.27 1.12 -1.15
0.04 -0.04 0.23 -0.95 1.33 0.68 0.31 -0.18
0.22 -2.09 2.81 0.83 1.06 2.49 0.73 -1.64
-0.14 -0.78 -1.06 1.1 -0.12 -6.13 -2.87 0.46
0.53 -0.2 0.41 0.6 0.99 -1.26 -2.17 1.08
0.79 -0.51 -0.07 -0.22 0.36 -0.99 -0.17 -0.55
-0.15 -0.54 -0.84 -1.1 0.74 -4.17 0.58 -1.48
0.34 -0.54 -0.48 0.79 0.26 -4.12 -2.13 1.62
-1.46 1.94 0.04 -0.39 0.75 4.93 -2.39 6.46
-0.24 1.88 -0.43 -0.96 -0.15 5.02 1.29 1.57
-2.12 -1.23 1.69 -0.42 -1.5 3.49 5.08 1.8
1.53 2.18 0.85 -0.34 1.43 2.46 -0.7 2.11
-0.34 -0.78 0.12 1.98 1.35 -3.43 -5.68 -7.39
0.95 0.08 -0.7 0.22 1.05 -5.2 -3.1 -1.86
-0.99 2.17 -1.34 0.15 0 -0.25 -3.24 0.69
2.02 -0.87 0.43 1.67 -0.01 -3.34 -1.82 1.82
-0.86 -0.43 -1.94 1.2 0.37 -6.69 -6.03 -4.45
1.58 0.3 1.8 -1.56 -0.03 6.14 5.83 7.12
