X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.33 0.33 0.75 0.37 -2.3 4.33 3.5 5.34
-0.23 1.34 1.76 -0.75 -0.03 8.07 3.66 6.63
0.1 1 0.37 0.53 2.76 -0.2 -6.25 -2.95
0.47 -0.36 -0.47 2.03 -1.93 -4.37 -1.04 0.44
0 0.35 0.29 -0.85 -0.93 3.83 3.79 5.14
-2.12 -1.23 1.69 -0.42 -1.5 6.82 4.16 -3.15
-1.46 1.94 0.04 -0.39 0.75 3.21 -1.97 1.89
0.41 -0.36 -0.6 0.59 1.39 -3.47 -3.09 -2.45
-0.69 -2.6 -0.94 0.47 -0.51 -7.7 -1.8 -3.57
0.48 -1.08 -0.33 -1.31 0.27 -0.75 2.5 0.82
0.17 0.06 -0.82 -0.26 -0.46 -0.54 1.18 1.12
0.47 -0.36 -0.47 2.03 -1.93 -3.65 -1.92 0.15
-0.69 -2.6 -0.94 0.47 -0.51 -5.66 -0.97 -7.36
0.33 -0.23 1.98 -1.81 0.19 6.58 5.2 2.98
1.44 0.49 0.48 -0.19 0.62 -0.15 0.02 2.8
1.87 -0.34 0.15 -0.48 -0.91 0.92 4.22 1.38
-1.39 1.33 -1.2 -0.35 2.47 -1.88 -5.13 -4.28
1.58 1.68 0.99 0.74 1.15 3.76 -1.89 4.24
0.65 0.81 1.43 -0.58 0.09 5.38 2.45 6.41
-1.49 0.23 -0.71 -0.25 -0.82 -0.96 1.16 -1.25
-0.1 0.55 -0.2 1.41 -1.23 0.07 -1.76 2.84
-0.03 0.23 0.25 -0.01 -0.4 1.56 1.38 2.18
0.02 -1.03 -1.71 -1.01 -1.04 -4.24 2.19 -0.43
-0.41 0.26 0.83 0.56 0.75 1.36 -1.74 -1.03
1.58 0.3 1.8 -1.56 -0.03 5.97 6.4 3.91
1.5 -0.81 0.49 0.37 0.37 -1.46 0.09 0.7
0.36 -0.27 -0.32 -0.71 0.8 0.53 0.35 0.2
-0.84 -0.27 0.47 -0.13 1.12 -0.48 -1.85 0.39
-1.49 -0.86 -0.8 0.15 -0.72 -2.45 0.6 -4.12
0.55 -0.31 -1.26 -1.25 -0.63 -2.75 2.97 -3.56
-0.1 0.55 -0.2 1.41 -1.23 0.06 -2.13 -2.99
2.25 -0.4 -1.08 1.58 -0.55 -5.19 -3.02 -1.66
-1.36 -0.23 0.69 1.38 -0.34 2.3 -1.91 -1.03
0.17 -0.34 -1.74 0.12 1.4 -5.75 -4.04 -5.04
-3.04 -0.46 1.21 -1.08 2.2 3.98 -1.13 -4.79
0.36 -0.27 -0.32 -0.71 0.8 -2.45 0.31 4.29
-0.66 -2.01 -0.04 -0.73 0.76 -2.67 0.63 -1.99
1.2 0.16 1.39 0.95 -0.67 2.58 0.59 2.9
0.11 1.77 0.08 -0.11 -0.43 0.75 0.6 3.47
1.87 -0.34 0.15 -0.48 -0.91 -0.99 3.77 7.14
-0.1 0.55 -0.2 1.41 -1.23 0.93 -2.02 5.34
1.01 -1.52 -0.64 -0.67 0.66 -1.69 1.13 -3.02
-0.54 0.22 0.33 1.35 0.35 -1.6 -2.87 -0.01
1.69 -0.92 -0.33 0.11 0.21 -4.55 0.34 -3.57
-1.49 -0.86 -0.8 0.15 -0.72 -1.91 -0.07 -6.77
0.16 -1.19 0.35 0.98 0.41 -4.5 -2.4 -3.12
-1.95 -0.44 -0.98 -0.16 0.54 -2.54 -2.47 -3.59
0.12 -0.2 0.63 -1.22 1.64 1.2 0.61 2.66
-0.09 0.78 0.38 0.49 0.56 0.87 -2.39 2.74
-1.57 0.47 -0.85 -0.62 -2.15 1.81 2.67 -0.28
