X1 X2 X3 X4 X5 Y1 Y2 Y3
1.25 -0.13 0.71 0.18 1.11 0.97 -0.62 4
-0.55 -2.53 -0.91 0.38 2 -6.07 -3.52 -6.59
0.04 -0.04 0.23 -0.95 1.33 0.54 -0.61 -1.93
0.22 -2.09 2.81 0.83 1.06 0.74 0.87 2.22
0.1 0.66 -0.11 0.52 -0.32 1.37 -0.57 3.02
-0.2 0.89 0.37 -0.46 0.37 4.57 -0.08 -1.58
-1.49 0.23 -0.71 -0.25 -0.82 -0.17 0.1 -0.7
0.9 -0.52 0.89 -1.62 1.09 2.25 3.98 3.11
-0.99 2.17 -1.34 0.15 0 -1.79 -4.45 2.01
0.28 0.22 0.52 -0.2 1.36 1.31 -1.29 1.73
-1.78 -2.36 1.25 1.08 0.6 -0.11 -1.06 -3.43
-0.19 -0.37 -0.77 1.76 0.3 -5.08 -5.58 -2.65
-0.69 -2.6 -0.94 0.47 -0.51 -5.66 -0.97 -7.36
-0.2 -0.49 -0.19 -0.51 -0.99 0.56 1.82 -2.19
0.41 -0.36 -0.6 0.59 1.39 -4.74 -4.21 -2.93
1.03 -0.22 1.2 0.75 -0.41 2.38 1.52 0.58
0.1 1 0.37 0.53 2.76 -0.48 -4.86 -1.5
0 0.34 -0.55 -0.41 0.22 0.8 0.05 -0.15
2.5 -0.53 0.3 0.01 -0.63 -0.36 2.59 4.75
-0.32 -0.11 0.17 0.48 1.46 -2.08 -2.34 -1.46
0.66 1.53 -0.47 2.55 1.15 -2.27 -8.29 1.5
1.66 -0.93 -1.79 -0.33 -1.3 -4.9 2.57 0.21
0.11 1.77 0.08 -0.11 -0.43 2.58 0.22 5.16
-0.1 0.9 0.53 -1.38 -0.2 4.09 3.42 2.63
2.05 1.46 -0.08 -0.39 0.16 1.43 1.32 1.45
-0.16 1.5 -0.81 1.04 0.41 -1.27 -4.56 -1.03
1.58 1.68 0.99 0.74 1.15 3.99 -1.97 4.74
1.2 0.16 1.39 0.95 -0.67 1.21 0.62 5.25
0.29 -1.55 0.92 0.51 -1.38 -0.19 3.96 0.09
-0.3 -0.09 1.37 1.84 1.57 -0.43 -4.65 -4.96
1.02 0.3 0.78 -0.71 -0.66 3.49 3.15 1.55
-0.23 1.34 1.76 -0.75 -0.03 7.55 2.24 4.78
1.3 -1.71 0.46 -0.09 -0.5 0.05 3.12 1.45
-0.81 -1.14 -0.41 -0.29 -0.46 -1.63 1.1 -3.14
1.58 0.3 1.8 -1.56 -0.03 6.03 6.12 5.14
1.5 -0.81 0.49 0.37 0.37 -2.76 0.41 5.43
0.37 -0.24 0.82 -1.55 1.48 1.83 1.95 3.5
1.19 -0.39 0.04 -0.14 -0.4 -0.37 1.17 0.82
0.02 -1.03 -1.71 -1.01 -1.04 -6.07 2.57 -2.12
1.1 0.97 0.39 -0.57 -1.71 2.36 4.6 9.18
-0.01 1.18 0.67 0.82 -1.82 4.85 0.89 8.93
-0.86 -0.43 -1.94 1.2 0.37 -4.23 -5.14 -7.77
1.2 0.16 1.39 0.95 -0.67 1.05 1.66 5.05
2.5 -0.53 0.3 0.01 -0.63 -2.29 2.83 -0.2
1.25 -0.13 0.71 0.18 1.11 0.22 -0.31 -1.4
1.32 -0.4 0.11 -0.81 0.33 -2.54 1.48 1.01
2.02 -0.87 0.43 1.67 -0.01 -3.41 -1.74 1.4
-1.71 -0.17 -0.65 0.13 0.1 -1.49 -2.12 -1.94
0.17 -0.34 -1.74 0.12 1.4 -6 -4.7 -2.38
0.04 -0.51 0.56 2.16 -1.08 -0.68 -2.14 -1.24
