X1 X2 X3 X4 X5 Y1 Y2 Y3
1.49 1.99 -0.47 1.43 0.1 0.2 -3.68 4.68
0.9 -0.52 0.89 -1.62 1.09 3.1 4.04 3.95
0.28 0.22 0.52 -0.2 1.36 0.62 -1.91 -1.65
0.41 -0.36 -0.6 0.59 1.39 -5.06 -3.5 -0.92
-2.75 -1.98 -0.7 -1.83 0.11 0.03 2.65 -2.85
-1.36 -0.23 0.69 1.38 -0.34 2.77 -2.6 -5.44
1.03 -0.22 1.2 0.75 -0.41 1.18 0.88 3.51
1.53 2.18 0.85 -0.34 1.43 4.01 -0.07 5.92
-1.49 -0.86 -0.8 0.15 -0.72 -4.03 -1.73 -1.32
-1.95 -0.44 -0.98 -0.16 0.54 -1.63 -2.54 -3.79
-1.88 -0.07 1 -0.26 -0.46 4.66 2.19 1.57
-0.38 1.82 -0.34 -1.43 -0.07 2.84 1.23 4.73
-0.1 0.9 0.53 -1.38 -0.2 4.32 2.92 2.54
-0.47 -1.29 0.67 -1.72 1.33 1.56 1.78 -2.7
-0.63 0.38 -0.04 -1.24 -0.63 1.41 2.67 1.46
-0.55 -2.53 -0.91 0.38 2 -6.19 -3.73 -9.67
-2.49 1.05 1.01 -0.05 -0.9 5.28 1.62 0.14
-0.14 -1.19 -0.21 -0.97 0.06 0.25 2.4 -1.14
-1.8 -0.55 1.85 -0.13 0.84 4.76 0.08 1.18
0.33 -1.74 0.89 -0.93 0.66 -0.93 3.68 0.45
0.95 1.41 0.06 1.58 0.34 0.25 -4.17 4.29
-0.32 -0.11 0.17 0.48 1.46 -0.6 -2.71 -0.78
0.74 -0.12 0.88 -0.67 0.23 1.75 2.27 4.71
0.95 1.41 0.06 1.58 0.34 -0.43 -3.85 0.11
0.41 -0.36 -0.6 0.59 1.39 -3.37 -3.36 -6.01
1.33 0.16 0.66 -1.23 -1.02 2.98 5.38 5.02
-0.2 -0.49 -0.19 -0.51 -0.99 1.67 2.76 0.64
0.5 1.35 -0.06 -1.47 1.13 1.31 0.39 4.82
0.2 -1.66 0.42 -0.23 -0.2 -1.38 3.08 -1.14
1.09 -0.81 0.89 -0.37 -1.29 0.89 5.04 -0.39
0.61 0.06 -0.91 -0.45 -0.94 -0.8 1.09 -2.21
2.05 1.46 -0.08 -0.39 0.16 1.66 0.22 4.01
1.34 0.96 0.08 2.99 0.65 -1.22 -6.66 0.27
-1.36 1.13 -0.39 -0.73 0.18 1.97 -0.17 -0.61
-0.54 0.22 0.33 1.35 0.35 0 -3.26 -3.53
-1.77 -0.43 -0.07 0.13 1.8 -2.53 -3.76 0.2
-0.52 -0.44 0.36 1.72 1.52 -2.72 -5.85 -2.25
0.58 0.52 0.59 1.78 1.59 -0.78 -6.09 -1.4
-0.2 -0.49 -0.19 -0.51 -0.99 -2.12 2.8 0.37
0.55 -0.31 -1.26 -1.25 -0.63 -3.01 2.71 3.82
0.6 0.67 -0.87 -0.86 -1.81 2 3.23 8.17
-1.51 0.09 1.24 0.23 -0.6 6.12 1.42 -0.57
-0.03 0.23 0.25 -0.01 -0.4 -0.09 1.33 2.56
0.18 -0.13 -0.76 0.1 0.01 -3.61 -0.87 -4.84
1.14 -0.3 1.64 0.24 1.14 2.18 0.54 -0.28
1.48 -0.9 -0.06 -0.15 -0.15 -4.16 0.95 -0.12
0.9 -1.37 -1.09 0.7 1.02 -6.75 -3.37 -2.99
1.58 0.3 1.8 -1.56 -0.03 5.37 5.83 8.83
1.02 0.3 0.78 -0.71 -0.66 2.66 3.3 6.39
0.1 0.66 -0.11 0.52 -0.32 0.67 -1.08 0.53
