X1 X2 X3 X4 X5 Y1 Y2 Y3
0.33 -1.74 0.89 -0.93 0.66 1.1 2.81 2.53
-0.86 -0.43 -1.94 1.2 0.37 -5.37 -4.78 -5.38
0.12 -0.2 0.63 -1.22 1.64 1.34 0.01 -1.34
1.14 2.07 0.39 1.76 -1.75 0.97 -0.45 6.28
-1.88 -0.07 1 -0.26 -0.46 4.95 1.8 2.48
0.1 0.66 -0.11 0.52 -0.32 2.29 -1.32 -2.87
-2.75 -1.98 -0.7 -1.83 0.11 -1.43 2.19 -4.3
-0.1 0.31 1.07 0.18 -0.28 3.19 1.75 2.51
-0.19 0.88 -0.57 0.27 1.55 -3.19 -5.42 1.11
0.18 -0.13 -0.76 0.1 0.01 -1.71 -1.06 -0.3
0.53 -0.2 0.41 0.6 0.99 0.03 -1.32 1.16
0.5 -1.8 -1.82 -0.42 3.09 -9.22 -5.71 -5.44
0.79 -0.51 -0.07 -0.22 0.36 -1.15 -0.06 -1.11
-0.1 0.9 0.53 -1.38 -0.2 4.65 2.65 1.42
-0.41 0.31 0.36 -0.68 1.17 0.45 -0.81 0.24
0.55 -0.31 -1.26 -1.25 -0.63 -1.09 3.16 -1.94
-1.71 -0.17 -0.65 0.13 0.1 -1.63 -1.33 -4.49
1.5 -0.81 0.49 0.37 0.37 -0.01 0.53 0.84
0.28 0.22 0.52 -0.2 1.36 1.35 -1.34 2.14
-0.33 0.33 0.75 0.37 -2.3 2.3 4.37 3.26
-0.08 -0.65 -1.09 -1.14 -1.5 -0.79 3.52 2.68
0.17 0.06 -0.82 -0.26 -0.46 -1.01 1.01 0.71
0.6 0.67 -0.87 -0.86 -1.81 0.18 3.64 4.52
-0.31 0.83 1.59 -0.64 0.33 5.52 2.13 2.85
1.3 -1.71 0.46 -0.09 -0.5 -1.27 3.24 -2.76
-1.78 -2.36 1.25 1.08 0.6 -1.1 -1.95 -5.09
1.65 0.29 1.58 -1.04 0.48 5.79 4.07 6.37
-0.84 -0.76 -0.47 0.38 -1.41 -2.43 0.31 -0.41
0.74 -0.12 0.88 -0.67 0.23 1.81 3.45 2.57
-0.96 0.62 -0.8 0.05 -1.65 -0.41 1.25 -3.91
-1.25 1.57 -1.45 1.6 1.96 -3.06 -9.99 -7.83
0.15 -0.68 0.58 -0.22 0.33 0.9 0.25 -0.47
1.5 -0.81 0.49 0.37 0.37 0.26 0.52 1.79
-1.36 -0.23 0.69 1.38 -0.34 0.66 -2.04 -2.58
-0.33 0.33 0.75 0.37 -2.3 3.73 3.56 0.79
-1.88 -0.07 1 -0.26 -0.46 2.37 1.63 4.63
-0.33 0.33 0.75 0.37 -2.3 2.96 3.32 4.26
0.17 -0.34 -1.74 0.12 1.4 -5.44 -4.75 -5.1
0 0.34 -0.55 -0.41 0.22 -2.77 0 0.08
0.15 -0.68 0.58 -0.22 0.33 -0.62 1 4.05
-1.91 1.68 -0.41 -0.52 0.55 3.96 -2.42 5.08
0.55 -0.31 -1.26 -1.25 -0.63 0.17 3.01 -1.26
0.18 -0.13 -0.76 0.1 0.01 -3.49 -0.41 0.15
-1.94 -0.71 -0.55 -0.18 0.03 -2.55 -0.93 -7.54
1.61 1.07 2.16 0.34 -0.53 6.02 3.26 4.32
0.51 -1.11 -0.15 1.32 1.5 -6.8 -5.26 -4.68
-1.78 -2.36 1.25 1.08 0.6 -1.36 -1.87 -3.71
1.69 -0.92 -0.33 0.11 0.21 -3.5 0.12 1.59
-1.71 -0.17 -0.65 0.13 0.1 -1.46 -2.46 -1.53
1.36 -0.03 0.71 0.21 -0.64 1.58 1.88 3.06
