X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.15 -0.54 -0.84 -1.1 0.74 -0.99 0.4 0.81
-0.2 0.89 0.37 -0.46 0.37 3.53 1.07 3.02
0.53 -0.2 0.41 0.6 0.99 -1.01 -2.82 -2.71
-3.04 -0.46 1.21 -1.08 2.2 2.23 -0.98 -0.92
0.33 -0.23 1.98 -1.81 0.19 7.3 6.27 7.76
0.22 0.07 -0.83 -0.79 -1.87 2.05 3.4 -2.09
0 0.35 0.29 -0.85 -0.93 2.37 3.33 3.69
2.02 -0.87 0.43 1.67 -0.01 -2.85 -0.98 0.46
1.28 -1.15 -0.86 -1.22 1.19 -5.63 -0.49 1.45
0.08 -0.29 0.44 0.36 0.47 0.44 -1.02 0.74
-0.17 -0.8 0.43 1.48 -0.51 -0.46 -0.85 -0.24
1.02 0.3 0.78 -0.71 -0.66 2.26 3.2 5.86
-1.8 -0.55 1.85 -0.13 0.84 4.32 -0.18 -1.49
-0.34 -0.78 0.12 1.98 1.35 -3.18 -6.78 -6.84
0.02 -1.03 -1.71 -1.01 -1.04 -4.93 1.88 -2.52
-0.12 0.43 -0.31 1.31 1.03 -1.23 -4.44 -4.22
0.12 -0.2 0.63 -1.22 1.64 1.06 1.4 0.11
-0.74 0.62 -0.46 -1.39 -0.82 3.49 3.41 1.42
-0.73 0.68 1.47 -0.91 -0.76 6.85 3.9 5.67
-1.49 -0.86 -0.8 0.15 -0.72 -3.19 0.5 -3.45
-0.03 0.23 0.25 -0.01 -0.4 1.73 0.54 4.12
-1.78 -2.36 1.25 1.08 0.6 -0.59 -1.23 -3.83
0.17 -0.34 -1.74 0.12 1.4 -6.12 -4.33 -2.53
0.36 -0.27 -0.32 -0.71 0.8 -1.15 0.18 -1.43
-0.63 0.38 -0.04 -1.24 -0.63 2.78 3.52 -1.62
0.97 -0.08 0.54 1.97 -0.14 -1.51 -2.96 -0.18
1.34 0.96 0.08 2.99 0.65 -1.26 -6.74 -0.18
0.95 1.41 0.06 1.58 0.34 -1.41 -4.41 2.93
-0.08 -0.65 -1.09 -1.14 -1.5 -1.69 4.85 -0.6
0.17 -0.34 -1.74 0.12 1.4 -6.47 -3.85 -8
0.41 -0.97 0.29 0.25 -0.89 -0.09 1.15 -2.68
-0.19 -0.37 -0.77 1.76 0.3 -3.88 -5.65 -4.89
-0.1 0.31 1.07 0.18 -0.28 4.62 1.35 3.16
-0.79 -1.27 1.68 -0.77 -0.1 3.53 3.9 0.52
-0.34 -0.78 0.12 1.98 1.35 -3.28 -5.93 -6.53
0.41 -0.36 -0.6 0.59 1.39 -5.07 -3.6 1.84
0.9 -0.52 0.89 -1.62 1.09 1.65 3.18 4.25
1.25 -0.13 0.71 0.18 1.11 0.3 -1.24 0.83
1.36 -0.03 0.71 0.21 -0.64 -1.11 2.3 3.34
-0.14 -1.19 -0.21 -0.97 0.06 -2.1 2.18 2.68
0.53 -0.2 0.41 0.6 0.99 0.58 -2.6 5.19
-0.47 -1.29 0.67 -1.72 1.33 3.28 2.88 -1.62
1.33 0.16 0.66 -1.23 -1.02 1.84 6.05 6.65
-2.12 -1.23 1.69 -0.42 -1.5 3.37 4.62 -3.2
-0.38 1.82 -0.34 -1.43 -0.07 3.73 2.21 0.31
-1.71 -0.19 1.11 0.76 0.51 -0.17 -2.6 -2.51
-0.19 0.88 -0.57 0.27 1.55 -1.65 -4.21 -0.21
-0.66 -2.01 -0.04 -0.73 0.76 -2.57 0.58 -1.78
0.66 1.53 -0.47 2.55 1.15 -3.12 -8.51 0.52
-0.85 0.09 1.27 -0.26 -1.11 5 3.09 2.43
