X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.15 -0.54 -0.84 -1.1 0.74 -0.99 0.4 0.81
-0.12 0.43 -0.31 1.31 1.03 -1.11 -4.22 -1.14
-1.71 -0.17 -0.65 0.13 0.1 -1.35 -2.72 -5.94
1.24 0.31 -0.44 -0.17 0.91 -3.01 -0.8 2.52
0.97 -0.08 0.54 1.97 -0.14 -0.23 -2.47 2.4
1.02 0.3 0.78 -0.71 -0.66 5.02 3.4 0.87
0.79 -0.51 -0.07 -0.22 0.36 -1.57 0.27 1.09
1.25 -0.13 0.71 0.18 1.11 0.2 0 1.79
-1.02 1.55 1.62 0.05 -1.51 5.49 1.67 7.46
-1.49 0.23 -0.71 -0.25 -0.82 0.65 0.08 -0.65
0.48 -1.08 -0.33 -1.31 0.27 -0.4 3.38 1.31
-0.34 1.81 -1.07 -0.65 -0.88 0.67 0.08 3.3
-0.73 0.68 1.47 -0.91 -0.76 6.41 3.64 3
1.25 -0.13 0.71 0.18 1.11 0.47 -1.42 -0.85
-1.51 0.09 1.24 0.23 -0.6 2.86 0.6 0.5
-1.02 1.55 1.62 0.05 -1.51 8.32 3.49 2.95
-1.8 0.05 1.19 1.13 0.23 1.97 -1.73 -2.34
-0.12 0.43 -0.31 1.31 1.03 -0.8 -4.67 -2.29
-0.96 0.62 -0.8 0.05 -1.65 0.89 0.71 1.09
1.24 1.19 0.67 -0.46 -1.54 2.98 5.25 6.5
-0.54 0.22 0.33 1.35 0.35 0.22 -3.67 1.55
-1.8 0.05 1.19 1.13 0.23 2.82 -1.8 -0.33
-1.39 1.33 -1.2 -0.35 2.47 -1.82 -5.9 -1.48
0.2 -1.66 0.42 -0.23 -0.2 -1.15 2.08 -2.03
0.15 -0.68 0.58 -0.22 0.33 0.67 1.34 -3.03
0.97 -0.08 0.54 1.97 -0.14 -1.51 -2.96 -0.18
0.34 -0.54 -0.48 0.79 0.26 -1.54 -1.99 -1.71
-1.8 0.05 1.19 1.13 0.23 1.33 -2.88 0.24
1.48 -0.9 -0.06 -0.15 -0.15 -2.24 2.62 0.52
1.2 0.16 1.39 0.95 -0.67 1.56 1.49 0
0.13 0.64 0.8 0.29 -0.07 3.03 -0.46 -0.58
1.87 -0.34 0.15 -0.48 -0.91 0.53 3.01 2.62
-0.54 0.22 0.33 1.35 0.35 1.26 -3.1 -0.55
-1.02 1.55 1.62 0.05 -1.51 7.38 3.11 4.3
-0.33 0.33 0.75 0.37 -2.3 3.73 3.56 0.79
-0.16 1.5 -0.81 1.04 0.41 -2.57 -4.24 3.7
-1.95 -0.44 -0.98 -0.16 0.54 -2.57 -2.51 -3.39
-1 -0.45 -0.04 2.68 0.03 -2.92 -6.6 -5.48
0.29 -1.55 0.92 0.51 -1.38 -2.08 3.16 0.55
2.02 -0.87 0.43 1.67 -0.01 -4.03 -1.58 3.98
-0.19 0.88 -0.57 0.27 1.55 0.15 -4.68 4.1
0.34 0.89 0.72 -0.7 -1.25 6.49 4.47 3.45
-0.14 -1.19 -0.21 -0.97 0.06 -2.34 2.62 0.35
0.62 0.69 -0.16 0.94 0.49 -2.45 -2.86 -3.46
0.58 0.52 0.59 1.78 1.59 -0.86 -5.16 -3.63
-0.03 0.23 0.25 -0.01 -0.4 -1.1 0.19 0.19
0.58 0.52 0.59 1.78 1.59 -1.44 -5.61 0.5
0.15 1 -2.06 2.34 1.75 -7.59 -10.49 -4.21
0.15 1.68 1.61 1.98 -2.08 4.93 -0.15 6.88
-0.66 -2.01 -0.04 -0.73 0.76 -1.8 0.58 -3.48
