X1 X2 X3 X4 X5 Y1 Y2 Y3
0.47 -0.3 -0.75 0.5 -1.95 -0.89 1.67 2.44
-0.32 -0.11 0.17 0.48 1.46 0.04 -2.54 -0.75
1.61 1.07 2.16 0.34 -0.53 5.65 2.13 4.86
-0.54 0.22 0.33 1.35 0.35 -1.75 -3.12 0.33
-0.41 0.31 0.36 -0.68 1.17 2.7 -0.03 2.85
-0.2 -0.49 -0.19 -0.51 -0.99 2.18 2.15 -3.31
-1.25 1.57 -1.45 1.6 1.96 -3.9 -9.46 -4.06
-0.99 2.17 -1.34 0.15 0 0.31 -2.48 -0.25
-0.66 -2.01 -0.04 -0.73 0.76 -4.17 -0.54 -0.87
0.04 -0.51 0.56 2.16 -1.08 -0.62 -2.12 -0.15
-0.12 0.43 -0.31 1.31 1.03 -1.27 -4.23 -0.76
0.62 0.69 -0.16 0.94 0.49 -1.76 -3.51 1.59
-0.24 1.88 -0.43 -0.96 -0.15 2.97 0.45 1.61
1.24 1.19 0.67 -0.46 -1.54 4.51 3.58 3.72
0.62 0.69 -0.16 0.94 0.49 -2.16 -3.35 -0.13
0 0.35 0.29 -0.85 -0.93 3.57 3.98 0.76
0.08 -0.29 0.44 0.36 0.47 -0.53 -0.25 -1.19
1.61 1.07 2.16 0.34 -0.53 7.16 3.18 7.2
-1.86 0.76 -1.28 1.75 0.27 -2.61 -6.95 -3.99
0.17 -0.34 -1.74 0.12 1.4 -6.8 -3.25 -4.01
-0.15 -0.54 -0.84 -1.1 0.74 -1.38 0.05 1.35
-1.71 -0.17 -0.65 0.13 0.1 -0.78 -1.39 -2.48
1.5 -0.81 0.49 0.37 0.37 -1.74 0.1 2.75
1.2 0.16 1.39 0.95 -0.67 2.19 1.18 2.43
-0.2 -0.49 -0.19 -0.51 -0.99 0.39 2.96 -3.11
-1.35 -1.51 0.63 -1.42 -0.53 1.82 4.3 -0.78
0.97 0.42 0.01 1.43 -1.58 1.06 0.06 2
0.9 -0.52 0.89 -1.62 1.09 0.97 2.77 4.5
1.32 -0.4 0.11 -0.81 0.33 -0.61 3.15 1.65
0.13 0.64 0.8 0.29 -0.07 1.73 0.54 -1.36
-0.33 0.33 0.75 0.37 -2.3 3.94 2.78 0.04
0.51 -1.11 -0.15 1.32 1.5 -4.02 -5.31 -4.5
0.24 -0.81 0.52 1.12 2.83 -1.35 -5.59 -2.47
-0.79 -1.27 1.68 -0.77 -0.1 3.53 3.9 0.52
-0.17 -0.8 0.43 1.48 -0.51 -0.98 -1.46 -3.79
0.58 -1.57 -0.78 1.28 -0.11 -7.12 -2.27 0.49
0.69 -0.64 0.52 -0.54 -0.94 0.73 3.68 3.64
0.41 -0.36 -0.6 0.59 1.39 -3.37 -4.33 -3.41
-1.05 -1.27 1.7 -0.43 -0.67 1.46 4.07 1.12
0.04 -0.04 0.23 -0.95 1.33 -0.3 0.23 4.23
-0.51 -0.24 1.13 -0.82 0.73 4.5 1.08 6.88
0.79 -0.51 -0.07 -0.22 0.36 0.9 0.77 -1.15
0.9 -0.16 -2.75 0 0.2 -8.67 -2.33 -2.46
1.12 -0.35 -0.85 -0.85 -1.63 -2.54 4.21 -1.81
-1.77 -0.43 -0.07 0.13 1.8 -0.92 -3.56 -7.27
-0.19 0.88 -0.57 0.27 1.55 -3.53 -4.76 -2.33
1.3 -1.71 0.46 -0.09 -0.5 -1.94 2.75 1.74
0.92 -0.19 -0.56 -0.74 1.92 -2.73 -1.77 0.87
-0.84 -0.27 0.47 -0.13 1.12 0.33 -1.83 0.76
-0.32 -0.11 0.17 0.48 1.46 -0.54 -3.44 -1.95
