X1 X2 X3 X4 X5 Y1 Y2 Y3
0.33 -0.23 1.98 -1.81 0.19 7.08 6 7.84
0.2 0.8 1.61 -0.8 0.3 6.61 3.49 5.92
-0.52 -0.44 0.36 1.72 1.52 -2.47 -6.5 -6.03
-0.97 -0.95 -1.69 0.74 0.06 -7.17 -3.34 -4.36
0.04 -0.51 0.56 2.16 -1.08 0.03 -1.64 1.25
0 0.35 0.29 -0.85 -0.93 4.74 3.05 -0.75
-0.51 -0.24 1.13 -0.82 0.73 2.78 1.5 2.31
0.02 -1.03 -1.71 -1.01 -1.04 -3.66 3.01 -2.04
-0.34 -0.78 0.12 1.98 1.35 -5.55 -7.34 -1.94
0.1 0.66 -0.11 0.52 -0.32 0.73 -1.05 1.62
0.79 -0.51 -0.07 -0.22 0.36 -0.4 1.12 1.63
-0.69 -2.6 -0.94 0.47 -0.51 -6.46 -1.12 -4.6
-1.71 -0.19 1.11 0.76 0.51 2.21 -2.42 -2.85
0.22 -2.09 2.81 0.83 1.06 2.6 -0.13 -1.95
1.14 1.65 0.4 0.17 -0.48 1.71 0.31 4.42
0.2 0.8 1.61 -0.8 0.3 6.48 3.28 2.84
-0.47 -1.29 0.67 -1.72 1.33 0.66 3.13 -1.26
0.2 0.8 1.61 -0.8 0.3 6.92 3.05 4.77
-0.23 1.34 1.76 -0.75 -0.03 7.59 2.72 6.93
-0.38 1.82 -0.34 -1.43 -0.07 2.44 2.77 3.62
-1.71 -0.19 1.11 0.76 0.51 2.65 -2.25 1.42
0.79 -0.51 -0.07 -0.22 0.36 -0.88 0.95 1.22
-2.75 -1.98 -0.7 -1.83 0.11 -1.53 2.17 -3.38
-0.08 -0.65 -1.09 -1.14 -1.5 -1.47 3.85 -1.5
0.6 0.67 -0.87 -0.86 -1.81 0.86 4.19 -0.65
-2.12 -1.23 1.69 -0.42 -1.5 4.62 4.41 0.17
0.9 -0.52 0.89 -1.62 1.09 3.63 3.51 3.3
1.01 -1.52 -0.64 -0.67 0.66 -4.96 0.22 -0.07
0.1 0.66 -0.11 0.52 -0.32 -0.13 0.12 0.35
-1.57 0.47 -0.85 -0.62 -2.15 0.61 3.18 -3.79
-1.71 -0.19 1.11 0.76 0.51 2.64 -2.62 -4.41
1.36 -0.03 0.71 0.21 -0.64 1.64 1.37 2.42
-1.95 -0.44 -0.98 -0.16 0.54 -0.55 -2.11 -3.88
1.73 -0.09 1.98 1.16 0.39 2.21 0.17 3.17
-0.53 -1.89 0.01 -0.55 0.36 -1.62 1.22 -4.92
-0.01 1.18 0.67 0.82 -1.82 2.02 1.6 7.96
0 0.35 0.29 -0.85 -0.93 2.25 3.33 4.14
0.37 -0.24 0.82 -1.55 1.48 2.53 1.51 1.41
-0.31 0.83 1.59 -0.64 0.33 3.41 2.33 4.21
-0.96 0.62 -0.8 0.05 -1.65 -0.67 0.99 3.47
-0.55 -2.53 -0.91 0.38 2 -5.68 -4.81 -2.17
0.95 0.08 -0.7 0.22 1.05 -0.76 -2.1 -2.24
-1.36 1.13 -0.39 -0.73 0.18 0.75 0.19 1.48
-0.1 0.9 0.53 -1.38 -0.2 2.83 3.43 0.25
0.34 -0.54 -0.48 0.79 0.26 -2.91 -1.83 -5.08
0.92 -0.19 -0.56 -0.74 1.92 -4.68 -2.24 -1.66
1.14 0.92 -0.68 1.82 -1.23 -2.59 -2.48 1.76
-0.33 0.33 0.75 0.37 -2.3 3.07 3.27 4.48
0.08 -0.29 0.44 0.36 0.47 -0.36 -1.38 1.77
-0.19 0.88 -0.57 0.27 1.55 -0.81 -4.3 -1.51
