X1 X2 X3 X4 X5 Y1 Y2 Y3
1.28 -1.15 -0.86 -1.22 1.19 -2.76 0.86 1.4
1.36 -0.03 0.71 0.21 -0.64 2.15 2.79 4.26
0.62 0.69 -0.16 0.94 0.49 -1.25 -3.67 -2.3
0.1 0.66 -0.11 0.52 -0.32 -1.19 -0.64 2.42
-2.49 1.05 1.01 -0.05 -0.9 6.9 1.34 3.47
-1.49 -0.86 -0.8 0.15 -0.72 -0.03 -0.85 -7.34
-0.23 1.34 1.76 -0.75 -0.03 6.74 2.8 6.47
1.34 0.96 0.08 2.99 0.65 -2.65 -6.27 -0.37
1.09 -0.81 0.89 -0.37 -1.29 -0.29 3.41 5.74
0.52 0.41 -0.23 0.54 0.41 -0.55 -2.09 0.97
0.41 -0.5 -0.24 0.06 -0.38 -0.46 1.34 1.18
-0.23 1.34 1.76 -0.75 -0.03 6.35 2.31 7.02
0.12 -0.2 0.63 -1.22 1.64 1.64 0.32 -0.21
0.74 -0.12 0.88 -0.67 0.23 2.6 1.68 0.46
-0.41 1.05 -0.22 0.65 -1.16 0.02 -0.83 0.67
0.24 -0.81 0.52 1.12 2.83 -2.05 -5.35 -5.36
-0.19 -0.37 -0.77 1.76 0.3 -4.85 -4.35 -5.08
-0.14 -1.19 -0.21 -0.97 0.06 0.25 2.4 -1.14
-1.77 -0.43 -0.07 0.13 1.8 -0.56 -4.13 -2.94
1.66 -0.93 -1.79 -0.33 -1.3 -6.38 2.95 -0.47
-0.19 -0.37 -0.77 1.76 0.3 -3.83 -5.26 -1.13
0.58 -1.57 -0.78 1.28 -0.11 -5.31 -1.88 -2.99
0.53 -0.2 0.41 0.6 0.99 -1.24 -2.19 1.54
0.58 0.52 0.59 1.78 1.59 -1.17 -5.5 -1.88
-1.36 -0.23 0.69 1.38 -0.34 0.98 -1.79 -5.24
0.2 0.8 1.61 -0.8 0.3 5.46 2.6 4.64
1.58 0.3 1.8 -1.56 -0.03 7.25 6.2 7.66
0.03 -0.77 0.59 -0.06 -0.57 -0.36 1.49 2.23
-0.55 -2.53 -0.91 0.38 2 -7.44 -3.22 -7.96
0.95 0.08 -0.7 0.22 1.05 -3.68 -2.14 -4.54
0.41 -0.36 -0.6 0.59 1.39 -3.1 -4.43 -5.53
-1.95 -0.44 -0.98 -0.16 0.54 -1.64 -3.08 -5.53
0.13 0.64 0.8 0.29 -0.07 4.08 0.48 3.15
-0.52 -0.44 0.36 1.72 1.52 -2.33 -5.58 -4.29
0.2 -1.66 0.42 -0.23 -0.2 -0.69 2.16 -2.93
-0.84 -0.27 0.47 -0.13 1.12 -0.8 -1.15 3.28
-1.77 -0.43 -0.07 0.13 1.8 -1.54 -4.05 -2.94
-0.41 0.26 0.83 0.56 0.75 1.75 -2.33 -0.55
0.74 -0.12 0.88 -0.67 0.23 -0.08 2.65 3.03
-1.86 0.76 -1.28 1.75 0.27 -4.17 -6.68 -1.61
0.16 -1.19 0.35 0.98 0.41 -0.81 -2.32 3.31
-0.54 -1.34 1.01 0.17 -0.47 3.07 2.14 -1.83
-0.16 1.5 -0.81 1.04 0.41 -2.41 -3.89 0.6
0.51 -1.11 -0.15 1.32 1.5 -5.91 -4.59 -7.31
0.16 -1.19 0.35 0.98 0.41 -2.03 -1.4 -5.13
-1.02 1.55 1.62 0.05 -1.51 5.15 2.33 4.02
-0.51 -0.24 1.13 -0.82 0.73 2.69 1.55 2.57
-0.16 -0.9 -1.14 0.43 0.09 -4.76 -2.18 -2.22
1.01 -1.52 -0.64 -0.67 0.66 -4.15 0.24 0.3
1.34 0.96 0.08 2.99 0.65 -2.37 -7.11 -0.73
