X1 X2 X3 X4 X5 Y1 Y2 Y3
0.09 -0.53 -1.14 0.52 -0.14 -3.08 -1.79 -0.48
1.24 0.31 -0.44 -0.17 0.91 -0.57 -0.34 1.83
1.24 0.31 -0.44 -0.17 0.91 -1.78 -1.84 -1.66
-0.79 -1.27 1.68 -0.77 -0.1 2.16 4.02 2.95
0.55 -0.31 -1.26 -1.25 -0.63 -0.84 2.98 2.44
0.17 -0.34 -1.74 0.12 1.4 -3.65 -4.6 -7.9
-0.19 0.88 -0.57 0.27 1.55 -1.57 -4.25 -0.47
-0.51 -0.24 1.13 -0.82 0.73 3.25 2.31 1.63
0.74 -0.12 0.88 -0.67 0.23 0.23 1.12 5.37
-1.88 1.24 -0.56 -0.39 0.51 1.97 -2.19 -0.36
0.04 -0.04 0.23 -0.95 1.33 1.58 0.89 1.94
-0.53 -1.89 0.01 -0.55 0.36 -2.65 0.49 -1.35
-0.3 -0.09 1.37 1.84 1.57 0.43 -5.45 -2.62
-2.49 1.05 1.01 -0.05 -0.9 6.18 0.27 -1.31
0.2 0.8 1.61 -0.8 0.3 4.49 2.31 4.6
1.14 0.92 -0.68 1.82 -1.23 -1.3 -1.87 -1.42
-0.23 1.34 1.76 -0.75 -0.03 6.58 3.54 4.59
-0.54 -1.34 1.01 0.17 -0.47 2.23 2.06 -0.58
-1.86 0.76 -1.28 1.75 0.27 -2.61 -6.95 -3.99
-0.23 1.34 1.76 -0.75 -0.03 5.95 3.86 5.92
-2.75 -1.98 -0.7 -1.83 0.11 -0.57 2.02 -2.24
-1.51 0.09 1.24 0.23 -0.6 4.34 1.6 1.8
-1.46 1.94 0.04 -0.39 0.75 3.11 -1.98 2.81
-0.96 0.62 -0.8 0.05 -1.65 0.22 0.95 -1.48
0.73 -0.07 -0.62 1.84 -0.94 -3.13 -2.22 -4.75
-1.25 1.57 -1.45 1.6 1.96 -3.72 -9.49 -5.19
0.33 -0.23 1.98 -1.81 0.19 7.7 6.14 5.82
-0.2 0.89 0.37 -0.46 0.37 1.4 -0.2 3.57
-0.41 0.26 0.83 0.56 0.75 1.13 -0.74 -0.13
0.37 -0.24 0.82 -1.55 1.48 1.51 2.4 -1.5
-1.2 0.48 0.98 0.1 -0.15 4.14 -0.35 -1.83
0.1 0.66 -0.11 0.52 -0.32 0.73 -1.59 -0.11
-0.3 -0.09 1.37 1.84 1.57 1.92 -4.71 -0.46
0.68 -0.69 -2.09 -1.15 -0.06 -5.06 0.99 -2.94
0.16 -1.19 0.35 0.98 0.41 -1.89 -1.65 -4.27
1.24 0.31 -0.44 -0.17 0.91 -3.02 -0.91 5.27
-1 -0.45 -0.04 2.68 0.03 -3.62 -6.16 -3.38
1.61 1.07 2.16 0.34 -0.53 6.1 2.33 6.54
1.58 0.3 1.8 -1.56 -0.03 3.45 6.24 7.39
2.02 -0.87 0.43 1.67 -0.01 -4.03 -1.58 3.98
-0.33 0.33 0.75 0.37 -2.3 4.8 2.89 8.38
-0.15 -0.54 -0.84 -1.1 0.74 0.23 0.71 -2.96
-0.15 -0.54 -0.84 -1.1 0.74 -3.19 0.85 -0.21
0.9 -0.16 -2.75 0 0.2 -8.79 -2.79 -7.46
0.18 -0.13 -0.76 0.1 0.01 -2.04 -0.55 -4.22
-1.77 -0.43 -0.07 0.13 1.8 -3.38 -4.56 -5.26
-1.77 -0.43 -0.07 0.13 1.8 -1.5 -4.01 -3.14
0.17 0.06 -0.82 -0.26 -0.46 -1.72 0.29 1.25
-0.16 1.5 -0.81 1.04 0.41 -1.44 -4.92 1.18
0.37 -0.24 0.82 -1.55 1.48 2.71 1.9 2.01
