X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.14 -0.78 -1.06 1.1 -0.12 -3.77 -2.97 -1.61
0.74 -0.12 0.88 -0.67 0.23 3.18 3.15 3.95
0.09 -0.53 -1.14 0.52 -0.14 -4.2 -2.62 -5.33
-1.57 0.47 -0.85 -0.62 -2.15 -0.05 3.11 1.61
0.69 -0.64 0.52 -0.54 -0.94 2.31 4.14 4.64
2.05 1.46 -0.08 -0.39 0.16 3.22 0.5 1.25
1.24 1.19 0.67 -0.46 -1.54 3.77 4.19 7.05
1.69 -0.92 -0.33 0.11 0.21 -3.01 0.97 0.23
-0.69 -0.41 1.04 0.01 0.51 0.02 -1.16 2.56
-1.49 -0.86 -0.8 0.15 -0.72 -1.58 -0.58 -2.85
0.63 -0.91 -0.77 0.15 -0.88 -2.22 1.66 0.27
0.97 0.42 0.01 1.43 -1.58 -1.19 -0.76 3.05
-1.25 1.57 -1.45 1.6 1.96 -3.49 -9.79 -6.27
0.12 -0.2 0.63 -1.22 1.64 1.96 0.05 -1.33
-1.46 1.94 0.04 -0.39 0.75 2.42 -2.29 0.72
1.58 1.68 0.99 0.74 1.15 3.33 -1.66 2.31
0.58 -1.57 -0.78 1.28 -0.11 -6.16 -1.81 -5
-1.46 1.94 0.04 -0.39 0.75 4.85 -1.56 0.9
1.03 -0.22 1.2 0.75 -0.41 2.03 0.8 3.97
0.47 -0.3 -0.75 0.5 -1.95 -2.92 2.54 0.36
-0.96 0.62 -0.8 0.05 -1.65 0.9 0.62 2.7
0 0.34 -0.55 -0.41 0.22 -0.14 0.32 0.97
0.22 0.07 -0.83 -0.79 -1.87 -0.42 3.68 3.27
1.44 0.49 0.48 -0.19 0.62 0.82 0.5 1.85
-0.38 1.82 -0.34 -1.43 -0.07 3.81 2.25 -0.07
0.28 0.22 0.52 -0.2 1.36 0.67 -1.3 0.56
1.49 1.99 -0.47 1.43 0.1 0.82 -3.53 2.66
-0.73 0.68 1.47 -0.91 -0.76 5.2 3.57 5.91
0.22 -2.09 2.81 0.83 1.06 1.8 1.64 0.16
1.14 2.07 0.39 1.76 -1.75 1.63 -0.38 0.89
-0.54 0.22 0.33 1.35 0.35 0.2 -4.04 -4.28
0.58 0.52 0.59 1.78 1.59 -0.54 -6.22 -1.45
-1.36 -0.23 0.69 1.38 -0.34 2.3 -1.91 -1.03
1.5 -0.81 0.49 0.37 0.37 -1.38 0.39 0.25
-1.8 -0.55 1.85 -0.13 0.84 4.54 0.4 -2.3
0.02 -1.03 -1.71 -1.01 -1.04 -5.26 2.49 2.25
0.28 0.22 0.52 -0.2 1.36 0.37 -1.26 2.14
0.15 -0.68 0.58 -0.22 0.33 0.67 0.37 -0.43
-1 -0.45 -0.04 2.68 0.03 -5.43 -5.79 -4.6
1.03 -0.22 1.2 0.75 -0.41 0.47 1.08 6.34
0 0.35 0.29 -0.85 -0.93 4.09 2.9 8.26
-0.16 1.5 -0.81 1.04 0.41 1.02 -4.03 -2.14
1.48 -0.9 -0.06 -0.15 -0.15 -3.15 2.09 2.24
0.6 0.67 -0.87 -0.86 -1.81 -0.79 3.82 -0.89
0.18 -0.13 -0.76 0.1 0.01 -2.04 -0.55 -4.22
-0.51 -0.24 1.13 -0.82 0.73 0.81 1 0.45
1.69 -0.92 -0.33 0.11 0.21 -3.57 0.21 1.17
-2.12 -1.23 1.69 -0.42 -1.5 4.42 4.4 1.97
0.9 -1.37 -1.09 0.7 1.02 -6.65 -3.81 -2.16
1.69 -0.92 -0.33 0.11 0.21 -2.73 0.12 -0.12
