X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.86 -0.43 -1.94 1.2 0.37 -5.46 -5.45 -4
1.69 -0.92 -0.33 0.11 0.21 -2.15 1.03 1.07
0.97 -0.08 0.54 1.97 -0.14 -1.57 -3.57 -2.38
0.34 -0.54 -0.48 0.79 0.26 -4.51 -1.93 -0.37
-3.04 -0.46 1.21 -1.08 2.2 4.8 -0.91 -0.32
-1.88 -0.07 1 -0.26 -0.46 5.86 1.06 -3.41
1.73 -0.09 1.98 1.16 0.39 1.94 -0.11 4.76
0.9 -0.52 0.89 -1.62 1.09 2.25 3.98 3.11
2.05 1.46 -0.08 -0.39 0.16 -0.78 -0.38 7.27
0.33 -0.23 1.98 -1.81 0.19 6.66 5.79 6.36
-0.99 2.17 -1.34 0.15 0 1 -2.43 0.97
-2.44 0.71 -0.92 -0.16 0.18 -0.62 -3.08 -1.89
1.25 -0.13 0.71 0.18 1.11 0.15 -1.14 0.27
0.69 0.74 0.94 -1.14 -0.25 4.78 3.14 2.61
0.9 -0.16 -2.75 0 0.2 -8.51 -3.28 -4.13
2.5 -0.53 0.3 0.01 -0.63 -0.01 3.31 1.36
-1.2 0.48 0.98 0.1 -0.15 3.14 0.94 0.05
0.41 -0.36 -0.6 0.59 1.39 -2.32 -3.48 -2.76
-1.2 0.48 0.98 0.1 -0.15 4.15 0.12 2.39
1.3 -1.71 0.46 -0.09 -0.5 -2.63 3.77 0.93
-1.25 1.57 -1.45 1.6 1.96 -3.05 -9.62 -2
-3.04 -0.46 1.21 -1.08 2.2 4.03 -0.69 -1.64
-0.73 0.68 1.47 -0.91 -0.76 5.89 3.96 6.13
-1.36 1.13 -0.39 -0.73 0.18 1.89 -0.28 -1.14
-0.79 -1.27 1.68 -0.77 -0.1 3.85 4.16 -2.14
-1.88 -0.07 1 -0.26 -0.46 3.67 1.31 -0.1
-0.01 1.18 0.67 0.82 -1.82 5 1.65 3.86
1.14 -0.3 1.64 0.24 1.14 0.89 -0.36 4.29
0.17 -0.34 -1.74 0.12 1.4 -6.06 -3.15 -4.68
0.34 -0.54 -0.48 0.79 0.26 -3.85 -1.86 -5.76
0.22 -2.09 2.81 0.83 1.06 2.7 -0.05 -2.39
1.25 -0.13 0.71 0.18 1.11 0.54 -1.37 0.79
-0.84 -0.76 -0.47 0.38 -1.41 0.27 1.12 -1.15
1.1 0.97 0.39 -0.57 -1.71 3.34 4.67 4.77
1.36 -0.03 0.71 0.21 -0.64 1.47 2.18 1.08
-1.86 0.76 -1.28 1.75 0.27 -4.58 -6.59 -0.84
-0.01 1.18 0.67 0.82 -1.82 3.01 1.32 4.81
-0.54 -1.34 1.01 0.17 -0.47 1.17 1.21 -1.24
-0.73 0.68 1.47 -0.91 -0.76 4.06 4.34 4.44
0.04 -0.51 0.56 2.16 -1.08 -2.15 -1.9 2.63
-0.54 0.22 0.33 1.35 0.35 1.07 -3.93 4.05
1.24 1.19 0.67 -0.46 -1.54 6.24 4.69 4.81
-2.75 -1.98 -0.7 -1.83 0.11 -2.39 2.82 -3.8
1.5 -0.81 0.49 0.37 0.37 -2.72 0.29 -2.66
1.43 -0.25 0.35 -0.37 -2.35 1.76 6.11 1.39
-1.71 -0.19 1.11 0.76 0.51 -0.17 -2.6 -2.51
0.11 1.77 0.08 -0.11 -0.43 2.59 0.28 4.49
-0.01 1.18 0.67 0.82 -1.82 3.12 1.27 5.03
0.47 -0.36 -0.47 2.03 -1.93 -3.24 -1.82 0.68
1.36 -0.03 0.71 0.21 -0.64 1.58 1.88 3.06
