X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.38 1.82 -0.34 -1.43 -0.07 4.47 1.9 5.71
1.2 0.16 1.39 0.95 -0.67 3.33 1.88 4.7
0.41 -0.36 -0.6 0.59 1.39 -3.82 -4.54 -5.09
-0.3 -0.09 1.37 1.84 1.57 -1.09 -4.72 0.43
-0.96 0.62 -0.8 0.05 -1.65 1.5 1.25 2.08
0.34 0.89 0.72 -0.7 -1.25 6.39 3.68 1.25
-0.53 -1.89 0.01 -0.55 0.36 -2.26 0.97 -1.9
0.04 -0.04 0.23 -0.95 1.33 0.89 0.83 0.72
1.87 -0.34 0.15 -0.48 -0.91 -1.91 2.41 5.89
-0.01 1.18 0.67 0.82 -1.82 3.95 1.29 4.41
1.66 -0.93 -1.79 -0.33 -1.3 -4.43 2.75 0.62
0.37 -0.24 0.82 -1.55 1.48 1.57 1.46 3.6
0.29 -1.55 0.92 0.51 -1.38 0.27 2.46 -0.89
0.79 -0.51 -0.07 -0.22 0.36 -0.82 -0.34 -2.23
-0.1 0.9 0.53 -1.38 -0.2 3.11 2.94 3.58
0.52 0.41 -0.23 0.54 0.41 -0.17 -1.42 -2
0.95 1.41 0.06 1.58 0.34 -0.76 -3.26 0.34
0.2 -1.66 0.42 -0.23 -0.2 0.3 2.33 -0.91
1.44 0.49 0.48 -0.19 0.62 1.49 0.27 4.43
1.24 0.31 -0.44 -0.17 0.91 -2.69 -0.14 1.12
-0.41 1.05 -0.22 0.65 -1.16 1.67 -0.67 3.91
-0.01 1.18 0.67 0.82 -1.82 3.83 1.99 4.48
-0.15 -0.54 -0.84 -1.1 0.74 -2.34 0.2 0.21
-0.24 1.88 -0.43 -0.96 -0.15 2.73 0.95 1.7
0.2 0.8 1.61 -0.8 0.3 5.86 3.17 1.52
0.41 -0.5 -0.24 0.06 -0.38 -1.45 0.45 -0.48
-1.71 -0.17 -0.65 0.13 0.1 0.39 -1.74 -3.1
-0.38 1.82 -0.34 -1.43 -0.07 2.43 1.31 4.88
1.49 1.99 -0.47 1.43 0.1 -1.09 -2.7 1.93
1.69 -0.92 -0.33 0.11 0.21 -3.93 0.63 -3.63
-0.24 1.88 -0.43 -0.96 -0.15 3.4 0.25 0.05
1.1 0.97 0.39 -0.57 -1.71 3.88 3.84 4.67
2.05 1.46 -0.08 -0.39 0.16 2.75 1.19 5.66
-1.05 -1.27 1.7 -0.43 -0.67 3.66 3.98 0.3
-1.2 0.48 0.98 0.1 -0.15 3.94 0.44 -1.08
0.15 1 -2.06 2.34 1.75 -8.69 -10.15 -1.28
-1.78 -2.36 1.25 1.08 0.6 -1.4 -1.91 -3.51
0.48 -1.08 -0.33 -1.31 0.27 -0.99 2.09 -0.87
-0.51 -0.24 1.13 -0.82 0.73 0.84 1.87 1.55
0.51 -1.11 -0.15 1.32 1.5 -5.55 -4.56 0.01
0.15 -0.68 0.58 -0.22 0.33 1.81 0.38 5.79
0 0.35 0.29 -0.85 -0.93 4.84 3.83 1.44
-0.51 -0.24 1.13 -0.82 0.73 1.82 2.14 2.81
-2.44 0.71 -0.92 -0.16 0.18 -1.3 -2.43 -6.93
1.02 0.3 0.78 -0.71 -0.66 3.14 4.18 1.44
-0.16 -0.9 -1.14 0.43 0.09 -6.71 -2.65 -4.76
-0.38 1.82 -0.34 -1.43 -0.07 3.14 1.76 4.43
-0.2 0.89 0.37 -0.46 0.37 2.18 0.16 3.54
1.14 1.65 0.4 0.17 -0.48 2.52 0.25 6.67
0.53 -0.2 0.41 0.6 0.99 -0.39 -2.22 -0.42
