X1 X2 X3 X4 X5 Y1 Y2 Y3
0.9 -0.16 -2.75 0 0.2 -6.47 -2.77 -1.44
0.97 -0.08 0.54 1.97 -0.14 -0.36 -2.07 1.1
0.09 -0.53 -1.14 0.52 -0.14 -4.2 -2.62 -5.33
2.02 -0.87 0.43 1.67 -0.01 -4.43 -1.39 1.99
-0.86 -0.43 -1.94 1.2 0.37 -5.24 -5.18 -4.08
-1.88 -0.07 1 -0.26 -0.46 5.86 1.06 -3.41
0.41 -0.97 0.29 0.25 -0.89 -0.93 1.68 1.09
0.08 -0.29 0.44 0.36 0.47 0.1 -0.19 0.01
-0.81 -1.14 -0.41 -0.29 -0.46 -3.52 -0.34 0.02
-0.91 0.75 1.17 -0.17 0.92 4.47 -0.72 2.48
-1.91 1.68 -0.41 -0.52 0.55 3.41 -1.14 1.05
0.04 -0.51 0.56 2.16 -1.08 -1.83 -2.58 0.35
0.48 -1.08 -0.33 -1.31 0.27 -1.15 2.19 -1.44
-1.39 1.33 -1.2 -0.35 2.47 -0.97 -6.49 -5.72
-2.12 -1.23 1.69 -0.42 -1.5 3.65 4.13 0.13
1.24 1.19 0.67 -0.46 -1.54 4.97 4.83 4.12
-0.19 0.88 -0.57 0.27 1.55 -1.72 -3.51 -2.35
-0.31 0.83 1.59 -0.64 0.33 6.98 2.38 3.98
0.17 -0.34 -1.74 0.12 1.4 -5.17 -4.39 -3
-0.1 0.31 1.07 0.18 -0.28 1.93 2 2.64
-0.3 -0.09 1.37 1.84 1.57 0.87 -5.28 1.65
-1.94 -0.71 -0.55 -0.18 0.03 -0.79 -0.42 -2.92
-1.88 1.24 -0.56 -0.39 0.51 1.05 -2.19 0.51
-0.79 -1.27 1.68 -0.77 -0.1 3.45 3.78 -0.02
-0.09 1.36 0.91 -0.19 -0.08 4.66 1.35 0.39
0.22 0.07 -0.83 -0.79 -1.87 -0.14 3.66 1.22
0.16 -1.19 0.35 0.98 0.41 -0.67 -1.56 -1.75
-0.86 -0.43 -1.94 1.2 0.37 -7.5 -6.05 -4.83
-1.46 1.94 0.04 -0.39 0.75 3.17 -0.81 0.67
0.33 -0.23 1.98 -1.81 0.19 5.39 6.27 1.76
1.69 -0.92 -0.33 0.11 0.21 -2.63 -0.37 -2.85
0.12 -0.2 0.63 -1.22 1.64 2.03 0.1 0.31
0.06 0.16 0.22 -1.45 -1.38 4.74 5.75 4.37
0.41 -0.97 0.29 0.25 -0.89 -0.67 1.95 -0.5
-1.71 -0.19 1.11 0.76 0.51 2.44 -1.84 -3.67
0.2 -1.66 0.42 -0.23 -0.2 -2.46 2.21 3.69
1.43 -0.25 0.35 -0.37 -2.35 1.14 5.62 5.72
-2.49 1.05 1.01 -0.05 -0.9 6.01 0.44 0.38
-0.96 0.62 -0.8 0.05 -1.65 -1.89 1.15 -0.13
0.33 -1.74 0.89 -0.93 0.66 -0.86 2.82 3.83
-2.75 -1.98 -0.7 -1.83 0.11 0.28 1.76 0.27
-0.84 -0.27 0.47 -0.13 1.12 2.79 -0.94 -2.56
0.22 0.07 -0.83 -0.79 -1.87 -1.28 4.32 2.85
0.97 -0.08 0.54 1.97 -0.14 -2.77 -2.76 -3.55
0 0.35 0.29 -0.85 -0.93 2.87 3.82 -0.18
0.15 1.68 1.61 1.98 -2.08 2.95 -0.27 3.94
-0.31 0.83 1.59 -0.64 0.33 5.25 2.01 5.23
1.69 -0.92 -0.33 0.11 0.21 -3.5 0.12 1.59
-0.19 0.88 -0.57 0.27 1.55 -1.55 -4.64 0.61
-0.55 -2.53 -0.91 0.38 2 -6.64 -4.43 -7.78
