X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.39 1.33 -1.2 -0.35 2.47 -0.48 -5.69 -0.87
-1.77 -0.43 -0.07 0.13 1.8 -0.08 -3.19 -3.24
-1.49 -0.86 -0.8 0.15 -0.72 -2.28 -1.21 -6.23
-0.38 1.82 -0.34 -1.43 -0.07 2.12 2.1 5.02
-0.81 -1.14 -0.41 -0.29 -0.46 -0.43 1.29 -0.11
-0.74 0.62 -0.46 -1.39 -0.82 4.22 2.71 -2.03
0.9 -1.37 -1.09 0.7 1.02 -6.66 -3.42 -3.24
-0.12 0.43 -0.31 1.31 1.03 -1.96 -4.28 -1.98
2.5 -0.53 0.3 0.01 -0.63 -2.84 1.5 5.87
0.5 1.35 -0.06 -1.47 1.13 2.93 0.78 4.17
0.51 -1.11 -0.15 1.32 1.5 -3.67 -3.9 -2.28
0.97 -0.08 0.54 1.97 -0.14 -2.08 -3.42 1.5
-0.41 1.05 -0.22 0.65 -1.16 1.23 -0.84 -0.37
1.3 -1.71 0.46 -0.09 -0.5 -1.1 2.1 -1.84
1.49 1.99 -0.47 1.43 0.1 -1.83 -4.18 1.99
-0.69 -0.41 1.04 0.01 0.51 2.85 0.65 -1.95
-3.04 -0.46 1.21 -1.08 2.2 3.19 -0.63 -3.65
-0.54 0.22 0.33 1.35 0.35 0.99 -3.1 -1.51
-0.69 -2.6 -0.94 0.47 -0.51 -5.22 -0.71 -4.69
1.43 -0.25 0.35 -0.37 -2.35 0.48 6.67 4.71
1.32 -0.4 0.11 -0.81 0.33 0.29 1.83 4.94
0.12 -0.2 0.63 -1.22 1.64 1.91 1.34 2.12
1.69 -0.92 -0.33 0.11 0.21 -3.58 0.15 1.84
-0.54 -1.34 1.01 0.17 -0.47 0.78 1.8 -1.71
0.24 -0.81 0.52 1.12 2.83 -2.67 -5.46 -6.68
-0.54 0.22 0.33 1.35 0.35 -0.46 -3.54 -1.64
0.69 -0.28 0.71 0.11 -0.3 2.59 1.7 2.3
0.34 -0.54 -0.48 0.79 0.26 -4.2 -2.73 -0.51
0.51 -1.11 -0.15 1.32 1.5 -4.88 -3.6 -4.04
0.12 -0.2 0.63 -1.22 1.64 0.77 1.12 -2.55
-1.71 -0.19 1.11 0.76 0.51 2.64 -2.62 -4.41
0.52 0.41 -0.23 0.54 0.41 -0.56 -2.63 -0.76
1.09 -0.81 0.89 -0.37 -1.29 3.24 4.98 4.12
1.2 0.16 1.39 0.95 -0.67 2.27 1.3 2.96
0.5 -1.8 -1.82 -0.42 3.09 -8.19 -4.97 -9.01
0.06 0.16 0.22 -1.45 -1.38 1.71 5.64 8.01
-1.88 1.24 -0.56 -0.39 0.51 1.03 -2.17 0.04
0.66 1.53 -0.47 2.55 1.15 -2.55 -8.56 -2.21
0.34 -0.54 -0.48 0.79 0.26 -5.34 -1.96 -1.98
-0.2 0.89 0.37 -0.46 0.37 1.49 0.4 5.7
0.1 1.06 -0.82 0.73 0.73 -0.36 -4.52 4.44
-2.75 -1.98 -0.7 -1.83 0.11 1.04 2.68 -6.54
0.68 -0.69 -2.09 -1.15 -0.06 -6.28 1.35 -0.85
0.55 -0.31 -1.26 -1.25 -0.63 -3.37 2.68 -3.51
-0.54 0.22 0.33 1.35 0.35 -0.15 -3.01 -4.39
0.22 0.07 -0.83 -0.79 -1.87 -2.29 3.18 0.49
0.9 -0.16 -2.75 0 0.2 -7.8 -2.92 -2.71
-0.09 1.36 0.91 -0.19 -0.08 4.05 0.77 5.31
0.41 -0.36 -0.6 0.59 1.39 -3.94 -4.28 -0.68
-1.71 -0.19 1.11 0.76 0.51 2.55 -2.13 -1.69
