X1 X2 X3 X4 X5 Y1 Y2 Y3
2.05 1.46 -0.08 -0.39 0.16 2.09 0.97 7.22
1.87 -0.34 0.15 -0.48 -0.91 1.05 4.43 4.47
0.61 0.06 -0.91 -0.45 -0.94 -1.52 0.98 -1.78
1.2 0.16 1.39 0.95 -0.67 0.9 1.42 5.39
0.11 1.77 0.08 -0.11 -0.43 4.14 0.69 5.69
1.87 -0.34 0.15 -0.48 -0.91 2.09 3.29 -0.13
-0.93 1.34 -1.87 -1.15 -0.42 -0.93 -0.11 0.21
0 0.35 0.29 -0.85 -0.93 2.85 4.13 3.01
-1.2 0.48 0.98 0.1 -0.15 1.67 -0.98 3.51
-1.25 1.57 -1.45 1.6 1.96 -3.09 -9.48 -4.01
0.17 0.06 -0.82 -0.26 -0.46 -0.54 1.18 1.12
0.17 0.06 -0.82 -0.26 -0.46 -2.09 -0.16 1.13
-1.35 -1.51 0.63 -1.42 -0.53 2.06 3.99 -1.86
1.73 -0.09 1.98 1.16 0.39 2.69 -0.72 1.43
0.15 1.68 1.61 1.98 -2.08 4.12 -0.08 4.63
-0.38 1.82 -0.34 -1.43 -0.07 4.43 2.36 1.25
-0.33 0.33 0.75 0.37 -2.3 2.93 4.06 1.92
-0.11 -0.11 1.66 0.93 0.42 3.94 -0.51 1.22
-1.88 -0.07 1 -0.26 -0.46 4.34 1.27 1.49
0.04 -0.51 0.56 2.16 -1.08 -2.22 -1.04 -0.75
0.18 -0.13 -0.76 0.1 0.01 -1.67 -1.21 1.71
1.43 -0.25 0.35 -0.37 -2.35 1.96 6.3 5.39
-0.12 0.43 -0.31 1.31 1.03 -2.54 -5.1 -0.37
0.09 -0.53 -1.14 0.52 -0.14 -4.15 -1.82 -4.12
-1.39 1.33 -1.2 -0.35 2.47 -1.14 -5.35 -6.64
0.79 -0.51 -0.07 -0.22 0.36 -1.39 0.24 -0.04
0.13 0.64 0.8 0.29 -0.07 4.04 0.41 2.7
0.41 -0.97 0.29 0.25 -0.89 -1.73 1.27 1.79
-0.2 1.95 -1.09 0.54 0.72 -1.15 -3.33 -0.72
0.51 -1.11 -0.15 1.32 1.5 -5.29 -4.3 -7.37
-1.88 -0.07 1 -0.26 -0.46 4.34 0.81 -2.73
0.74 -0.12 0.88 -0.67 0.23 2.67 1.73 2.1
1.24 0.31 -0.44 -0.17 0.91 0 -0.79 1.64
0.73 -0.07 -0.62 1.84 -0.94 -3.45 -2.48 -2.09
-0.32 -0.11 0.17 0.48 1.46 -0.65 -3.15 -3.93
-0.33 0.33 0.75 0.37 -2.3 1.97 3.6 7.41
0.5 1.35 -0.06 -1.47 1.13 1.99 0.8 4.57
0.95 1.41 0.06 1.58 0.34 -0.03 -4.44 0.58
0.62 0.69 -0.16 0.94 0.49 -3.31 -2.66 0.27
0.12 -0.2 0.63 -1.22 1.64 0.51 0.85 4.83
0.08 -0.29 0.44 0.36 0.47 1.34 -1.42 5.26
-1.49 -0.86 -0.8 0.15 -0.72 0.07 -0.06 -5.14
0.5 1.35 -0.06 -1.47 1.13 1.15 1.43 4.62
-0.24 1.88 -0.43 -0.96 -0.15 1.47 0.96 -0.68
0.41 -0.5 -0.24 0.06 -0.38 -1.13 0.98 -3.22
-1.88 -0.07 1 -0.26 -0.46 1.53 0.83 -0.83
-0.99 2.17 -1.34 0.15 0 -0.25 -3.24 0.69
1.53 2.18 0.85 -0.34 1.43 3.52 -0.91 7.27
-0.02 -1.67 0.13 0.39 0.29 -2.9 -0.98 -0.69
-1.35 -1.51 0.63 -1.42 -0.53 2.39 4.28 -0.69
