X1 X2 X3 X4 X5 Y1 Y2 Y3
0.41 -0.36 -0.6 0.59 1.39 -2.71 -3.71 -0.24
0.1 1 0.37 0.53 2.76 1 -4.74 0.54
1.73 -0.09 1.98 1.16 0.39 2.07 -0.75 1.43
0.95 0.08 -0.7 0.22 1.05 -4.34 -2.2 0.85
0.69 0.74 0.94 -1.14 -0.25 5.49 4.21 7.39
-2.75 -1.98 -0.7 -1.83 0.11 0.94 1.9 -8.74
0.24 -0.81 0.52 1.12 2.83 -3.26 -5.99 -2.43
-0.3 -0.09 1.37 1.84 1.57 0.49 -4.31 -1.1
1.02 0.3 0.78 -0.71 -0.66 1.02 2.52 6.89
1.14 1.65 0.4 0.17 -0.48 3.32 0.62 5.64
0.69 -0.64 0.52 -0.54 -0.94 2.02 4.53 3.72
-0.86 -0.43 -1.94 1.2 0.37 -7.09 -6.13 -4.98
0.36 -0.27 -0.32 -0.71 0.8 -0.91 -0.31 -1.52
-0.23 1.34 1.76 -0.75 -0.03 7.48 2.19 3.14
0.95 0.08 -0.7 0.22 1.05 -4.02 -2.92 -1.16
1.43 -0.25 0.35 -0.37 -2.35 2.47 6.26 2.34
1.69 -0.92 -0.33 0.11 0.21 -3.63 0.91 -0.97
-0.14 -0.78 -1.06 1.1 -0.12 -3.38 -2.74 -4.13
-1.77 -0.43 -0.07 0.13 1.8 -0.56 -4.13 -2.94
0.58 0.52 0.59 1.78 1.59 -2.14 -4.6 -0.31
-1.02 1.55 1.62 0.05 -1.51 7.98 2.67 7.95
-0.16 -0.9 -1.14 0.43 0.09 -4.05 -1.46 -2.77
-0.32 -0.11 0.17 0.48 1.46 -1.39 -3.41 0.01
0.9 -1.37 -1.09 0.7 1.02 -6.48 -3.26 -5.36
0.11 1.77 0.08 -0.11 -0.43 3.26 0.77 -0.01
0.06 0.16 0.22 -1.45 -1.38 3.01 5.32 3.28
0.9 -1.37 -1.09 0.7 1.02 -4.8 -3.09 -3.74
-1.05 -1.27 1.7 -0.43 -0.67 2.59 3.3 2.59
-1.94 -0.71 -0.55 -0.18 0.03 -1.52 0.06 -4.27
-0.79 -1.27 1.68 -0.77 -0.1 2.82 4.08 -2.44
0.15 1.68 1.61 1.98 -2.08 5.76 -0.29 2.04
0.18 -0.13 -0.76 0.1 0.01 -1.72 -1.6 -2.04
0.06 0.16 0.22 -1.45 -1.38 4.74 5.75 4.37
0.9 -0.16 -2.75 0 0.2 -7.45 -2.69 -4.55
0.51 -1.11 -0.15 1.32 1.5 -4.2 -4.51 -5.84
-1.71 -0.17 -0.65 0.13 0.1 -2.59 -1.78 0.99
0.9 -0.52 0.89 -1.62 1.09 1.65 3.18 4.25
0.34 0.89 0.72 -0.7 -1.25 4.59 3.53 4.05
-0.34 -0.78 0.12 1.98 1.35 -5.86 -5.81 -4.28
-1.8 -0.55 1.85 -0.13 0.84 3.19 0.36 3.55
0.33 -1.74 0.89 -0.93 0.66 1.57 2.2 5.57
1.44 0.49 0.48 -0.19 0.62 3.11 0.84 1.72
-2.75 -1.98 -0.7 -1.83 0.11 -2.39 2.82 -3.8
0.22 0.07 -0.83 -0.79 -1.87 -1.4 3.86 -2.14
1.53 2.18 0.85 -0.34 1.43 4.03 -0.38 2.73
-1.71 -0.19 1.11 0.76 0.51 -0.17 -2.6 -2.51
0.66 1.53 -0.47 2.55 1.15 -3.22 -8.08 -0.31
0.97 -0.08 0.54 1.97 -0.14 -1.71 -2.97 1.62
-1.49 0.23 -0.71 -0.25 -0.82 -0.16 -0.29 0.38
-0.34 1.81 -1.07 -0.65 -0.88 1.81 0.52 1.71
