X1 X2 X3 X4 X5 Y1 Y2 Y3
1.24 1.19 0.67 -0.46 -1.54 5.01 4.37 8.58
0.41 -0.5 -0.24 0.06 -0.38 -0.3 1.34 0.8
-0.97 -0.95 -1.69 0.74 0.06 -5.94 -4.38 -8.53
-1.77 -0.43 -0.07 0.13 1.8 -2.52 -3.66 -2.55
0.18 -0.13 -0.76 0.1 0.01 -1.07 -0.58 1.1
2.05 1.46 -0.08 -0.39 0.16 3.22 0.5 1.25
-0.73 0.68 1.47 -0.91 -0.76 5.99 3.98 5.21
1.36 -0.03 0.71 0.21 -0.64 1.3 2.73 3.42
-0.11 -0.11 1.66 0.93 0.42 0.68 -2.09 3.79
-0.41 0.31 0.36 -0.68 1.17 2.06 -0.51 1.45
-1.46 1.94 0.04 -0.39 0.75 4.38 -1.11 2.43
1.3 -1.71 0.46 -0.09 -0.5 -2.24 2.22 2.03
0.71 1.06 -0.21 -1.6 0.8 2.02 1.33 1.92
0.73 -0.07 -0.62 1.84 -0.94 -2.96 -3.36 -3.84
-1.36 -0.23 0.69 1.38 -0.34 -0.4 -2.64 -2.16
-0.81 -1.14 -0.41 -0.29 -0.46 -0.69 1.47 -4.49
1.14 0.92 -0.68 1.82 -1.23 -2.65 -1.78 -0.38
-0.53 -1.89 0.01 -0.55 0.36 -0.63 1.39 -2.9
-0.66 -2.01 -0.04 -0.73 0.76 -1.7 0.55 -1.99
-0.31 0.83 1.59 -0.64 0.33 4.55 3.03 4.42
1.01 -1.52 -0.64 -0.67 0.66 -3.3 0.46 1.29
-0.47 -1.29 0.67 -1.72 1.33 1.5 3.07 0.75
0.33 -1.74 0.89 -0.93 0.66 -0.25 2.61 1.92
-0.19 0.88 -0.57 0.27 1.55 -1.38 -4.1 -2.59
0.34 -0.54 -0.48 0.79 0.26 -2.82 -1.79 -5.46
-0.81 -1.14 -0.41 -0.29 -0.46 -1.71 0.79 -2.69
0.55 -0.31 -1.26 -1.25 -0.63 -0.44 2.85 0.49
0.03 -0.77 0.59 -0.06 -0.57 -0.36 1.49 2.23
0.52 0.41 -0.23 0.54 0.41 -1.42 -0.91 -0.29
0.18 -0.13 -0.76 0.1 0.01 -2.98 -0.58 -4.9
1.09 -0.81 0.89 -0.37 -1.29 2.18 4.04 0.4
-0.63 0.38 -0.04 -1.24 -0.63 3.01 2.43 0.94
0.97 0.42 0.01 1.43 -1.58 1.1 0.13 2.46
-0.11 -0.11 1.66 0.93 0.42 2.57 -0.65 0.63
-0.53 -1.89 0.01 -0.55 0.36 -1.62 1.22 -4.92
-1.94 -0.71 -0.55 -0.18 0.03 -2.6 -0.81 0.55
0.2 0.8 1.61 -0.8 0.3 5.16 2.64 6.22
-1.94 -0.71 -0.55 -0.18 0.03 -0.9 -1.53 -4.69
0.97 -0.08 0.54 1.97 -0.14 -3.63 -2.56 0.18
-0.69 -2.6 -0.94 0.47 -0.51 -6.79 -0.44 -2.32
1.14 0.92 -0.68 1.82 -1.23 -0.78 -2.95 6.08
0.9 -0.16 -2.75 0 0.2 -5.25 -2.46 -5.21
0.06 0.16 0.22 -1.45 -1.38 1.88 5.98 4.91
1.32 -0.4 0.11 -0.81 0.33 -1.64 2.16 -1.62
0.37 -0.24 0.82 -1.55 1.48 2.45 2.44 -0.82
-1.25 1.57 -1.45 1.6 1.96 -5.87 -9.96 -5.93
0.92 -0.19 -0.56 -0.74 1.92 -2.8 -1.68 0.45
0.74 -0.12 0.88 -0.67 0.23 1.83 2.24 4.46
0.2 0.8 1.61 -0.8 0.3 5.3 2.25 6.85
-0.55 -2.53 -0.91 0.38 2 -6.64 -4.43 -7.78
