X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.81 -1.14 -0.41 -0.29 -0.46 -0.65 1.01 -0.03
1.43 -0.25 0.35 -0.37 -2.35 2.6 6.47 5.42
-1.88 1.24 -0.56 -0.39 0.51 1.28 -2.82 -3.74
0.13 0.64 0.8 0.29 -0.07 1.07 0.47 4.03
1.32 -0.4 0.11 -0.81 0.33 0.89 2.45 4.32
0.95 0.08 -0.7 0.22 1.05 -0.86 -2.88 -4.44
-0.01 1.18 0.67 0.82 -1.82 3.14 1.32 4.36
0.63 -0.91 -0.77 0.15 -0.88 -2.91 1.61 -0.94
-0.02 -1.67 0.13 0.39 0.29 -4.54 -1.76 -0.19
-0.93 1.34 -1.87 -1.15 -0.42 -0.12 -0.13 0.26
0.97 -0.08 0.54 1.97 -0.14 -0.53 -2.07 1.48
1.3 -1.71 0.46 -0.09 -0.5 -2.24 2.22 2.03
0 0.35 0.29 -0.85 -0.93 2.79 3 1.48
-1.51 0.09 1.24 0.23 -0.6 4.4 0.32 -1.66
0.53 -0.2 0.41 0.6 0.99 -1.93 -2.5 -0.54
-1.49 0.23 -0.71 -0.25 -0.82 1.03 0.74 -3.63
0.04 -0.04 0.23 -0.95 1.33 0.26 0.78 -0.48
0.69 -0.64 0.52 -0.54 -0.94 2.49 4.09 2.19
0.33 -0.23 1.98 -1.81 0.19 6.69 5.73 6.77
0.04 -0.04 0.23 -0.95 1.33 -0.37 1.09 0.85
0.15 1.68 1.61 1.98 -2.08 5.77 0.08 7.87
1.58 1.68 0.99 0.74 1.15 2.82 -1.62 5.36
1.65 0.29 1.58 -1.04 0.48 3.83 3.72 7.78
-0.08 -0.65 -1.09 -1.14 -1.5 -1.47 3.85 -1.5
-0.38 1.82 -0.34 -1.43 -0.07 3.81 2.25 -0.07
0.36 -0.27 -0.32 -0.71 0.8 -1.15 -0.01 -0.44
1.1 0.97 0.39 -0.57 -1.71 4.93 4.73 5.86
0.71 1.06 -0.21 -1.6 0.8 0.81 1.26 4.83
-0.1 0.55 -0.2 1.41 -1.23 -0.83 -0.44 -0.45
-1.71 -0.19 1.11 0.76 0.51 1.35 -1.63 -5.19
1.14 2.07 0.39 1.76 -1.75 2.93 -1.37 1.67
-0.69 -0.41 1.04 0.01 0.51 2.46 -0.55 -0.7
-1.49 0.23 -0.71 -0.25 -0.82 1.73 0.5 -0.74
0.9 -1.37 -1.09 0.7 1.02 -6.4 -3.14 -4.83
-1.36 -0.23 0.69 1.38 -0.34 1.03 -2.07 -4.01
-0.41 1.05 -0.22 0.65 -1.16 -0.31 -0.22 5.44
0 0.35 0.29 -0.85 -0.93 2.25 3.33 4.14
-1.39 1.33 -1.2 -0.35 2.47 -1.14 -6.32 -4.04
-0.32 -0.11 0.17 0.48 1.46 -3.23 -3.03 -1.67
-0.34 1.81 -1.07 -0.65 -0.88 0.35 0.76 5.58
1.69 -0.92 -0.33 0.11 0.21 -1.76 -0.26 5.49
0.09 -0.53 -1.14 0.52 -0.14 -1.86 -1.48 -4.25
0.2 0.8 1.61 -0.8 0.3 4.32 3.27 6.27
1.3 -1.71 0.46 -0.09 -0.5 -2.92 2.88 -3.01
-0.69 -0.41 1.04 0.01 0.51 2.14 0.5 -2.89
0.6 0.67 -0.87 -0.86 -1.81 -1.69 3.15 1.74
-0.53 -1.89 0.01 -0.55 0.36 -2.35 1.02 -1.65
0.97 -0.08 0.54 1.97 -0.14 -1.71 -2.97 1.62
-0.54 0.22 0.33 1.35 0.35 -0.63 -3.9 0.57
-0.99 2.17 -1.34 0.15 0 0.59 -3.33 -0.6
