X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.86 0.76 -1.28 1.75 0.27 -2.22 -6.69 -2.92
0.04 -0.51 0.56 2.16 -1.08 -0.11 -1.24 -0.05
1.14 1.65 0.4 0.17 -0.48 2.63 -0.01 2.26
-1.25 1.57 -1.45 1.6 1.96 -5.01 -9.07 -3.22
0.12 -0.2 0.63 -1.22 1.64 2.68 1.12 3.44
-0.08 -0.65 -1.09 -1.14 -1.5 0.72 3.4 -3.82
0.1 1.06 -0.82 0.73 0.73 -2.07 -4.09 -0.13
-0.85 0.09 1.27 -0.26 -1.11 4.72 3.94 2.78
2.02 -0.87 0.43 1.67 -0.01 -4.95 -2.95 2.72
0.69 -0.28 0.71 0.11 -0.3 1.54 1.35 2.85
-1.57 0.47 -0.85 -0.62 -2.15 2.22 3.57 1.3
0.1 1 0.37 0.53 2.76 -0.72 -6.09 0.93
1.49 1.99 -0.47 1.43 0.1 -0.62 -4.2 0.95
0.15 1 -2.06 2.34 1.75 -6.82 -11.05 -8.21
0.79 -0.51 -0.07 -0.22 0.36 -2.36 -0.05 -0.07
0.69 -0.28 0.71 0.11 -0.3 1.93 2.02 -0.13
0.71 1.06 -0.21 -1.6 0.8 1.45 2.41 2.24
1.01 -1.52 -0.64 -0.67 0.66 -2.53 1.04 -1.77
-0.54 -1.34 1.01 0.17 -0.47 1.45 1.57 0.87
-0.19 0.88 -0.57 0.27 1.55 -2.35 -3.2 -1.02
-0.2 1.95 -1.09 0.54 0.72 -0.25 -4.65 2.56
-1.57 0.47 -0.85 -0.62 -2.15 1.75 3.4 0.89
-1.94 -0.71 -0.55 -0.18 0.03 -1.58 -1.11 -2.13
0.58 -1.57 -0.78 1.28 -0.11 -5.82 -2.4 -5.23
1.44 0.49 0.48 -0.19 0.62 1.22 0.88 -0.28
1.66 -0.93 -1.79 -0.33 -1.3 -5.41 1.86 -1.05
-0.54 0.22 0.33 1.35 0.35 1.22 -3.18 -1.01
-0.11 -0.11 1.66 0.93 0.42 1.5 -1.33 2.92
1.44 0.49 0.48 -0.19 0.62 0.59 1.5 2.75
0.69 -0.28 0.71 0.11 -0.3 0.28 1.83 -1.75
-0.38 1.82 -0.34 -1.43 -0.07 4.08 1.18 0.41
-0.23 1.34 1.76 -0.75 -0.03 7.55 2.24 4.78
-0.74 0.62 -0.46 -1.39 -0.82 3.75 3.4 2.38
1.1 0.97 0.39 -0.57 -1.71 3.34 4.67 4.77
-0.09 0.78 0.38 0.49 0.56 1.49 -1.75 -1.36
0.36 -0.27 -0.32 -0.71 0.8 -2.45 0.31 4.29
-0.19 0.88 -0.57 0.27 1.55 -1.69 -4.25 -0.01
-0.2 -0.49 -0.19 -0.51 -0.99 0.39 1.99 -0.51
0.9 -0.16 -2.75 0 0.2 -9.65 -2.6 -3.73
-0.73 0.68 1.47 -0.91 -0.76 5.28 4.17 8.04
1.14 2.07 0.39 1.76 -1.75 3.8 -1.27 10
0.16 -1.19 0.35 0.98 0.41 -0.06 -1.4 -3.5
-0.2 1.95 -1.09 0.54 0.72 -2.07 -3.85 1
1.44 0.49 0.48 -0.19 0.62 -0.44 0.51 -0.53
0.13 0.64 0.8 0.29 -0.07 2.68 0.57 -0.68
-1.95 -0.44 -0.98 -0.16 0.54 -4.42 -3.02 -5.71
-1.36 1.13 -0.39 -0.73 0.18 1.62 -0.4 1.23
0.41 -0.5 -0.24 0.06 -0.38 -1.65 0.44 1.32
0.58 0.52 0.59 1.78 1.59 -1.34 -6.05 1.32
-0.97 -0.95 -1.69 0.74 0.06 -5.31 -3.78 -6.24
