X1 X2 X3 X4 X5 Y1 Y2 Y3
0.66 1.53 -0.47 2.55 1.15 -1.89 -7.93 0.96
-0.97 -0.95 -1.69 0.74 0.06 -4.74 -2.88 -5.05
-0.2 -0.49 -0.19 -0.51 -0.99 -0.06 1.79 -2.2
-0.81 -1.14 -0.41 -0.29 -0.46 -3 1.22 -0.71
1.34 0.96 0.08 2.99 0.65 -1.66 -6.61 1.76
0.15 -0.68 0.58 -0.22 0.33 2.46 0.52 -3.22
1.25 -0.13 0.71 0.18 1.11 -0.27 -0.81 2.48
0.15 -0.68 0.58 -0.22 0.33 0.57 1.61 0.54
1.58 0.3 1.8 -1.56 -0.03 3.76 4.71 9.74
0.69 0.74 0.94 -1.14 -0.25 4.85 3.72 5.99
1.69 -0.92 -0.33 0.11 0.21 -2.32 1.02 1.45
1.14 -0.3 1.64 0.24 1.14 1.3 -0.44 4.14
-1.71 -0.19 1.11 0.76 0.51 2.21 -2.42 -2.85
-1.57 0.47 -0.85 -0.62 -2.15 1.8 2.11 -2.57
0.17 0.06 -0.82 -0.26 -0.46 -2.49 0.01 -0.58
-1.51 0.09 1.24 0.23 -0.6 4.85 1.57 -1.26
1.69 -0.92 -0.33 0.11 0.21 -3.63 0.91 -0.97
1.1 0.97 0.39 -0.57 -1.71 4.71 4.81 5.36
0.69 -0.64 0.52 -0.54 -0.94 1.7 3.6 3.65
0.09 -0.53 -1.14 0.52 -0.14 -5.11 -0.92 -2.56
0.15 -0.68 0.58 -0.22 0.33 0.95 0.64 3.28
1.2 0.16 1.39 0.95 -0.67 2.69 1.71 4.67
1.44 0.49 0.48 -0.19 0.62 0.54 0.33 4.89
0.36 -0.27 -0.32 -0.71 0.8 -1.15 0.18 -1.43
-1.77 -0.43 -0.07 0.13 1.8 -0.83 -3.52 -7.64
0.03 -0.77 0.59 -0.06 -0.57 0.62 1.87 0.39
0.73 -0.07 -0.62 1.84 -0.94 -1.85 -2.42 -1
1.43 -0.25 0.35 -0.37 -2.35 0.47 5.21 5.97
0.17 -0.34 -1.74 0.12 1.4 -6.06 -3.15 -4.68
0.69 -0.28 0.71 0.11 -0.3 0.28 1.83 -1.75
-0.2 0.89 0.37 -0.46 0.37 3.05 -0.33 -0.9
0.04 -0.51 0.56 2.16 -1.08 -0.62 -2.66 -1.89
-0.17 -0.8 0.43 1.48 -0.51 0.28 -1.3 -0.81
0.12 -0.2 0.63 -1.22 1.64 1.48 0.93 0.41
1.53 2.18 0.85 -0.34 1.43 4.18 -0.62 3.58
0.58 0.52 0.59 1.78 1.59 -2.48 -5.37 3.84
-0.52 -0.44 0.36 1.72 1.52 -2.72 -5.85 -2.25
-0.73 0.68 1.47 -0.91 -0.76 6.57 3.54 3.56
-1.05 -1.27 1.7 -0.43 -0.67 1.46 4.07 1.12
1.24 0.31 -0.44 -0.17 0.91 -2.61 -1 4.51
-0.73 0.68 1.47 -0.91 -0.76 7.71 3.55 9.78
1.65 0.29 1.58 -1.04 0.48 6.4 4.24 4.62
0.62 0.69 -0.16 0.94 0.49 -2.33 -2.39 1.53
1.25 -0.13 0.71 0.18 1.11 -1.35 -0.64 -2.02
-1.46 1.94 0.04 -0.39 0.75 3.71 -1.47 -1.98
-0.16 -0.9 -1.14 0.43 0.09 -6.71 -2.65 -4.76
-0.17 -0.8 0.43 1.48 -0.51 -1.71 -1.66 -0.52
-1.02 1.55 1.62 0.05 -1.51 7.1 2.8 6.55
1.25 -0.13 0.71 0.18 1.11 -0.26 -1.2 3.56
-0.24 1.88 -0.43 -0.96 -0.15 3.3 0.74 2.78
