X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.16 -0.9 -1.14 0.43 0.09 -3.5 -1.95 -1.37
-0.24 1.88 -0.43 -0.96 -0.15 3.88 1.65 3.97
0.02 -1.03 -1.71 -1.01 -1.04 -4.01 1.56 -4.68
-1.77 -0.43 -0.07 0.13 1.8 -2.52 -3.66 -2.55
-1.88 1.24 -0.56 -0.39 0.51 2.61 -1.71 1.04
0.03 -0.77 0.59 -0.06 -0.57 2.81 1.62 -2.92
1.01 -1.52 -0.64 -0.67 0.66 -4.16 0.63 -0.78
0.41 -0.5 -0.24 0.06 -0.38 -1.15 1.29 -0.04
-1.51 0.09 1.24 0.23 -0.6 2.03 -0.24 3.25
0.03 -0.77 0.59 -0.06 -0.57 1.26 1.88 1.57
-0.99 2.17 -1.34 0.15 0 1 -2.43 0.97
0.58 0.52 0.59 1.78 1.59 -1.74 -6.14 0.79
-0.54 0.22 0.33 1.35 0.35 -0.23 -3.84 -2.72
0.58 -1.57 -0.78 1.28 -0.11 -5.26 -3.17 -6.44
0.16 -1.19 0.35 0.98 0.41 -3.32 -2.22 -2.42
0.97 -0.08 0.54 1.97 -0.14 -0.49 -2.28 -1.98
0.47 -0.36 -0.47 2.03 -1.93 -3.41 -0.69 -2.29
0.97 -0.08 0.54 1.97 -0.14 -0.06 -2.52 -0.05
-1 -0.45 -0.04 2.68 0.03 -2.65 -6.23 -3.38
0.17 0.06 -0.82 -0.26 -0.46 -2.49 1.39 0.03
-1.8 -0.55 1.85 -0.13 0.84 4.76 -0.01 2.78
-1.36 1.13 -0.39 -0.73 0.18 2.39 0.24 1.1
-0.41 0.31 0.36 -0.68 1.17 1.14 -0.51 2.32
0.17 -0.34 -1.74 0.12 1.4 -5.84 -4.15 -5.57
-0.66 -2.01 -0.04 -0.73 0.76 -1.96 1.16 -6.69
0.41 -0.36 -0.6 0.59 1.39 -3.77 -3.92 -2.89
0.48 -1.08 -0.33 -1.31 0.27 0.29 2.85 0.28
0.58 -1.57 -0.78 1.28 -0.11 -6.8 -2.97 -2.41
0.17 0.06 -0.82 -0.26 -0.46 -1.75 1.49 -0.64
0.47 -0.36 -0.47 2.03 -1.93 -3.71 -0.97 -4.95
-0.19 -0.37 -0.77 1.76 0.3 -3.84 -5.63 -6.96
-0.96 0.62 -0.8 0.05 -1.65 0.85 0.23 -1.05
0.71 1.06 -0.21 -1.6 0.8 3.51 2.07 4.09
0.11 1.77 0.08 -0.11 -0.43 2.94 0.51 2.65
-0.1 0.9 0.53 -1.38 -0.2 4.55 3.51 1.73
1.2 0.16 1.39 0.95 -0.67 0.89 1.31 8.15
0.28 0.22 0.52 -0.2 1.36 0.37 -1.26 2.14
1.42 -0.27 -0.71 -0.04 0.71 -2.92 -1.59 -1.02
-2.49 1.05 1.01 -0.05 -0.9 3.5 1.24 1.26
-2.49 1.05 1.01 -0.05 -0.9 4.72 1.07 4.85
-0.33 0.33 0.75 0.37 -2.3 4.8 2.89 8.38
-1.8 -0.55 1.85 -0.13 0.84 6.37 0.66 -1.53
-2.12 -1.23 1.69 -0.42 -1.5 3.49 5.08 1.8
1.09 -0.81 0.89 -0.37 -1.29 0.26 4.74 -0.33
1.48 -0.9 -0.06 -0.15 -0.15 -1.69 1.95 -2.13
0.16 -1.19 0.35 0.98 0.41 -4.5 -2.4 -3.12
-0.15 -0.54 -0.84 -1.1 0.74 -2.32 0.26 -0.46
-0.55 -2.53 -0.91 0.38 2 -7.41 -4.42 -6.07
-0.84 -0.27 0.47 -0.13 1.12 0.33 -1.83 0.76
-0.41 0.26 0.83 0.56 0.75 1.93 -1.94 0.05
