X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.19 0.88 -0.57 0.27 1.55 -0.32 -4.07 1.06
0.71 1.06 -0.21 -1.6 0.8 2.93 2.52 4.28
1.5 -0.81 0.49 0.37 0.37 -1.52 -0.53 -1.5
-1.02 1.55 1.62 0.05 -1.51 6.01 3.23 6.73
0.58 0.52 0.59 1.78 1.59 0.11 -5.2 1.69
0.1 0.66 -0.11 0.52 -0.32 2.29 -1.32 -2.87
1.24 0.31 -0.44 -0.17 0.91 -1.9 -1.19 1.68
-1.36 -0.23 0.69 1.38 -0.34 0.87 -1.52 -1.68
1.14 1.65 0.4 0.17 -0.48 0.88 -0.53 7.17
1.24 0.31 -0.44 -0.17 0.91 -1.09 -1.22 1.72
1.14 -0.3 1.64 0.24 1.14 2.85 0.9 4.12
0.41 -0.5 -0.24 0.06 -0.38 -2.02 0 1.2
0.73 -0.07 -0.62 1.84 -0.94 -3.29 -3.09 -2.71
-0.84 -0.27 0.47 -0.13 1.12 1.06 -2.05 -3.65
-0.74 0.62 -0.46 -1.39 -0.82 1.06 2.67 1.25
0.41 -0.36 -0.6 0.59 1.39 -2.75 -3.25 -4.69
0.66 1.53 -0.47 2.55 1.15 -3.28 -7.38 -2.45
-0.09 1.36 0.91 -0.19 -0.08 5.71 1.23 3.65
-1.51 0.09 1.24 0.23 -0.6 4.5 0.85 2.13
-0.03 0.23 0.25 -0.01 -0.4 0.08 1.76 1.5
0.65 0.81 1.43 -0.58 0.09 5.39 2.36 8.02
1.66 -0.93 -1.79 -0.33 -1.3 -4.9 2.57 0.21
-0.12 0.43 -0.31 1.31 1.03 -2.54 -5.1 -0.37
-1 -0.45 -0.04 2.68 0.03 -3.32 -6 -5.95
-0.19 0.88 -0.57 0.27 1.55 -0.98 -3.72 -4.72
0.48 -1.08 -0.33 -1.31 0.27 -1.39 2.49 -0.36
1.19 -0.39 0.04 -0.14 -0.4 0.91 1.93 1.97
0.69 0.74 0.94 -1.14 -0.25 3.24 3.34 6.64
-0.02 -1.67 0.13 0.39 0.29 -2.96 0.57 -2.99
1.32 -0.4 0.11 -0.81 0.33 -1.02 2.45 -1.68
-0.1 0.31 1.07 0.18 -0.28 3.56 0.41 -0.57
-1.49 -0.86 -0.8 0.15 -0.72 -1.59 -1.12 -4.58
0.66 1.53 -0.47 2.55 1.15 -1.23 -7.72 -0.6
-1.8 0.05 1.19 1.13 0.23 2.39 -2.2 -2.05
0.47 -0.3 -0.75 0.5 -1.95 -1.5 1.73 -2.11
-0.09 1.36 0.91 -0.19 -0.08 2.95 1.1 8.24
0.1 0.66 -0.11 0.52 -0.32 -0.21 -1.03 2.03
0.2 0.8 1.61 -0.8 0.3 5.86 2.2 4.12
0.34 -0.54 -0.48 0.79 0.26 -5.34 -1.96 -1.98
1.87 -0.34 0.15 -0.48 -0.91 -0.99 3.77 7.14
-0.97 -0.95 -1.69 0.74 0.06 -4.35 -4.16 -0.63
0.47 -0.3 -0.75 0.5 -1.95 0.33 1.98 -1.33
-0.41 0.31 0.36 -0.68 1.17 0.28 0.14 1.9
0.68 -0.69 -2.09 -1.15 -0.06 -6.39 0.88 -5.85
0.55 -0.31 -1.26 -1.25 -0.63 -1.8 3.01 -2.89
0.74 -0.12 0.88 -0.67 0.23 -0.11 1.78 1.93
-1.36 1.13 -0.39 -0.73 0.18 1.62 -0.4 1.23
0.36 -0.27 -0.32 -0.71 0.8 -1.35 -0.02 1.36
-0.09 1.36 0.91 -0.19 -0.08 4.09 0.43 5.72
1.14 0.92 -0.68 1.82 -1.23 -1.75 -2.57 0.47
