X1 X2 X3 X4 X5 Y1 Y2 Y3
0.33 -0.23 1.98 -1.81 0.19 7.08 6 7.84
1.14 1.65 0.4 0.17 -0.48 3.83 1.49 5.74
-1.46 1.94 0.04 -0.39 0.75 3.34 -2.61 -1.44
0.15 1.68 1.61 1.98 -2.08 3.8 0.63 6.64
-0.19 0.88 -0.57 0.27 1.55 -0.11 -3.79 0.98
1.14 0.92 -0.68 1.82 -1.23 -0.13 -2.81 -2.93
-0.3 -0.09 1.37 1.84 1.57 0.01 -5.11 -0.42
-0.47 -1.29 0.67 -1.72 1.33 1.29 3.19 -0.06
0.37 -0.24 0.82 -1.55 1.48 0.33 0.78 4.63
-0.01 1.18 0.67 0.82 -1.82 3.95 1.29 4.41
-3.04 -0.46 1.21 -1.08 2.2 4.51 -0.52 -1.23
0.15 1 -2.06 2.34 1.75 -7.96 -10.93 -4.33
-0.41 0.31 0.36 -0.68 1.17 1.66 -0.83 -0.8
-0.99 2.17 -1.34 0.15 0 0.58 -3.89 -2.89
-0.2 -0.49 -0.19 -0.51 -0.99 -0.98 2.11 -0.03
-1 -0.45 -0.04 2.68 0.03 -2.3 -5.51 -6.77
-0.34 1.81 -1.07 -0.65 -0.88 0.91 1.31 0.86
0.33 -1.74 0.89 -0.93 0.66 1.49 3.04 0.01
-0.54 -1.34 1.01 0.17 -0.47 1.45 1.57 0.87
-0.69 -2.6 -0.94 0.47 -0.51 -6.86 0.42 -5.71
0.02 -1.03 -1.71 -1.01 -1.04 -3.28 2.04 0.71
0.74 -0.12 0.88 -0.67 0.23 2.54 2.97 3.92
0.28 0.22 0.52 -0.2 1.36 0.39 -1.28 2.6
-0.2 -0.49 -0.19 -0.51 -0.99 -0.01 2.59 -0.98
0.36 -0.27 -0.32 -0.71 0.8 -0.74 0.55 -3.56
0.2 -1.66 0.42 -0.23 -0.2 -1.16 1.89 -1.04
-1.88 1.24 -0.56 -0.39 0.51 3.01 -1.84 -0.91
-1.36 1.13 -0.39 -0.73 0.18 0.91 -0.85 1.68
0.04 -0.51 0.56 2.16 -1.08 -1.48 -0.94 -1.42
2.02 -0.87 0.43 1.67 -0.01 -3.77 -1.32 -3.4
-1.8 -0.55 1.85 -0.13 0.84 4.75 -0.38 -3.05
0.79 -0.51 -0.07 -0.22 0.36 -0.75 -0.29 -0.59
1.53 2.18 0.85 -0.34 1.43 5.44 -0.46 6.56
0.12 -0.2 0.63 -1.22 1.64 1.48 0.93 0.41
1.1 0.97 0.39 -0.57 -1.71 3.71 4.64 3.33
0.68 -0.69 -2.09 -1.15 -0.06 -6.44 1 2.25
1.73 -0.09 1.98 1.16 0.39 1.82 -0.1 5.21
-0.24 1.88 -0.43 -0.96 -0.15 3.12 0.35 2.17
1.1 0.97 0.39 -0.57 -1.71 1.14 4.76 5.59
0.15 -0.68 0.58 -0.22 0.33 -0.62 1 4.05
0.68 -0.69 -2.09 -1.15 -0.06 -3.6 0.29 3.21
-0.93 1.34 -1.87 -1.15 -0.42 1.54 0.39 -2.03
-0.84 -0.27 0.47 -0.13 1.12 -0.64 -0.81 0.18
-0.55 -2.53 -0.91 0.38 2 -8.47 -4.21 -11.24
0.73 -0.07 -0.62 1.84 -0.94 -3.21 -2.26 -4.38
0.17 -0.34 -1.74 0.12 1.4 -7.98 -4.82 -5.32
1.58 1.68 0.99 0.74 1.15 2.04 -2.26 5.49
0.5 -1.8 -1.82 -0.42 3.09 -8.85 -5.26 -5.32
0.47 -0.36 -0.47 2.03 -1.93 -3.24 -1.82 0.68
1.14 2.07 0.39 1.76 -1.75 2.83 -0.89 4.4
