X1 X2 X3 X4 X5 Y1 Y2 Y3
0.68 -0.69 -2.09 -1.15 -0.06 -4.08 0.9 0.17
-0.14 -0.78 -1.06 1.1 -0.12 -3.68 -2.3 -2.99
1.32 -0.4 0.11 -0.81 0.33 -0.44 1.34 -0.46
0.11 1.77 0.08 -0.11 -0.43 1.57 0.62 5.08
0.37 -0.24 0.82 -1.55 1.48 3.42 2.4 4.5
-0.09 0.78 0.38 0.49 0.56 3.22 -2.28 -2.78
0.2 0.8 1.61 -0.8 0.3 5.28 2.63 5.77
-0.79 -1.27 1.68 -0.77 -0.1 3.74 4.43 1.42
0.04 -0.04 0.23 -0.95 1.33 -1.21 -1.13 2.98
0.06 0.16 0.22 -1.45 -1.38 3.65 5.33 4.45
1.73 -0.09 1.98 1.16 0.39 3.11 0.75 5.3
1.19 -0.39 0.04 -0.14 -0.4 -1.34 1.12 3.02
-1.05 -1.27 1.7 -0.43 -0.67 3.81 3.37 -0.32
0.37 -0.24 0.82 -1.55 1.48 2.7 1.33 -0.28
0.68 -0.69 -2.09 -1.15 -0.06 -6.11 0.39 -2.52
-0.66 -2.01 -0.04 -0.73 0.76 -1.34 1.27 -5.38
0.41 -0.97 0.29 0.25 -0.89 -1.09 2.43 -0.8
0.41 -0.5 -0.24 0.06 -0.38 0.01 0.9 -0.35
-0.63 0.38 -0.04 -1.24 -0.63 3.05 2.91 3.08
0.29 -1.55 0.92 0.51 -1.38 -0.93 3.85 0.76
1.28 -1.15 -0.86 -1.22 1.19 -3.14 0.51 1.94
-1.86 0.76 -1.28 1.75 0.27 -2.77 -6.2 -4.32
1.44 0.49 0.48 -0.19 0.62 0.54 0.33 4.89
0.69 -0.64 0.52 -0.54 -0.94 1.03 3.83 1.07
0.47 -0.3 -0.75 0.5 -1.95 -1.55 2.01 -3.34
1.43 -0.25 0.35 -0.37 -2.35 1.45 5.58 4.14
0.18 -0.13 -0.76 0.1 0.01 -0.67 -0.71 -0.84
0.58 0.52 0.59 1.78 1.59 -2.15 -6.06 0.94
-1.51 0.09 1.24 0.23 -0.6 3.61 2.08 0.45
0.08 -0.29 0.44 0.36 0.47 -0.83 -0.54 -3.86
-0.69 -0.41 1.04 0.01 0.51 2.49 -0.53 -2.78
0.17 -0.34 -1.74 0.12 1.4 -5.21 -4.87 -5.14
0.33 -1.74 0.89 -0.93 0.66 1.75 3.03 0.96
0.34 -0.54 -0.48 0.79 0.26 -3.14 -2.05 -2.8
0.95 1.41 0.06 1.58 0.34 0.03 -3.76 -0.79
-0.79 -1.27 1.68 -0.77 -0.1 2.15 3.91 5.7
0.71 1.06 -0.21 -1.6 0.8 1.48 1.67 4.58
-0.14 -0.78 -1.06 1.1 -0.12 -4.44 -3.59 -4.79
1.28 -1.15 -0.86 -1.22 1.19 -5.94 1.04 -0.89
0.16 -1.19 0.35 0.98 0.41 -3.24 -1.7 1.58
0.41 -0.36 -0.6 0.59 1.39 -2.23 -4.32 2.8
0.69 0.74 0.94 -1.14 -0.25 6.5 4.24 3.69
0 0.35 0.29 -0.85 -0.93 1.41 3.96 4.19
-0.74 0.62 -0.46 -1.39 -0.82 0.78 3.16 -2.08
1.19 -0.39 0.04 -0.14 -0.4 -0.45 2.1 -1.41
-0.41 0.26 0.83 0.56 0.75 -0.79 -2.4 -0.77
-0.15 -0.54 -0.84 -1.1 0.74 -2.32 0.26 -0.46
1.03 -0.22 1.2 0.75 -0.41 1.16 0.83 4.18
-0.38 1.82 -0.34 -1.43 -0.07 3.24 1.32 5.26
-1.25 1.57 -1.45 1.6 1.96 -3.15 -9.5 -5.1
