X1 X2 X3 X4 X5 Y1 Y2 Y3
1.3 -1.71 0.46 -0.09 -0.5 -0.61 2.9 3.01
-0.34 -0.78 0.12 1.98 1.35 -2.59 -5.32 -3.36
0.1 1 0.37 0.53 2.76 -0.2 -6.25 -2.95
1.65 0.29 1.58 -1.04 0.48 2.82 4.13 7.71
2.5 -0.53 0.3 0.01 -0.63 0.25 3.12 5.74
-0.2 0.89 0.37 -0.46 0.37 4.57 -0.08 -1.58
-1.57 0.47 -0.85 -0.62 -2.15 1.06 2.72 0.76
0.15 1.68 1.61 1.98 -2.08 5.39 1.04 5.12
0.74 -0.12 0.88 -0.67 0.23 0.23 1.12 5.37
-0.84 -0.76 -0.47 0.38 -1.41 -0.81 0.7 -1.06
1.44 0.49 0.48 -0.19 0.62 1.8 1.2 4.5
1.65 0.29 1.58 -1.04 0.48 3.54 3.25 7.41
0.04 -0.04 0.23 -0.95 1.33 0.83 -0.3 -0.8
-0.1 0.55 -0.2 1.41 -1.23 -0.04 -2.21 -2.56
-0.41 1.05 -0.22 0.65 -1.16 0.02 -0.83 0.67
-0.79 -1.27 1.68 -0.77 -0.1 4.47 4.27 -0.83
0.74 -0.12 0.88 -0.67 0.23 1.7 3.03 1.91
-0.14 -0.78 -1.06 1.1 -0.12 -3.38 -2.74 -4.13
-0.84 -0.76 -0.47 0.38 -1.41 -0.78 0.64 -0.65
0.68 -0.69 -2.09 -1.15 -0.06 -6.11 1.77 -1.91
-0.2 -0.49 -0.19 -0.51 -0.99 0.67 2.27 3.2
0.47 -0.3 -0.75 0.5 -1.95 -1.45 2.16 1.04
-0.97 -0.95 -1.69 0.74 0.06 -6.17 -3.75 -4.28
1.24 1.19 0.67 -0.46 -1.54 3.95 4.34 4.93
0.15 1 -2.06 2.34 1.75 -6.99 -9.91 -9.13
-0.02 -1.67 0.13 0.39 0.29 -2.74 -0.62 -2.9
-0.79 -1.27 1.68 -0.77 -0.1 5.13 3.96 1.61
-1.88 -0.07 1 -0.26 -0.46 2.69 0.93 1.74
0.47 -0.3 -0.75 0.5 -1.95 -2.18 2.64 -0.31
-0.19 -0.37 -0.77 1.76 0.3 -5.14 -4.63 -7.75
-1.05 -1.27 1.7 -0.43 -0.67 4.24 3.17 -1.88
0.36 -0.27 -0.32 -0.71 0.8 -0.51 -0.54 -1
1.5 -0.81 0.49 0.37 0.37 0.26 0.52 1.79
-0.69 -0.41 1.04 0.01 0.51 1.91 0.28 -0.6
1.32 -0.4 0.11 -0.81 0.33 0.07 2.24 -0.15
0.65 0.81 1.43 -0.58 0.09 3.41 2.81 9.55
-1.51 0.09 1.24 0.23 -0.6 3.53 0.93 2.12
-2.44 0.71 -0.92 -0.16 0.18 0.35 -3.03 -4.08
-1.46 1.94 0.04 -0.39 0.75 1.28 -1.6 1.13
-0.2 -0.49 -0.19 -0.51 -0.99 -0.9 2.63 3.97
0.69 -0.64 0.52 -0.54 -0.94 2.57 3.25 7.76
0.61 0.06 -0.91 -0.45 -0.94 0.83 2.12 -0.69
-0.55 -2.53 -0.91 0.38 2 -8.35 -3.75 -6.24
1.03 -0.22 1.2 0.75 -0.41 0.11 1.05 -0.99
-0.03 0.23 0.25 -0.01 -0.4 1.36 1.19 -1.82
-0.79 -1.27 1.68 -0.77 -0.1 1.3 3.12 0.24
-0.66 -2.01 -0.04 -0.73 0.76 -2.63 0.67 -2.19
-3.04 -0.46 1.21 -1.08 2.2 3.32 -1.42 -1.1
0.58 0.52 0.59 1.78 1.59 -1.34 -6.05 1.32
0.08 -0.29 0.44 0.36 0.47 0.38 -1.04 -0.35
