X1 X2 X3 X4 X5 Y1 Y2 Y3
1.02 0.3 0.78 -0.71 -0.66 3.89 3.88 6.84
1.14 2.07 0.39 1.76 -1.75 3.41 0.02 5.59
0.69 -0.28 0.71 0.11 -0.3 0.85 0.72 -0.53
-0.54 0.22 0.33 1.35 0.35 -1.75 -3.12 0.33
2.02 -0.87 0.43 1.67 -0.01 -1.86 -1.32 2.6
-0.08 -0.65 -1.09 -1.14 -1.5 0.72 3.4 -3.82
0.69 -0.28 0.71 0.11 -0.3 0.73 1.37 2.8
2.05 1.46 -0.08 -0.39 0.16 1.32 1.59 5.01
1.44 0.49 0.48 -0.19 0.62 -0.99 -0.82 5.54
-1.94 -0.71 -0.55 -0.18 0.03 -0.66 -1.12 -3
0.41 -0.5 -0.24 0.06 -0.38 -0.46 1.34 1.18
-0.15 -0.54 -0.84 -1.1 0.74 -2.63 -0.27 -0.16
0.33 -0.23 1.98 -1.81 0.19 6.26 5.47 4.1
-1.46 1.94 0.04 -0.39 0.75 3.96 -2.58 -1.44
-0.54 0.22 0.33 1.35 0.35 -1.43 -3.83 -1.68
-0.14 -0.78 -1.06 1.1 -0.12 -3.81 -2.51 -6.07
-1.39 1.33 -1.2 -0.35 2.47 -1.88 -5.13 -4.28
0 0.35 0.29 -0.85 -0.93 4.01 3.74 2.7
-2.75 -1.98 -0.7 -1.83 0.11 -0.58 2.11 -3.84
0.92 -0.19 -0.56 -0.74 1.92 -3.5 -0.67 -0.35
-0.73 0.68 1.47 -0.91 -0.76 6.85 3.81 7.27
-1.91 1.68 -0.41 -0.52 0.55 2.93 -1.32 0.64
-1.86 0.76 -1.28 1.75 0.27 -3.56 -6.89 -3.52
0 0.34 -0.55 -0.41 0.22 -0.65 -0.2 -1.27
-0.93 1.34 -1.87 -1.15 -0.42 -0.35 0.42 -4.04
0.34 0.89 0.72 -0.7 -1.25 4.2 3.94 4.56
-3.04 -0.46 1.21 -1.08 2.2 5.2 -1.04 -2.26
-0.79 -1.27 1.68 -0.77 -0.1 2.47 3.22 2.81
1.19 -0.39 0.04 -0.14 -0.4 -0.99 2.76 1.24
1.02 0.3 0.78 -0.71 -0.66 2.2 4.15 0.77
0.79 -0.51 -0.07 -0.22 0.36 -0.72 -0.26 -2.67
-0.1 0.9 0.53 -1.38 -0.2 4.72 2.7 3.06
0.53 -0.2 0.41 0.6 0.99 0.76 -1.77 0.58
0.22 0.07 -0.83 -0.79 -1.87 -0.06 3.96 0.76
-0.69 -2.6 -0.94 0.47 -0.51 -5.43 -0.39 -8.17
2.5 -0.53 0.3 0.01 -0.63 -2.33 2.95 7.89
0.41 -0.97 0.29 0.25 -0.89 -1.06 1.69 1.54
2.05 1.46 -0.08 -0.39 0.16 1.42 0.35 4.05
0.15 1 -2.06 2.34 1.75 -9.5 -10.08 -5.65
2.25 -0.4 -1.08 1.58 -0.55 -6.71 -2.26 2.86
1.61 1.07 2.16 0.34 -0.53 7.24 2.34 12.76
-0.08 -0.65 -1.09 -1.14 -1.5 0.82 4.19 -1.63
0.11 1.77 0.08 -0.11 -0.43 1.72 0.87 4.74
-0.84 -0.27 0.47 -0.13 1.12 -0.76 -1.27 -4.81
1.36 -0.03 0.71 0.21 -0.64 1.32 2.42 0.23
-0.96 0.62 -0.8 0.05 -1.65 -1.93 0.28 -1.23
-1.57 0.47 -0.85 -0.62 -2.15 0.97 2.76 1.02
0.04 -0.51 0.56 2.16 -1.08 -1.46 -2.14 0.47
0.09 -0.53 -1.14 0.52 -0.14 -4.31 -2.37 -0.92
0.2 -1.66 0.42 -0.23 -0.2 -0.58 1.87 -0.95
