X1 X2 X3 X4 X5 Y1 Y2 Y3
0.34 0.89 0.72 -0.7 -1.25 5.26 4.16 7.22
1.28 -1.15 -0.86 -1.22 1.19 -2.67 1.53 0.03
-0.17 -0.8 0.43 1.48 -0.51 -1.5 -2.35 -4.1
-0.09 1.36 0.91 -0.19 -0.08 2.97 1.21 5.48
-0.1 0.9 0.53 -1.38 -0.2 5.37 3.72 6.19
-0.08 -0.65 -1.09 -1.14 -1.5 0.72 3.4 -3.82
-0.24 1.88 -0.43 -0.96 -0.15 2.55 0.79 3.82
0.41 -0.97 0.29 0.25 -0.89 -0.46 2.48 0.4
-1.95 -0.44 -0.98 -0.16 0.54 -4.08 -3.68 -2.27
0.73 -0.07 -0.62 1.84 -0.94 -2.89 -2.77 -0.46
0.92 -0.19 -0.56 -0.74 1.92 -1.55 -0.87 0.73
-0.41 0.26 0.83 0.56 0.75 0.78 -2.38 1.64
0.11 1.77 0.08 -0.11 -0.43 3.1 -0.1 2.03
-0.73 0.68 1.47 -0.91 -0.76 6.74 3.37 1.88
0.48 -1.08 -0.33 -1.31 0.27 -2.36 2.2 -0.4
0.15 1 -2.06 2.34 1.75 -6.37 -9.8 -7.81
-0.41 1.05 -0.22 0.65 -1.16 0.66 0.24 -0.04
-0.41 1.05 -0.22 0.65 -1.16 2.44 -0.09 0.85
0.61 0.06 -0.91 -0.45 -0.94 -0.79 1.55 2.01
1.58 1.68 0.99 0.74 1.15 1.34 -1.25 4.68
-0.15 -0.54 -0.84 -1.1 0.74 -1.38 0.05 1.35
1.87 -0.34 0.15 -0.48 -0.91 0.41 4.25 4.44
-0.74 0.62 -0.46 -1.39 -0.82 1.75 2.98 3.34
-0.2 1.95 -1.09 0.54 0.72 -0.93 -4.33 -1.62
1.03 -0.22 1.2 0.75 -0.41 1.76 1.41 -0.74
-0.63 0.38 -0.04 -1.24 -0.63 2.38 2.96 1.5
-1.77 -0.43 -0.07 0.13 1.8 0.45 -3.72 -3.89
0.22 0.07 -0.83 -0.79 -1.87 -1.12 3.28 3.05
-0.99 2.17 -1.34 0.15 0 -0.21 -2.13 -0.79
1.02 0.3 0.78 -0.71 -0.66 2.2 4.15 0.77
0.06 0.16 0.22 -1.45 -1.38 3.68 4.81 0.64
-0.09 0.78 0.38 0.49 0.56 1.66 -2.56 -0.03
-1.46 1.94 0.04 -0.39 0.75 5.12 -1.56 1.85
-1.57 0.47 -0.85 -0.62 -2.15 1.32 2.99 -0.82
1.32 -0.4 0.11 -0.81 0.33 0.07 2.24 -0.15
0.55 -0.31 -1.26 -1.25 -0.63 -3.42 2.8 4.59
-1.8 0.05 1.19 1.13 0.23 2 -2.47 -0.01
0.41 -0.5 -0.24 0.06 -0.38 -1.05 0.05 -1
0.9 -0.52 0.89 -1.62 1.09 -0.16 3.54 3.03
1.19 -0.39 0.04 -0.14 -0.4 -1.66 1.8 5.3
-0.97 -0.95 -1.69 0.74 0.06 -4.35 -4.16 -0.63
0.09 -0.53 -1.14 0.52 -0.14 -1.86 -1.48 -4.25
0.04 -0.04 0.23 -0.95 1.33 -0.55 0.67 1.9
-0.34 -0.78 0.12 1.98 1.35 -5 -6.01 -8.01
0.69 -0.28 0.71 0.11 -0.3 1.22 1.86 -1.07
-0.47 -1.29 0.67 -1.72 1.33 -1.15 1.88 -1.24
-0.1 0.9 0.53 -1.38 -0.2 3.82 3.3 5
-1.88 -0.07 1 -0.26 -0.46 3.47 1.3 1.7
0.52 0.41 -0.23 0.54 0.41 -1.36 -2.45 2.01
-1.36 -0.23 0.69 1.38 -0.34 1.15 -2.36 -2.04
