X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.69 -0.41 1.04 0.01 0.51 2.89 0.19 2.51
-1.88 -0.07 1 -0.26 -0.46 4.82 2.2 1.19
-0.96 0.62 -0.8 0.05 -1.65 0.16 0.14 -2.7
0.47 -0.36 -0.47 2.03 -1.93 -4.37 -1.04 0.44
-0.91 0.75 1.17 -0.17 0.92 5.11 -0.24 3.88
0.53 -0.2 0.41 0.6 0.99 1.23 -2.46 -3.82
0.69 -0.64 0.52 -0.54 -0.94 0.85 3.68 3.19
-0.41 0.26 0.83 0.56 0.75 1.65 -1.09 0.41
1.66 -0.93 -1.79 -0.33 -1.3 -7.22 0.73 1.66
1.66 -0.93 -1.79 -0.33 -1.3 -4.77 1.87 0.13
0.15 1.68 1.61 1.98 -2.08 6.08 1.1 6.34
0.71 1.06 -0.21 -1.6 0.8 1.21 1.18 4.68
0.48 -1.08 -0.33 -1.31 0.27 -1.15 2.19 -1.44
1.49 1.99 -0.47 1.43 0.1 -0.29 -4.47 -0.18
1.69 -0.92 -0.33 0.11 0.21 -4.27 -0.15 -0.25
-0.73 0.68 1.47 -0.91 -0.76 7.2 4.62 2.28
-0.34 1.81 -1.07 -0.65 -0.88 0.91 1.31 0.86
-0.17 -0.8 0.43 1.48 -0.51 0.01 -1.29 -1.77
0.34 -0.54 -0.48 0.79 0.26 -2.55 -2.4 -0.75
-0.14 -0.78 -1.06 1.1 -0.12 -5.8 -2.1 -3.69
-0.11 -0.11 1.66 0.93 0.42 3.16 -1.08 4.28
-0.97 -0.95 -1.69 0.74 0.06 -5.38 -3.06 -5.07
1.48 -0.9 -0.06 -0.15 -0.15 -2.29 1.45 2.66
1.33 0.16 0.66 -1.23 -1.02 2.98 5.57 4.03
0.03 -0.77 0.59 -0.06 -0.57 1.02 2.43 -2.72
0.69 0.74 0.94 -1.14 -0.25 4.21 3.71 4.81
0.69 -0.64 0.52 -0.54 -0.94 2.71 4.01 2.69
0.04 -0.51 0.56 2.16 -1.08 -2.23 -2.5 0.5
-0.2 -0.49 -0.19 -0.51 -0.99 -0.23 3.59 -0.09
-0.09 1.36 0.91 -0.19 -0.08 3.63 1.27 0.09
0.65 0.81 1.43 -0.58 0.09 5.38 1.99 2.19
-0.1 0.55 -0.2 1.41 -1.23 0.03 -2.16 -0.91
0.02 -1.03 -1.71 -1.01 -1.04 -2.24 2.61 -1.39
0.55 -0.31 -1.26 -1.25 -0.63 -2.03 2.79 -0.6
-2.44 0.71 -0.92 -0.16 0.18 0.41 -2.35 -5.46
0.9 -0.16 -2.75 0 0.2 -8.84 -2.67 0.64
0.69 -0.28 0.71 0.11 -0.3 0.6 1.37 3.25
-0.52 -0.44 0.36 1.72 1.52 -2.02 -6.29 -4.35
-2.49 1.05 1.01 -0.05 -0.9 3.5 1.24 1.26
-0.19 0.88 -0.57 0.27 1.55 -2.28 -4.06 2.36
0.66 1.53 -0.47 2.55 1.15 -1.41 -8.55 4
-2.44 0.71 -0.92 -0.16 0.18 2.24 -2.1 -4.68
-0.73 0.68 1.47 -0.91 -0.76 5.04 4.61 5.71
0.34 -0.54 -0.48 0.79 0.26 -4.48 -2.16 -5.7
-0.19 -0.37 -0.77 1.76 0.3 -4.2 -4.6 -7.07
0.16 -1.19 0.35 0.98 0.41 -4.5 -2.4 -3.12
0.03 -0.77 0.59 -0.06 -0.57 0.35 1.94 1.78
1.69 -0.92 -0.33 0.11 0.21 -3.5 0.12 1.59
1.1 0.97 0.39 -0.57 -1.71 3.09 4.01 7.43
-0.2 -0.49 -0.19 -0.51 -0.99 0.56 2.38 0.1
