X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.2 0.48 0.98 0.1 -0.15 4.54 0.38 3.46
0.5 -1.8 -1.82 -0.42 3.09 -7.5 -4.36 -5.84
0.33 -1.74 0.89 -0.93 0.66 -0.02 1.98 -2.33
-1.46 1.94 0.04 -0.39 0.75 2.11 -1.58 2.74
0.1 1 0.37 0.53 2.76 1.14 -5.14 1.83
0.97 -0.08 0.54 1.97 -0.14 0.68 -3.21 -3.5
-1.88 1.24 -0.56 -0.39 0.51 1.15 -2.17 -0.41
-1.36 -0.23 0.69 1.38 -0.34 0.87 -1.52 -1.68
0.63 -0.91 -0.77 0.15 -0.88 -5.01 -0.36 1.32
0.15 -0.68 0.58 -0.22 0.33 0.91 0.79 1.27
1.58 0.3 1.8 -1.56 -0.03 6.55 6.73 8.69
0.53 -0.2 0.41 0.6 0.99 -1.53 -2.66 1.17
-0.32 -0.11 0.17 0.48 1.46 -0.87 -3.73 -3.12
-0.31 0.83 1.59 -0.64 0.33 6.09 1.36 1.65
0.22 -2.09 2.81 0.83 1.06 1.06 0.16 0.21
0.09 -0.53 -1.14 0.52 -0.14 -3.12 -1.33 -4.94
1.14 -0.3 1.64 0.24 1.14 1.53 0.8 1.71
1.09 -0.81 0.89 -0.37 -1.29 2.97 4.99 3.17
0.13 0.64 0.8 0.29 -0.07 3.03 0.01 3.65
-1.57 0.47 -0.85 -0.62 -2.15 0.27 3.78 0.21
0.41 -0.36 -0.6 0.59 1.39 -3.09 -4.06 0.3
0 0.34 -0.55 -0.41 0.22 -0.14 0.32 0.97
0.61 0.06 -0.91 -0.45 -0.94 -1.75 1.61 2.48
-2.12 -1.23 1.69 -0.42 -1.5 4.63 4.6 -0.82
-0.34 -0.78 0.12 1.98 1.35 -3.34 -5.64 -7.76
0.5 1.35 -0.06 -1.47 1.13 2.29 0.77 2.99
-1.39 1.33 -1.2 -0.35 2.47 0.14 -5.55 -2.89
-0.96 0.62 -0.8 0.05 -1.65 -0.76 0.38 1.34
1.19 -0.39 0.04 -0.14 -0.4 -0.99 2.76 1.24
0.34 0.89 0.72 -0.7 -1.25 3.57 4.43 1.14
-1.05 -1.27 1.7 -0.43 -0.67 4.24 3.17 -1.88
-1.2 0.48 0.98 0.1 -0.15 4.11 -0.37 0.25
0.41 -0.5 -0.24 0.06 -0.38 0.28 0.89 0.61
-0.91 0.75 1.17 -0.17 0.92 3.91 -0.43 0.85
-0.1 0.31 1.07 0.18 -0.28 3.36 1.19 0.18
-0.19 0.88 -0.57 0.27 1.55 -2.69 -3.97 3.13
-0.14 -1.19 -0.21 -0.97 0.06 -1.51 1.99 0.3
0.03 -0.77 0.59 -0.06 -0.57 1.02 1.46 -0.12
0.62 0.69 -0.16 0.94 0.49 -3.31 -2.66 0.27
1.24 1.19 0.67 -0.46 -1.54 3.06 4.38 9.88
0.58 -1.57 -0.78 1.28 -0.11 -4.29 -2.99 1.45
1.43 -0.25 0.35 -0.37 -2.35 3.74 6.11 3.02
-0.11 -0.11 1.66 0.93 0.42 1.34 -0.29 2.71
-0.2 0.89 0.37 -0.46 0.37 1.12 0.38 -1.63
-0.19 0.88 -0.57 0.27 1.55 -1.07 -3.76 -4.34
1.42 -0.27 -0.71 -0.04 0.71 -5.46 -1.66 -1.24
0.97 -0.08 0.54 1.97 -0.14 -1.78 -2.88 1.2
0.69 -0.64 0.52 -0.54 -0.94 0.83 3.63 3.86
-0.85 0.09 1.27 -0.26 -1.11 4.26 2.75 4.55
0.5 1.35 -0.06 -1.47 1.13 2.86 0.75 3.08
