X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.96 0.62 -0.8 0.05 -1.65 1.28 0.98 2.16
-1.25 1.57 -1.45 1.6 1.96 -2.57 -8.6 -3.91
-1.8 -0.55 1.85 -0.13 0.84 4.03 -0.49 -2.61
-0.19 -0.37 -0.77 1.76 0.3 -5.8 -4.7 -2.35
-2.49 1.05 1.01 -0.05 -0.9 6.9 1.34 3.47
-0.41 1.05 -0.22 0.65 -1.16 3.18 -0.79 -2.6
1.44 0.49 0.48 -0.19 0.62 0.64 0.34 3.97
-1.02 1.55 1.62 0.05 -1.51 7.59 3.64 5.2
0.15 1 -2.06 2.34 1.75 -9.19 -11.61 -3.31
-0.23 1.34 1.76 -0.75 -0.03 7.55 2.78 6.52
-0.09 1.36 0.91 -0.19 -0.08 5.24 1.67 5.17
1.73 -0.09 1.98 1.16 0.39 1.55 -0.59 5.31
0.33 -1.74 0.89 -0.93 0.66 0.27 2.29 -1.2
0.95 1.41 0.06 1.58 0.34 0.14 -4.62 -1.1
-0.2 1.95 -1.09 0.54 0.72 -1.9 -4.81 -0.67
-0.3 -0.09 1.37 1.84 1.57 1.22 -4.47 -3.35
-0.16 1.5 -0.81 1.04 0.41 -1.61 -3.78 -1.78
-1.77 -0.43 -0.07 0.13 1.8 0.22 -3.64 -4.39
-0.32 -0.11 0.17 0.48 1.46 -0.44 -3.47 -0.45
-2.12 -1.23 1.69 -0.42 -1.5 3.66 5.51 0.74
-1.39 1.33 -1.2 -0.35 2.47 -0.86 -6.05 -0.33
1.33 0.16 0.66 -1.23 -1.02 3.49 6.09 6.28
-1.02 1.55 1.62 0.05 -1.51 7.02 2.82 6.81
1.33 0.16 0.66 -1.23 -1.02 2.98 5.57 4.03
-0.63 0.38 -0.04 -1.24 -0.63 2.78 3.52 -1.62
0.41 -0.97 0.29 0.25 -0.89 -0.75 1.65 -0.04
-0.01 1.18 0.67 0.82 -1.82 5 1.65 3.86
1.65 0.29 1.58 -1.04 0.48 3.13 3.33 7.57
-0.17 -0.8 0.43 1.48 -0.51 -1.67 -0.54 -1.99
0.52 0.41 -0.23 0.54 0.41 -1.82 -1.61 -3.62
0.9 -0.52 0.89 -1.62 1.09 2.62 2.64 0.03
0.52 0.41 -0.23 0.54 0.41 -0.56 -2.63 -0.76
-0.16 1.5 -0.81 1.04 0.41 0.45 -4.12 0.06
-0.16 1.5 -0.81 1.04 0.41 -1.19 -4.25 -1.48
1.28 -1.15 -0.86 -1.22 1.19 -3.36 0.92 -3.15
1.5 -0.81 0.49 0.37 0.37 -2.76 0.41 5.43
-1.51 0.09 1.24 0.23 -0.6 3.53 0.93 2.12
-1.8 -0.55 1.85 -0.13 0.84 4.48 -0.28 -0.93
-0.85 0.09 1.27 -0.26 -1.11 2.31 3.5 2.7
-0.79 -1.27 1.68 -0.77 -0.1 2.55 3.82 4.94
0.09 -0.53 -1.14 0.52 -0.14 -2.61 -2.41 2.56
0.55 -0.31 -1.26 -1.25 -0.63 0.17 3.01 -1.26
-0.34 1.81 -1.07 -0.65 -0.88 0.1 1.2 3.24
-0.79 -1.27 1.68 -0.77 -0.1 2.19 3.79 -2.39
-0.31 0.83 1.59 -0.64 0.33 5.84 2.46 1.1
-1 -0.45 -0.04 2.68 0.03 -5.46 -6.67 -5.7
-0.54 0.22 0.33 1.35 0.35 -0.73 -3.46 -0.26
-0.96 0.62 -0.8 0.05 -1.65 0.02 0.75 1.3
1.01 -1.52 -0.64 -0.67 0.66 -4.15 0.24 0.3
1.14 0.92 -0.68 1.82 -1.23 -1.75 -2.57 0.47
