X1 X2 X3 X4 X5 Y1 Y2 Y3
0.5 1.35 -0.06 -1.47 1.13 3.35 0.99 5.65
1.14 0.92 -0.68 1.82 -1.23 -1.17 -1.66 1.66
0.22 0.07 -0.83 -0.79 -1.87 -0.2 3.04 -0.98
1.01 -1.52 -0.64 -0.67 0.66 -5.27 1.02 0.07
-0.17 -0.8 0.43 1.48 -0.51 -0.16 -1.24 0.68
1.19 -0.39 0.04 -0.14 -0.4 1.42 1.32 -1.98
-0.97 -0.95 -1.69 0.74 0.06 -6.06 -3.73 -5.2
1.53 2.18 0.85 -0.34 1.43 4.01 -0.07 5.92
0.08 -0.29 0.44 0.36 0.47 -2 -2.16 2.27
1.65 0.29 1.58 -1.04 0.48 4.75 3.72 6.91
0.06 0.16 0.22 -1.45 -1.38 4 6.2 4.94
0.15 -0.68 0.58 -0.22 0.33 -0.3 0.32 1.77
0.9 -0.16 -2.75 0 0.2 -7.3 -3.3 -5.17
-1.46 1.94 0.04 -0.39 0.75 3.96 -2.58 -1.44
0.04 -0.04 0.23 -0.95 1.33 -0.38 -0.29 0.24
0.04 -0.51 0.56 2.16 -1.08 -0.23 -1.45 -3.13
0.17 -0.34 -1.74 0.12 1.4 -6.17 -3.57 -5.34
0 0.34 -0.55 -0.41 0.22 0.8 0.05 -0.15
1.3 -1.71 0.46 -0.09 -0.5 -1 2.64 1.94
-0.54 -1.34 1.01 0.17 -0.47 -0.19 2.7 -0.14
1.24 0.31 -0.44 -0.17 0.91 -1.04 -1.36 3.74
-1.36 -0.23 0.69 1.38 -0.34 1.08 -1.64 -0.87
-0.99 2.17 -1.34 0.15 0 -0.26 -3.3 1.36
2.25 -0.4 -1.08 1.58 -0.55 -5.82 -2.3 -2.09
1.01 -1.52 -0.64 -0.67 0.66 -3.58 1.16 -5.03
1.32 -0.4 0.11 -0.81 0.33 -0.39 1.96 1.74
-0.2 0.89 0.37 -0.46 0.37 4.06 0.54 2.37
1.01 -1.52 -0.64 -0.67 0.66 -4.96 0.22 -0.07
-0.96 0.62 -0.8 0.05 -1.65 0 1.95 -0.59
-0.41 0.31 0.36 -0.68 1.17 0.79 -0.03 -3.14
-1 -0.45 -0.04 2.68 0.03 -2.65 -6.7 -7.6
-0.19 0.88 -0.57 0.27 1.55 -0.75 -4.81 -2.15
1.61 1.07 2.16 0.34 -0.53 7.43 3.18 8.15
-1.49 0.23 -0.71 -0.25 -0.82 0.09 0.37 -2.29
0.6 0.67 -0.87 -0.86 -1.81 0.92 3.9 0.58
1.24 0.31 -0.44 -0.17 0.91 -3.02 -0.91 5.27
-0.84 -0.27 0.47 -0.13 1.12 0.19 -1.44 0.14
-0.93 1.34 -1.87 -1.15 -0.42 -0.36 -0.55 -1.43
0.11 1.77 0.08 -0.11 -0.43 0.75 0.6 3.47
1.87 -0.34 0.15 -0.48 -0.91 -0.99 3.77 7.14
-2.44 0.71 -0.92 -0.16 0.18 1.49 -3.02 2.13
1.73 -0.09 1.98 1.16 0.39 4.41 0.39 2.52
1.24 0.31 -0.44 -0.17 0.91 -2.86 -0.56 2.17
1.28 -1.15 -0.86 -1.22 1.19 -5.08 0.84 -4.62
-1.2 0.48 0.98 0.1 -0.15 3.79 0.68 -1.94
-0.12 0.43 -0.31 1.31 1.03 -4.4 -5.59 -3.16
-0.2 1.95 -1.09 0.54 0.72 -1.2 -4.44 0.75
0.74 -0.12 0.88 -0.67 0.23 1.83 2.24 4.46
-0.3 -0.09 1.37 1.84 1.57 0.03 -5.5 0.66
0.47 -0.3 -0.75 0.5 -1.95 -1.39 1.43 -0.13
