X1 X2 X3 X4 X5 Y1 Y2 Y3
0.36 -0.27 -0.32 -0.71 0.8 -0.08 0.21 2.22
-0.1 0.9 0.53 -1.38 -0.2 5.23 4.12 4.9
-0.99 2.17 -1.34 0.15 0 -0.04 -3.93 -2.9
-0.32 -0.11 0.17 0.48 1.46 -2.4 -3 -0.06
0.73 -0.07 -0.62 1.84 -0.94 -2.25 -2.29 0.94
-0.97 -0.95 -1.69 0.74 0.06 -3.69 -4.02 -9.64
0.17 -0.34 -1.74 0.12 1.4 -6.02 -4.31 -3.45
0 0.35 0.29 -0.85 -0.93 2.85 4.13 3.01
-0.03 0.23 0.25 -0.01 -0.4 -0.76 -0.47 3.63
-0.16 -0.9 -1.14 0.43 0.09 -3.92 -2.16 -2.84
2.5 -0.53 0.3 0.01 -0.63 -0.05 3.52 4.83
0.95 0.08 -0.7 0.22 1.05 -3.62 -3.08 0.56
-1.05 -1.27 1.7 -0.43 -0.67 3.81 3.37 -0.32
-0.34 -0.78 0.12 1.98 1.35 -3.18 -6.78 -6.84
1.5 -0.81 0.49 0.37 0.37 -2.43 -0.2 0.67
-0.19 0.88 -0.57 0.27 1.55 -0.36 -3.61 -3.4
-1.78 -2.36 1.25 1.08 0.6 -1.43 -1.17 -5.85
-1.8 0.05 1.19 1.13 0.23 3.76 -2.07 -1.45
1.5 -0.81 0.49 0.37 0.37 -0.79 0.04 2.29
1.43 -0.25 0.35 -0.37 -2.35 0.48 6.67 4.71
-1.35 -1.51 0.63 -1.42 -0.53 2.5 4.17 2.41
-0.23 1.34 1.76 -0.75 -0.03 7.43 3.48 6.6
-1.39 1.33 -1.2 -0.35 2.47 -1.82 -5.9 -1.48
0.33 -1.74 0.89 -0.93 0.66 0.03 2.78 -1.12
0.04 -0.51 0.56 2.16 -1.08 -0.85 -1.56 -4.45
0.74 -0.12 0.88 -0.67 0.23 2.03 2.25 2.66
-0.53 -1.89 0.01 -0.55 0.36 -0.4 1.31 -2.4
1.36 -0.03 0.71 0.21 -0.64 0.03 1.52 4.8
-0.2 1.95 -1.09 0.54 0.72 -1.15 -3.33 -0.72
0.47 -0.3 -0.75 0.5 -1.95 -2.59 1.94 -3.64
1.02 0.3 0.78 -0.71 -0.66 3.49 3.15 1.55
-1.94 -0.71 -0.55 -0.18 0.03 -0.66 -1.66 -4.74
1.24 1.19 0.67 -0.46 -1.54 5.67 4.59 7.01
1.44 0.49 0.48 -0.19 0.62 0.9 0.62 2.38
1.66 -0.93 -1.79 -0.33 -1.3 -4.95 2.14 -2.94
-0.16 -0.9 -1.14 0.43 0.09 -5.86 -1.85 0.71
0.12 -0.2 0.63 -1.22 1.64 1.09 0.66 2.45
0.04 -0.04 0.23 -0.95 1.33 0.99 -0.4 -0.24
-0.1 0.9 0.53 -1.38 -0.2 1.97 3.63 3.98
-0.84 -0.76 -0.47 0.38 -1.41 -2.34 0.92 1.72
0.69 -0.64 0.52 -0.54 -0.94 2.57 3.25 7.76
0.13 0.64 0.8 0.29 -0.07 4.65 0.58 0.95
1.3 -1.71 0.46 -0.09 -0.5 -2.81 3.34 1.98
-0.85 0.09 1.27 -0.26 -1.11 3.17 3.3 -1.02
1.61 1.07 2.16 0.34 -0.53 6.02 3.26 4.32
-1 -0.45 -0.04 2.68 0.03 -5.46 -6.67 -5.7
0.04 -0.04 0.23 -0.95 1.33 0.32 0.08 1.66
1.12 -0.35 -0.85 -0.85 -1.63 -1.49 4 3.36
0.16 -1.19 0.35 0.98 0.41 -2.52 -2.28 -0.17
-0.19 0.88 -0.57 0.27 1.55 -0.81 -4.3 -1.51
