X1 X2 X3 X4 X5 Y1 Y2 Y3
1.32 -0.4 0.11 -0.81 0.33 0.67 2.18 4.4
1.28 -1.15 -0.86 -1.22 1.19 -2.67 1.53 0.03
-0.23 1.34 1.76 -0.75 -0.03 6.86 2.15 3.14
-0.91 0.75 1.17 -0.17 0.92 2.54 -0.31 3.28
1.58 0.3 1.8 -1.56 -0.03 6.85 6.33 9.61
1.24 0.31 -0.44 -0.17 0.91 0.47 -1.48 -2.77
1.36 -0.03 0.71 0.21 -0.64 0.82 1.93 4.1
-0.63 0.38 -0.04 -1.24 -0.63 2.67 3.79 1.94
-1.91 1.68 -0.41 -0.52 0.55 0.62 -3.16 2.09
-1.91 1.68 -0.41 -0.52 0.55 3.06 -2.02 0.56
1.44 0.49 0.48 -0.19 0.62 1.8 1.2 4.5
-0.32 -0.11 0.17 0.48 1.46 -1.68 -3.88 -0.36
-0.84 -0.76 -0.47 0.38 -1.41 -1.21 0.38 -3.32
-1.86 0.76 -1.28 1.75 0.27 -2.72 -7.48 -7.77
0.1 1 0.37 0.53 2.76 -1.12 -5.92 -0.79
-1 -0.45 -0.04 2.68 0.03 -2.3 -5.51 -6.77
0.62 0.69 -0.16 0.94 0.49 -1.53 -2.28 -0.85
-0.23 1.34 1.76 -0.75 -0.03 8.37 3.21 5.48
0.95 0.08 -0.7 0.22 1.05 -2.38 -2.67 0.46
-1.88 -0.07 1 -0.26 -0.46 2.71 2.4 0.48
-0.02 -1.67 0.13 0.39 0.29 -2.06 -0.76 0.3
1.61 1.07 2.16 0.34 -0.53 6.21 3.45 8.32
0.41 -0.5 -0.24 0.06 -0.38 -1.73 0.47 1.57
1.34 0.96 0.08 2.99 0.65 -2.94 -6.91 -1.81
-1.71 -0.19 1.11 0.76 0.51 2.38 -1.56 -4.89
0.04 -0.04 0.23 -0.95 1.33 0.59 0 0.27
1.58 1.68 0.99 0.74 1.15 3.99 -1.97 4.74
-2.12 -1.23 1.69 -0.42 -1.5 3.65 4.04 2
-0.34 -0.78 0.12 1.98 1.35 -3.97 -5.02 -4.74
-0.2 1.95 -1.09 0.54 0.72 -1.56 -4.03 -4.05
-3.04 -0.46 1.21 -1.08 2.2 4.19 -1.91 -5.53
1.01 -1.52 -0.64 -0.67 0.66 -3.35 0.07 -2.46
1.34 0.96 0.08 2.99 0.65 -1.22 -6.66 0.27
-1.78 -2.36 1.25 1.08 0.6 -1.01 -1.64 -5.55
1.33 0.16 0.66 -1.23 -1.02 3.44 5.66 3.13
0.1 1 0.37 0.53 2.76 -1.45 -5.31 3.98
-1.88 -0.07 1 -0.26 -0.46 3.37 1.34 1.49
1.02 0.3 0.78 -0.71 -0.66 3.22 3.25 3.67
1.33 0.16 0.66 -1.23 -1.02 0.87 5.78 5.38
1.44 0.49 0.48 -0.19 0.62 -0.07 0.54 6.8
0.79 -0.51 -0.07 -0.22 0.36 0.15 -0.16 5.66
0.17 -0.34 -1.74 0.12 1.4 -3.55 -3.81 -5.7
1.44 0.49 0.48 -0.19 0.62 -0.32 0.98 4.47
-0.84 -0.76 -0.47 0.38 -1.41 -2.7 0.89 -5.6
0.22 -2.09 2.81 0.83 1.06 2.35 0.97 -2.49
-0.41 0.31 0.36 -0.68 1.17 -0.72 -1 -0.46
1.01 -1.52 -0.64 -0.67 0.66 -4.25 0.67 -0.52
1.03 -0.22 1.2 0.75 -0.41 1.16 0.83 4.18
-0.09 0.78 0.38 0.49 0.56 0.87 -2.39 2.74
0.1 1 0.37 0.53 2.76 0.43 -5.65 -0.66
