X1 X2 X3 X4 X5 Y1 Y2 Y3
-3.04 -0.46 1.21 -1.08 2.2 4.58 -1.19 -0.24
-0.84 -0.27 0.47 -0.13 1.12 1.65 -0.58 -0.16
1.24 1.19 0.67 -0.46 -1.54 3.89 3.54 3.72
-1 -0.45 -0.04 2.68 0.03 -4.61 -5.77 -2.99
0.17 -0.34 -1.74 0.12 1.4 -4.56 -3.85 -2.01
-1.49 0.23 -0.71 -0.25 -0.82 2.2 -0.19 -5.14
1.2 0.16 1.39 0.95 -0.67 2.01 1.03 4.55
1.69 -0.92 -0.33 0.11 0.21 -3.01 0.97 0.23
-1.02 1.55 1.62 0.05 -1.51 5.49 1.67 7.46
0.06 0.16 0.22 -1.45 -1.38 3.65 5.33 4.45
-0.11 -0.11 1.66 0.93 0.42 3.47 -0.07 2.75
-0.99 2.17 -1.34 0.15 0 -0.55 -3.77 0.99
0.71 1.06 -0.21 -1.6 0.8 2.02 1.33 1.92
-0.24 1.88 -0.43 -0.96 -0.15 3.29 0.18 0.49
-1.88 -0.07 1 -0.26 -0.46 2.7 1.02 -0.13
1.01 -1.52 -0.64 -0.67 0.66 -2.96 1.27 -3.71
0 0.35 0.29 -0.85 -0.93 2.22 4.08 1.8
-0.81 -1.14 -0.41 -0.29 -0.46 -0.26 1.24 -2.55
-0.54 -1.34 1.01 0.17 -0.47 1.45 1.57 0.87
-1.71 -0.17 -0.65 0.13 0.1 -2.26 -1.01 -3.16
0.15 -0.68 0.58 -0.22 0.33 0.95 0.64 3.28
1.1 0.97 0.39 -0.57 -1.71 3.76 5.08 6.48
-2.75 -1.98 -0.7 -1.83 0.11 -1.53 2.17 -3.38
0.29 -1.55 0.92 0.51 -1.38 0.04 2.95 -0.81
0.9 -0.52 0.89 -1.62 1.09 2.36 3.71 -0.45
-1.51 0.09 1.24 0.23 -0.6 3.83 0.89 0.54
-0.02 -1.67 0.13 0.39 0.29 -1.06 -0.26 -2.26
1.14 0.92 -0.68 1.82 -1.23 -3.3 -2.93 2.21
1.49 1.99 -0.47 1.43 0.1 -1.09 -2.7 1.93
-0.84 -0.76 -0.47 0.38 -1.41 -2.08 1.18 -5.66
-1.71 -0.19 1.11 0.76 0.51 2.64 -2.62 -4.41
1.5 -0.81 0.49 0.37 0.37 -0.83 -0.44 0.15
0.2 0.8 1.61 -0.8 0.3 7.18 3.04 5.73
1.1 0.97 0.39 -0.57 -1.71 3.34 4.67 4.77
1.14 1.65 0.4 0.17 -0.48 3.14 0.88 2.57
-0.54 0.22 0.33 1.35 0.35 -1.76 -3.22 3.09
-0.81 -1.14 -0.41 -0.29 -0.46 -2.02 0.83 -1.1
1.5 -0.81 0.49 0.37 0.37 -1.07 -0.32 0.19
-1.8 -0.55 1.85 -0.13 0.84 1.97 0.52 -0.05
0.66 1.53 -0.47 2.55 1.15 -3.84 -7.92 2.27
-0.14 -0.78 -1.06 1.1 -0.12 -3.3 -3.58 1.43
-1.78 -2.36 1.25 1.08 0.6 1.19 -1.42 -6.2
0.33 -1.74 0.89 -0.93 0.66 -1.11 3.26 1.5
0.97 -0.08 0.54 1.97 -0.14 -2.77 -2.76 -3.55
-0.19 -0.37 -0.77 1.76 0.3 -4.2 -4.6 -7.07
-0.74 0.62 -0.46 -1.39 -0.82 -0.11 2.49 0.55
-0.23 1.34 1.76 -0.75 -0.03 6.65 2.84 6.73
1.03 -0.22 1.2 0.75 -0.41 1.16 0.83 4.18
0.11 1.77 0.08 -0.11 -0.43 2.69 -0.16 5.32
0.1 1 0.37 0.53 2.76 0.43 -5.65 -0.66
