X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.63 0.38 -0.04 -1.24 -0.63 3.44 3.18 4.15
1.01 -1.52 -0.64 -0.67 0.66 -2.83 1.49 -0.62
-0.09 1.36 0.91 -0.19 -0.08 4.2 0.17 1.31
0.15 1.68 1.61 1.98 -2.08 3.8 0.63 6.64
0.15 -0.68 0.58 -0.22 0.33 1.55 1.27 2.67
0.52 0.41 -0.23 0.54 0.41 1 -2.35 -3.52
1.66 -0.93 -1.79 -0.33 -1.3 -5.59 1.89 0.08
-0.54 -1.34 1.01 0.17 -0.47 1.07 2.45 -0.27
1.69 -0.92 -0.33 0.11 0.21 -5.11 -1 2.5
-0.34 1.81 -1.07 -0.65 -0.88 1.88 0.54 2.79
0.71 1.06 -0.21 -1.6 0.8 2.77 2.52 4.66
-0.54 -1.34 1.01 0.17 -0.47 0.21 1.16 0.96
-2.12 -1.23 1.69 -0.42 -1.5 4.86 4.11 -0.91
1.73 -0.09 1.98 1.16 0.39 2.69 -0.72 1.43
-0.23 1.34 1.76 -0.75 -0.03 5.95 2.48 5.3
-1.86 0.76 -1.28 1.75 0.27 -2.26 -6.23 -7.38
-0.84 -0.76 -0.47 0.38 -1.41 -1.78 1.46 -3
0.41 -0.5 -0.24 0.06 -0.38 0.01 0.9 -0.35
1.44 0.49 0.48 -0.19 0.62 1.49 0.27 4.43
0.66 1.53 -0.47 2.55 1.15 -3.92 -7.06 -1.12
1.53 2.18 0.85 -0.34 1.43 4.39 -1.03 8.66
0.12 -0.2 0.63 -1.22 1.64 1.91 1.34 2.12
-0.85 0.09 1.27 -0.26 -1.11 4.15 3.12 4.39
0.92 -0.19 -0.56 -0.74 1.92 -2.53 -1.57 -1.92
-2.44 0.71 -0.92 -0.16 0.18 0.35 -2.06 -6.69
0.04 -0.04 0.23 -0.95 1.33 0.59 0 0.27
-1.02 1.55 1.62 0.05 -1.51 8.98 3.17 5.39
1.09 -0.81 0.89 -0.37 -1.29 0.54 4.17 4.86
0.29 -1.55 0.92 0.51 -1.38 -0.19 3.96 0.09
-0.3 -0.09 1.37 1.84 1.57 -0.43 -4.65 -4.96
-1.39 1.33 -1.2 -0.35 2.47 -0.87 -6.42 -6.16
0.1 1.06 -0.82 0.73 0.73 -1.26 -4.65 -1.82
0.33 -0.23 1.98 -1.81 0.19 7.74 6.21 6.27
1.58 0.3 1.8 -1.56 -0.03 5.65 6.15 6.57
-1.36 1.13 -0.39 -0.73 0.18 2.35 -0.19 -2.04
1.14 2.07 0.39 1.76 -1.75 0.96 -0.55 9.04
0.02 -1.03 -1.71 -1.01 -1.04 -4.26 2.21 -0.9
1.44 0.49 0.48 -0.19 0.62 1.21 -0.09 2.32
0.37 -0.24 0.82 -1.55 1.48 0.02 2.31 2.29
0.03 -0.77 0.59 -0.06 -0.57 -0.27 2.1 4.36
1.1 0.97 0.39 -0.57 -1.71 4.79 3.97 10.92
-1.71 -0.17 -0.65 0.13 0.1 1 -1.57 -4.85
-1.46 1.94 0.04 -0.39 0.75 2.26 -1.33 2.39
1.33 0.16 0.66 -1.23 -1.02 1.73 5.58 1.66
-0.09 1.36 0.91 -0.19 -0.08 4.57 1.31 0.77
0.63 -0.91 -0.77 0.15 -0.88 -5.35 0.3 -2.12
-0.3 -0.09 1.37 1.84 1.57 -0.07 -5.07 -0.16
0 0.34 -0.55 -0.41 0.22 -0.85 -0.4 1.51
0.47 -0.3 -0.75 0.5 -1.95 -2.12 1.09 1.99
1.36 -0.03 0.71 0.21 -0.64 1.58 1.88 3.06
