X1 X2 X3 X4 X5 Y1 Y2 Y3
0.15 -0.68 0.58 -0.22 0.33 1.34 0.99 2.75
0.28 0.22 0.52 -0.2 1.36 1.82 -0.41 1.84
1.69 -0.92 -0.33 0.11 0.21 -3.36 -0.48 -2.41
-1.49 -0.86 -0.8 0.15 -0.72 -3.51 -0.17 -2.05
0.9 -1.37 -1.09 0.7 1.02 -5.2 -2.96 -1.79
0.18 -0.13 -0.76 0.1 0.01 -0.16 -1.33 -4.79
-0.12 0.43 -0.31 1.31 1.03 -2.44 -5.08 -1.29
0.41 -0.5 -0.24 0.06 -0.38 -1.15 1.29 -0.04
-0.73 0.68 1.47 -0.91 -0.76 4.37 2.81 6.79
1.48 -0.9 -0.06 -0.15 -0.15 -1.37 1.44 1.79
-1.51 0.09 1.24 0.23 -0.6 4.82 1.78 2.21
-0.16 1.5 -0.81 1.04 0.41 -1.84 -5.01 0.65
-0.23 1.34 1.76 -0.75 -0.03 7.16 2.46 4.26
0.58 0.52 0.59 1.78 1.59 -0.61 -6.27 -3.09
1.53 2.18 0.85 -0.34 1.43 2.74 -1.19 5.43
-2.75 -1.98 -0.7 -1.83 0.11 -0.23 2.83 -7.23
-0.69 -2.6 -0.94 0.47 -0.51 -6.23 0.11 -7.04
0.9 -0.52 0.89 -1.62 1.09 3.41 3.59 2.8
0.12 -0.2 0.63 -1.22 1.64 2.07 0.58 2.45
-0.2 -0.49 -0.19 -0.51 -0.99 -0.97 3.49 0.58
0.9 -0.52 0.89 -1.62 1.09 2.63 3.01 5.86
0.62 0.69 -0.16 0.94 0.49 -0.68 -2.35 1.16
-0.31 0.83 1.59 -0.64 0.33 5.24 1.95 5.89
2.02 -0.87 0.43 1.67 -0.01 -3.14 -1.62 -0.97
0.92 -0.19 -0.56 -0.74 1.92 -2.13 -1.19 -4.05
1.43 -0.25 0.35 -0.37 -2.35 1.45 5.58 4.14
1.44 0.49 0.48 -0.19 0.62 2.5 0.68 3.47
-1.49 0.23 -0.71 -0.25 -0.82 -0.97 -0.31 0
0.65 0.81 1.43 -0.58 0.09 4.48 3.68 4.73
-1.39 1.33 -1.2 -0.35 2.47 -2.17 -5.42 -6.94
1.19 -0.39 0.04 -0.14 -0.4 -0.1 1.07 -1.3
-0.84 -0.76 -0.47 0.38 -1.41 -0.82 0.16 -2.8
-0.09 1.36 0.91 -0.19 -0.08 5.98 1.22 4.6
-0.53 -1.89 0.01 -0.55 0.36 -2 1.25 -3.49
-0.34 -0.78 0.12 1.98 1.35 -3.28 -5.93 -6.53
-1 -0.45 -0.04 2.68 0.03 -4.62 -5.87 -0.23
0.09 -0.53 -1.14 0.52 -0.14 -4.45 -1.97 -1.55
1.14 -0.3 1.64 0.24 1.14 2.26 -0.39 1.94
1.01 -1.52 -0.64 -0.67 0.66 -6.09 0.99 -1.54
0.79 -0.51 -0.07 -0.22 0.36 -2.28 0.47 3.93
-0.84 -0.27 0.47 -0.13 1.12 2.03 -1.87 4.25
0.66 1.53 -0.47 2.55 1.15 -0.66 -7.62 -2.81
1.2 0.16 1.39 0.95 -0.67 1.05 1.66 5.05
-1 -0.45 -0.04 2.68 0.03 -4.57 -5.99 -8.33
-0.1 0.31 1.07 0.18 -0.28 3.21 1.44 -0.67
-0.31 0.83 1.59 -0.64 0.33 3.38 1.46 3.11
-0.97 -0.95 -1.69 0.74 0.06 -6.15 -3.69 -4.95
0.62 0.69 -0.16 0.94 0.49 -1.39 -3.07 1.7
0.73 -0.07 -0.62 1.84 -0.94 -3.7 -3.14 0.57
-2.12 -1.23 1.69 -0.42 -1.5 5.2 4.4 0.26
