X1 X2 X3 X4 X5 Y1 Y2 Y3
1.5 -0.81 0.49 0.37 0.37 -0.4 0.3 3.36
1.69 -0.92 -0.33 0.11 0.21 -2.15 1.03 1.07
0.17 0.06 -0.82 -0.26 -0.46 -1.58 -0.32 -2.75
0.73 -0.07 -0.62 1.84 -0.94 -4.82 -2.36 0.34
-0.93 1.34 -1.87 -1.15 -0.42 0.53 0.35 1.66
-1.86 0.76 -1.28 1.75 0.27 -1.09 -7.16 -8.89
-0.09 0.78 0.38 0.49 0.56 0.85 -2 1.66
1.34 0.96 0.08 2.99 0.65 -2.65 -6.27 -0.37
-1.8 -0.55 1.85 -0.13 0.84 2.28 -1.01 2.29
-1.2 0.48 0.98 0.1 -0.15 4.11 0.17 1.98
-0.41 0.31 0.36 -0.68 1.17 2.41 0.36 1.94
0.58 0.52 0.59 1.78 1.59 -1.74 -6.14 0.79
0.47 -0.36 -0.47 2.03 -1.93 -2.84 -1.77 -2.61
-2.49 1.05 1.01 -0.05 -0.9 6.18 0.27 -1.31
0.28 0.22 0.52 -0.2 1.36 -0.3 -1.59 0.52
1.48 -0.9 -0.06 -0.15 -0.15 -0.99 2.11 -1.19
-0.1 0.55 -0.2 1.41 -1.23 -0.94 -0.85 -1.11
-0.74 0.62 -0.46 -1.39 -0.82 3.49 3.41 1.42
-1 -0.45 -0.04 2.68 0.03 -2.65 -6.23 -3.38
0.69 -0.28 0.71 0.11 -0.3 -0.06 2.43 2.24
0.53 -0.2 0.41 0.6 0.99 -0.28 -2.34 2.69
0.73 -0.07 -0.62 1.84 -0.94 -3.02 -2.08 -0.38
0.1 1 0.37 0.53 2.76 -0.43 -5.62 1.3
2.5 -0.53 0.3 0.01 -0.63 -1.03 2.82 2.17
-0.24 1.88 -0.43 -0.96 -0.15 3.13 1.32 -0.43
-0.84 -0.27 0.47 -0.13 1.12 0.5 -1.47 -1.45
-0.16 -0.9 -1.14 0.43 0.09 -2.88 -1.81 -3.39
0.69 0.74 0.94 -1.14 -0.25 3.24 3.34 6.64
0.48 -1.08 -0.33 -1.31 0.27 -1.61 3.68 -0.45
1.66 -0.93 -1.79 -0.33 -1.3 -6.04 2.35 -4.47
-0.84 -0.27 0.47 -0.13 1.12 1.17 -1.98 -4.08
-0.1 0.55 -0.2 1.41 -1.23 0.03 -2.16 -0.91
-0.02 -1.67 0.13 0.39 0.29 -1.02 -0.19 -1.81
-0.33 0.33 0.75 0.37 -2.3 3.35 3.59 2.22
1.14 2.07 0.39 1.76 -1.75 2.72 -0.59 2.42
0.18 -0.13 -0.76 0.1 0.01 -3.65 -0.75 3.25
0.55 -0.31 -1.26 -1.25 -0.63 -2.42 2.52 1.44
1.44 0.49 0.48 -0.19 0.62 1.21 -0.09 2.32
-0.51 -0.24 1.13 -0.82 0.73 0.84 1.87 1.55
-0.84 -0.76 -0.47 0.38 -1.41 -2.34 0.92 1.72
1.48 -0.9 -0.06 -0.15 -0.15 -0.48 1.03 6.31
-1.51 0.09 1.24 0.23 -0.6 6.12 1.42 -0.57
-1.02 1.55 1.62 0.05 -1.51 6.16 3.47 6.38
0.48 -1.08 -0.33 -1.31 0.27 -2.64 2.69 -3.72
-1.78 -2.36 1.25 1.08 0.6 -0.78 -1.42 -7.83
-1.8 0.05 1.19 1.13 0.23 0.16 -2.99 -2.32
1.14 2.07 0.39 1.76 -1.75 1.99 -0.79 5.69
0.69 -0.28 0.71 0.11 -0.3 0.71 1.32 3.47
0.1 0.66 -0.11 0.52 -0.32 -0.07 -1.42 2.65
0.15 -0.68 0.58 -0.22 0.33 0.84 0.76 0.18
