ID Salary Experience Employed Education Gender Department
103 23720 0 0 0 F 3
164 38886 7 18 9 M 1
70 30910 0 2 3 F 2
76 31783 4 21 5 M 1
6 35487 2 8 2 F 4
20 37548 9 19 4 M 3
131 36281 4 9 4 F 2
125 35280 6 9 2 F 4
132 26428 6 0 2 F 2
38 41255 4 9 6 M 4
113 30753 11 3 3 M 1
111 36780 5 6 2 M 4
178 26590 6 0 2 F 2
134 36421 1 6 4 M 2
182 31616 6 7 5 F 3
29 41889 16 22 7 M 1
110 39053 6 18 5 F 1
93 65780 0 27 12 F 4
92 34075 3 1 2 F 4
58 46954 3 9 6 F 4
105 36805 6 6 4 F 4
141 32683 1 0 7 M 1
33 34987 6 9 2 F 4
28 51698 6 18 6 M 4
149 23845 0 0 0 F 3
184 29838 3 1 2 F 4
5 34869 5 7 4 F 4
169 72632 3 22 10 M 4
151 39898 6 6 4 F 4
120 51991 6 18 6 M 4
37 39743 6 9 5 F 4
13 36512 6 6 4 F 4
157 39873 5 6 2 M 4
119 53300 0 25 6 M 3
21 31528 11 3 3 M 1
7 26548 1 5 0 M 4
54 25912 3 15 9 F 1
56 41854 2 6 6 M 4
170 52081 19 6 8 M 4
153 71811 2 25 12 M 4
65 44110 5 6 2 M 4
126 28210 1 0 4 F 1
57 23625 0 0 0 F 3
61 76048 2 25 12 M 4
71 44708 9 6 4 M 2
35 35631 4 6 4 M 4
39 36431 4 9 4 F 2
9 29548 6 5 1 M 1
130 41548 4 9 6 M 4
133 47602 5 15 6 M 3
