ID Salary Experience Employed Education Gender Department
111 36780 5 6 2 M 4
84 48878 4 9 6 M 4
71 44708 9 6 4 M 2
115 46504 5 14 6 F 4
147 29449 6 5 1 M 1
149 23845 0 0 0 F 3
90 31396 6 7 5 F 3
7 26548 1 5 0 M 4
37 39743 6 9 5 F 4
69 53834 5 14 6 F 4
184 29838 3 1 2 F 4
70 30910 0 2 3 F 2
53 34171 1 5 0 M 4
144 38873 2 8 2 F 4
177 36443 4 9 4 F 2
39 36431 4 9 4 F 2
181 56338 3 12 8 M 2
29 41889 16 22 7 M 1
133 47602 5 15 6 M 3
162 29888 0 2 3 F 2
176 44641 4 9 6 M 4
47 73110 0 27 12 F 4
22 34632 4 5 4 M 4
79 42610 6 9 2 F 4
54 25912 3 15 9 F 1
141 32683 1 0 7 M 1
5 34869 5 7 4 F 4
139 68873 0 27 12 F 4
67 24520 11 3 3 M 1
85 37465 4 9 4 F 2
158 37739 9 19 4 M 3
38 41255 4 9 6 M 4
131 36281 4 9 4 F 2
10 34231 2 6 6 M 4
88 37605 1 6 4 M 2
36 54679 3 20 6 F 3
163 43686 9 6 4 M 2
52 43110 2 8 2 F 4
101 28773 6 5 1 M 1
12 39331 3 9 6 F 4
135 56176 3 12 8 M 2
118 38210 7 18 9 M 1
42 36571 1 6 4 M 2
153 71811 2 25 12 M 4
142 58285 5 12 8 F 4
121 41114 16 22 7 M 1
56 41854 2 6 6 M 4
80 21977 1 0 4 F 1
9 29548 6 5 1 M 1
11 23654 0 0 0 F 3
