ID Salary Experience Employed Education Gender Department
92 34075 3 1 2 F 4
151 39898 6 6 4 F 4
1 65487 0 27 12 F 4
38 41255 4 9 6 M 4
172 28886 1 0 4 F 1
111 36780 5 6 2 M 4
62 36502 5 9 4 F 2
7 26548 1 5 0 M 4
132 26428 6 0 2 F 2
90 31396 6 7 5 F 3
85 37465 4 9 4 F 2
67 24520 11 3 3 M 1
42 36571 1 6 4 M 2
66 37519 9 19 4 M 3
88 37605 1 6 4 M 2
12 39331 3 9 6 F 4
147 29449 6 5 1 M 1
139 68873 0 27 12 F 4
84 48878 4 9 6 M 4
31 69246 3 22 10 M 4
134 36421 1 6 4 M 2
24 29876 0 2 3 F 2
94 46477 3 20 4 M 4
135 56176 3 12 8 M 2
4 54899 5 12 8 F 4
162 29888 0 2 3 F 2
9 29548 6 5 1 M 1
96 55192 5 12 8 F 4
128 54745 3 20 6 F 3
148 37617 2 6 6 M 4
32 48695 19 6 8 M 4
50 62522 5 12 8 F 4
121 41114 16 22 7 M 1
177 36443 4 9 4 F 2
22 34632 4 5 4 M 4
33 34987 6 9 2 F 4
133 47602 5 15 6 M 3
73 53205 0 25 6 M 3
184 29838 3 1 2 F 4
124 48988 19 6 8 M 4
110 39053 6 18 5 F 1
116 29726 0 2 3 F 2
129 40036 6 9 5 F 4
70 30910 0 2 3 F 2
180 36583 1 6 4 M 2
152 35479 6 3 6 F 2
145 29934 1 5 0 M 4
74 59321 6 18 6 M 4
171 38373 6 9 2 F 4
108 35318 5 9 4 F 2
