ID Salary Experience Employed Education Gender Department
140 49570 3 20 4 M 4
156 39729 6 18 5 F 1
40 26578 6 0 2 F 2
112 37614 9 19 4 M 3
120 51991 6 18 6 M 4
27 53234 0 25 6 M 3
124 48988 19 6 8 M 4
78 56318 19 6 8 M 4
165 53425 0 25 6 M 3
38 41255 4 9 6 M 4
77 76869 3 22 10 M 4
149 23845 0 0 0 F 3
63 36549 4 4 8 M 3
182 31616 6 7 5 F 3
26 38985 7 18 9 M 1
167 41790 16 22 7 M 1
32 48695 19 6 8 M 4
86 27612 6 0 2 F 2
177 36443 4 9 4 F 2
64 32820 6 18 5 F 1
183 24650 2 6 0 F 1
130 41548 4 9 6 M 4
179 47727 5 15 6 M 3
178 26590 6 0 2 F 2
119 53300 0 25 6 M 3
117 43524 9 6 4 M 2
57 23625 0 0 0 F 3
12 39331 3 9 6 F 4
91 17741 2 6 0 F 1
180 36583 1 6 4 M 2
141 32683 1 0 7 M 1
60 36501 6 3 6 F 2
150 42717 3 9 6 F 4
108 35318 5 9 4 F 2
158 37739 9 19 4 M 3
3 32782 1 0 7 M 1
13 36512 6 6 4 F 4
122 38016 4 21 5 M 1
144 38873 2 8 2 F 4
134 36421 1 6 4 M 2
96 55192 5 12 8 F 4
51 42492 5 7 4 F 4
84 48878 4 9 6 M 4
154 35480 5 9 4 F 2
127 35924 4 6 4 M 4
104 39624 3 9 6 F 4
146 32821 3 15 9 F 1
115 46504 5 14 6 F 4
31 69246 3 22 10 M 4
125 35280 6 9 2 F 4
