ID Salary Experience Employed Education Gender Department
67 24520 11 3 3 M 1
104 39624 3 9 6 F 4
42 36571 1 6 4 M 2
157 39873 5 6 2 M 4
16 35468 5 9 4 F 2
114 34925 4 5 4 M 4
80 21977 1 0 4 F 1
66 37519 9 19 4 M 3
160 38018 4 5 4 M 4
9 29548 6 5 1 M 1
168 38692 4 21 5 M 1
79 42610 6 9 2 F 4
89 57360 3 12 8 M 2
183 24650 2 6 0 F 1
65 44110 5 6 2 M 4
69 53834 5 14 6 F 4
31 69246 3 22 10 M 4
22 34632 4 5 4 M 4
49 25774 1 0 7 M 1
64 32820 6 18 5 F 1
90 31396 6 7 5 F 3
75 34881 16 22 7 M 1
93 65780 0 27 12 F 4
144 38873 2 8 2 F 4
106 35317 6 3 6 F 2
14 35467 6 3 6 F 2
182 31616 6 7 5 F 3
147 29449 6 5 1 M 1
149 23845 0 0 0 F 3
87 47507 5 15 6 M 3
126 28210 1 0 4 F 1
115 46504 5 14 6 F 4
34 28985 1 0 4 F 1
166 55084 6 18 6 M 4
145 29934 1 5 0 M 4
108 35318 5 9 4 F 2
62 36502 5 9 4 F 2
17 36578 4 4 8 M 3
119 53300 0 25 6 M 3
11 23654 0 0 0 F 3
131 36281 4 9 4 F 2
56 41854 2 6 6 M 4
98 35780 2 8 2 F 4
96 55192 5 12 8 F 4
148 37617 2 6 6 M 4
121 41114 16 22 7 M 1
165 53425 0 25 6 M 3
117 43524 9 6 4 M 2
47 73110 0 27 12 F 4
60 36501 6 3 6 F 2
