ID Salary Experience Employed Education Gender Department
155 36769 4 4 8 M 3
22 34632 4 5 4 M 4
7 26548 1 5 0 M 4
126 28210 1 0 4 F 1
43 56326 3 12 8 M 2
26 38985 7 18 9 M 1
96 55192 5 12 8 F 4
11 23654 0 0 0 F 3
88 37605 1 6 4 M 2
184 29838 3 1 2 F 4
73 53205 0 25 6 M 3
2 46184 3 20 4 M 4
105 36805 6 6 4 F 4
132 26428 6 0 2 F 2
14 35467 6 3 6 F 2
115 46504 5 14 6 F 4
84 48878 4 9 6 M 4
162 29888 0 2 3 F 2
136 31491 6 7 5 F 3
150 42717 3 9 6 F 4
29 41889 16 22 7 M 1
79 42610 6 9 2 F 4
74 59321 6 18 6 M 4
66 37519 9 19 4 M 3
161 49597 5 14 6 F 4
87 47507 5 15 6 M 3
174 54870 3 20 6 F 3
176 44641 4 9 6 M 4
110 39053 6 18 5 F 1
24 29876 0 2 3 F 2
159 31429 11 3 3 M 1
164 38886 7 18 9 M 1
111 36780 5 6 2 M 4
172 28886 1 0 4 F 1
118 38210 7 18 9 M 1
163 43686 9 6 4 M 2
81 43254 4 6 4 M 4
134 36421 1 6 4 M 2
59 44135 6 6 4 F 4
77 76869 3 22 10 M 4
20 37548 9 19 4 M 3
19 36487 5 6 2 M 4
56 41854 2 6 6 M 4
167 41790 16 22 7 M 1
36 54679 3 20 6 F 3
139 68873 0 27 12 F 4
146 32821 3 15 9 F 1
141 32683 1 0 7 M 1
17 36578 4 4 8 M 3
4 54899 5 12 8 F 4
