ID Salary Experience Employed Education Gender Department
151 39898 6 6 4 F 4
72 31977 7 18 9 M 1
13 36512 6 6 4 F 4
162 29888 0 2 3 F 2
148 37617 2 6 6 M 4
80 21977 1 0 4 F 1
83 47366 6 9 5 F 4
145 29934 1 5 0 M 4
147 29449 6 5 1 M 1
51 42492 5 7 4 F 4
50 62522 5 12 8 F 4
90 31396 6 7 5 F 3
112 37614 9 19 4 M 3
124 48988 19 6 8 M 4
78 56318 19 6 8 M 4
95 32007 1 0 7 M 1
43 56326 3 12 8 M 2
129 40036 6 9 5 F 4
75 34881 16 22 7 M 1
8 32920 3 15 9 F 1
30 38791 4 21 5 M 1
96 55192 5 12 8 F 4
38 41255 4 9 6 M 4
137 23974 2 6 0 F 1
102 34524 2 6 6 M 4
143 38255 5 7 4 F 4
178 26590 6 0 2 F 2
79 42610 6 9 2 F 4
92 34075 3 1 2 F 4
104 39624 3 9 6 F 4
176 44641 4 9 6 M 4
135 56176 3 12 8 M 2
81 43254 4 6 4 M 4
167 41790 16 22 7 M 1
107 68718 2 25 12 M 4
175 43129 6 9 5 F 4
11 23654 0 0 0 F 3
22 34632 4 5 4 M 4
97 35162 5 7 4 F 4
57 23625 0 0 0 F 3
24 29876 0 2 3 F 2
169 72632 3 22 10 M 4
111 36780 5 6 2 M 4
6 35487 2 8 2 F 4
9 29548 6 5 1 M 1
113 30753 11 3 3 M 1
165 53425 0 25 6 M 3
114 34925 4 5 4 M 4
182 31616 6 7 5 F 3
21 31528 11 3 3 M 1
