X1 X2 X3 X4 X5 Y1 Y2 Y3
-0.62 -0.27 0.15 0.1 -0.48 1.78 0.3 1.88
-0.24 0.59 0.39 -1.44 0.91 2.86 2.1 3.87
-0.2 -0.86 -1.37 -0.63 0.6 -3.55 -0.26 -7
-0.8 -0.75 0.89 -1.7 0.03 4.35 4.86 3.75
-0.65 0.27 -0.15 -0.69 -0.58 0.59 2.12 -2.97
0.63 -0.07 -1.84 -0.75 -0.92 -3.16 1.39 0.04
0.07 -1.78 -0.29 -2.29 1.72 -2.48 2.67 0.52
0.17 0.79 1 -1.86 0.44 6.57 3.81 2.13
1.84 0.22 0.73 1.41 -1.21 -0.82 0.22 0.96
-0.31 -0.35 -0.47 0.38 0.94 -1.52 -3.73 -0.76
0.96 0.76 -1.09 -1.5 -0.42 0.48 2.54 3.74
-0.99 -0.05 1.18 0.24 -0.21 3.37 0.23 0.78
1.24 -1.36 -0.73 -0.18 0.02 -3.85 0.95 -2
-0.39 1.19 -0.32 -0.2 0.41 -1.2 -1.22 1.27
-0.79 0.3 -0.39 -0.13 -0.56 -0.15 0.65 0.68
0.39 0.19 1.29 -0.7 0.91 4.28 2.05 2.76
-0.07 -0.08 -1.2 0.06 0.28 -2.87 -1.66 -0.93
-0.61 0.11 0.46 -0.47 -1.7 3.18 4.66 3.94
-0.38 -0.46 0.52 0.27 0.14 -0.72 -0.49 -0.52
-0.6 1.78 0.06 2.02 -0.84 0.83 -4.54 -1.77
0.19 1.24 0.09 -0.58 -1.59 3.74 3.52 1.8
-0.3 0.85 0.71 0.56 0.16 2.43 -0.42 1.68
-0.66 -1.27 1.48 0.73 0.97 1.5 -1.9 -3.14
1.51 -1.39 1.26 -0.99 0.36 0.55 5.27 2.64
-0.51 -0.93 0.4 -1.14 0.43 0.18 2.13 -0.7
-0.25 -1.09 -0.56 -0.15 0.29 -2.17 -0.29 -3.15
-0.61 0.11 0.46 -0.47 -1.7 3.01 4.18 1.43
-1.65 -1.03 0.38 0.73 1 -0.69 -3.98 -6.26
-1.19 -0.94 0.61 -0.7 -1.25 1.24 4.82 -1.25
0.14 -0.84 -0.82 -0.56 -0.4 -2.5 1.25 0.25
1.9 -2.56 -0.84 -0.96 -0.84 -2.23 4.56 -2.43
-0.63 0.31 -2.04 0.77 -0.59 -2.4 -4.38 -4.18
0.7 2.06 -0.41 -1.86 2.08 -0.41 -0.9 5.67
-1.96 -1.48 2.3 1.05 -1.64 3.73 3.16 0.28
1.37 0.95 -1.71 -0.84 -1.25 -2.55 2.75 2.07
-1.57 -0.78 1.46 0.82 -0.55 2.92 -0.41 -1.57
-0.79 0.3 -0.39 -0.13 -0.56 1.15 0.13 -3.15
0.96 -0.12 -0.38 -0.12 -0.06 -1.2 1.35 1.54
-1.19 -0.54 -1.53 -1.05 1.22 -3.69 -1.91 -2.57
-1.38 -1.71 0.04 -0.76 -0.27 -1.08 2.52 -2.54
-0.42 -2.2 0.08 -0.61 1.32 -1.99 -0.24 0.62
-0.99 -0.18 0.51 -1.53 -1.7 4.27 6.46 3.87
0.19 2.07 -1.24 0.03 1.78 0.83 -4.43 0.97
-0.85 0.65 -0.81 -0.22 -1.56 -1.35 1.6 1.3
1.26 1.44 1.19 -0.89 -1.72 7.36 5.7 9.86
0.96 -0.12 -0.38 -0.12 -0.06 -2.13 1.1 -1.16
0.87 1 -0.02 0.43 -0.43 0.73 0.22 2.2
0.63 1.52 -1.48 -0.83 -1.58 -0.5 2.88 4.03
-0.26 1.72 0.67 0.81 2.1 1.14 -5.06 0.71
-2.63 -0.99 0.38 -0.64 1.21 0.31 -0.59 -5.22
