ID Salary Experience Employed Education Gender Department
105 36805 6 6 4 F 4
166 55084 6 18 6 M 4
163 43686 9 6 4 M 2
145 29934 1 5 0 M 4
167 41790 16 22 7 M 1
133 47602 5 15 6 M 3
59 44135 6 6 4 F 4
83 47366 6 9 5 F 4
67 24520 11 3 3 M 1
10 34231 2 6 6 M 4
168 38692 4 21 5 M 1
49 25774 1 0 7 M 1
86 27612 6 0 2 F 2
19 36487 5 6 2 M 4
57 23625 0 0 0 F 3
6 35487 2 8 2 F 4
164 38886 7 18 9 M 1
170 52081 19 6 8 M 4
97 35162 5 7 4 F 4
55 22540 6 5 1 M 1
37 39743 6 9 5 F 4
74 59321 6 18 6 M 4
132 26428 6 0 2 F 2
155 36769 4 4 8 M 3
182 31616 6 7 5 F 3
40 26578 6 0 2 F 2
180 36583 1 6 4 M 2
14 35467 6 3 6 F 2
121 41114 16 22 7 M 1
169 72632 3 22 10 M 4
114 34925 4 5 4 M 4
58 46954 3 9 6 F 4
81 43254 4 6 4 M 4
177 36443 4 9 4 F 2
48 53807 3 20 4 M 4
172 28886 1 0 4 F 1
4 54899 5 12 8 F 4
111 36780 5 6 2 M 4
7 26548 1 5 0 M 4
47 73110 0 27 12 F 4
162 29888 0 2 3 F 2
110 39053 6 18 5 F 1
18 39828 6 18 5 F 1
144 38873 2 8 2 F 4
28 51698 6 18 6 M 4
50 62522 5 12 8 F 4
96 55192 5 12 8 F 4
181 56338 3 12 8 M 2
87 47507 5 15 6 M 3
142 58285 5 12 8 F 4
