X1 X2 X3 X4 X5 Y1 Y2 Y3
-1.38 -1.71 0.04 -0.76 -0.27 0.71 1.86 -0.45
0.05 -2.7 0.26 -0.46 -0.78 -2.28 4.06 -0.36
-0.59 2.53 0.89 -1.38 -0.63 8.4 4.21 2.94
0.33 0.13 -1.31 -0.31 -0.43 -1.53 0.46 1.43
0.95 -0.04 0.33 0.28 1.75 -1.96 -2.17 -3.6
-0.66 -1.27 1.48 0.73 0.97 0.99 -1.27 -0.7
1.04 -3.19 0.51 0.65 0.16 -5.34 0.92 -0.93
2.59 0.8 0.54 0.23 -1.77 3.3 3.65 3.73
0.84 -0.28 0.39 -0.93 0.52 -0.31 1.7 -0.33
2.16 -1.11 1.6 -0.29 0.69 2.03 1.88 5.58
-0.62 -0.27 0.15 0.1 -0.48 1.08 0.27 0.8
-0.24 0.59 0.39 -1.44 0.91 3.17 1.22 2.2
-0.77 1.55 0.77 0.57 0.15 3.94 -1.35 1.28
-0.79 0.3 -0.39 -0.13 -0.56 -1.9 0.29 0.13
-0.98 1.12 0.56 1.36 -1.48 2.3 -0.39 2.33
-0.3 -1.33 -0.75 1.07 0.48 -4.08 -2.96 -5.26
-0.98 1.12 0.56 1.36 -1.48 3.11 -0.58 2.63
-1.09 1.56 -0.85 -0.66 -0.19 1.61 0.4 2.18
2.56 -0.34 0.9 -1.03 -0.95 1 5.83 6.13
-1.32 0.34 0.11 -0.29 -1.54 2.24 1.68 -1.48
-1.15 0.4 -1.44 -0.22 0.16 -1.91 -2.08 -5.41
1.69 1.67 1.63 -2.08 -0.4 8.01 7.7 10.11
1.1 0.83 -0.21 2.34 -0.4 -1.43 -4.9 -1.62
-0.08 -2.18 0 1.11 1.03 -5.48 -2.07 -5.35
0.12 0.31 1.02 -0.84 0.61 2.66 1.72 2.37
-0.78 -0.14 0.61 -1.08 1.01 2.82 1.14 -0.02
1.33 -0.26 1.3 -1.24 1.29 2.59 3.07 3.12
-1.15 0.4 -1.44 -0.22 0.16 -1.77 -2.98 -5.05
-1.52 1.53 0.14 -0.12 0.55 2 -0.96 -1.08
-2.26 -1.84 1.28 1.94 0.47 -0.94 -3.89 -3.92
-1.32 -0.96 1.75 -0.5 -1.26 7.58 4.85 0.17
1.19 0.43 0.61 2.14 -0.53 1.66 -3.58 1.12
0.12 0.31 1.02 -0.84 0.61 0.64 1.32 5.02
0.38 -1.05 -0.37 -0.64 -0.23 -2.24 2.5 -0.15
-0.66 -1.27 1.48 0.73 0.97 -0.06 -0.73 -1.56
0.17 0.63 1.52 0.14 0.35 4.4 -0.04 2.64
-0.19 0.98 0.55 -1.53 2.05 4.04 -0.06 -0.43
0.89 1.02 -2.09 0.37 0.86 -4.76 -3.52 -1.13
-1.17 -1.63 1.17 0.48 0.43 0.04 -0.44 -0.54
0.63 -0.07 -1.84 -0.75 -0.92 -3.92 1.82 -0.52
-1.19 -0.94 0.61 -0.7 -1.25 3.07 3.77 4.51
0.05 -2.7 0.26 -0.46 -0.78 -2.11 3.99 -0.75
2.16 -1.11 1.6 -0.29 0.69 3.23 3.35 4.93
-0.19 0.98 0.55 -1.53 2.05 1.3 0.27 3.41
-0.78 -0.14 0.61 -1.08 1.01 3.35 0.71 2.24
0.95 -0.04 0.33 0.28 1.75 -1.83 -1.89 -1.75
-2.76 -1.53 -1.18 0.16 0.84 -4.25 -3.35 -8.38
0.63 1.52 -1.48 -0.83 -1.58 -0.5 2.88 4.03
-1.91 -0.31 0.13 -0.32 0.32 0.12 -0.45 -2.37
0.15 -1.01 -0.05 -1.08 -0.28 -0.78 3.62 -0.99
