ID Salary Experience Employed Education Gender Department
179 47727 5 15 6 M 3
51 42492 5 7 4 F 4
139 68873 0 27 12 F 4
110 39053 6 18 5 F 1
32 48695 19 6 8 M 4
140 49570 3 20 4 M 4
9 29548 6 5 1 M 1
14 35467 6 3 6 F 2
3 32782 1 0 7 M 1
29 41889 16 22 7 M 1
5 34869 5 7 4 F 4
8 32920 3 15 9 F 1
88 37605 1 6 4 M 2
83 47366 6 9 5 F 4
171 38373 6 9 2 F 4
118 38210 7 18 9 M 1
15 68425 2 25 12 M 4
43 56326 3 12 8 M 2
146 32821 3 15 9 F 1
77 76869 3 22 10 M 4
27 53234 0 25 6 M 3
64 32820 6 18 5 F 1
10 34231 2 6 6 M 4
95 32007 1 0 7 M 1
100 32145 3 15 9 F 1
106 35317 6 3 6 F 2
13 36512 6 6 4 F 4
12 39331 3 9 6 F 4
34 28985 1 0 4 F 1
102 34524 2 6 6 M 4
61 76048 2 25 12 M 4
4 54899 5 12 8 F 4
33 34987 6 9 2 F 4
56 41854 2 6 6 M 4
128 54745 3 20 6 F 3
117 43524 9 6 4 M 2
127 35924 4 6 4 M 4
115 46504 5 14 6 F 4
172 28886 1 0 4 F 1
174 54870 3 20 6 F 3
98 35780 2 8 2 F 4
45 24749 2 6 0 F 1
157 39873 5 6 2 M 4
20 37548 9 19 4 M 3
168 38692 4 21 5 M 1
175 43129 6 9 5 F 4
145 29934 1 5 0 M 4
91 17741 2 6 0 F 1
114 34925 4 5 4 M 4
18 39828 6 18 5 F 1
