ID Salary Experience Employed Education Gender Department
154 35480 5 9 4 F 2
175 43129 6 9 5 F 4
10 34231 2 6 6 M 4
136 31491 6 7 5 F 3
180 36583 1 6 4 M 2
124 48988 19 6 8 M 4
2 46184 3 20 4 M 4
167 41790 16 22 7 M 1
107 68718 2 25 12 M 4
106 35317 6 3 6 F 2
90 31396 6 7 5 F 3
11 23654 0 0 0 F 3
57 23625 0 0 0 F 3
120 51991 6 18 6 M 4
112 37614 9 19 4 M 3
87 47507 5 15 6 M 3
71 44708 9 6 4 M 2
174 54870 3 20 6 F 3
146 32821 3 15 9 F 1
33 34987 6 9 2 F 4
42 36571 1 6 4 M 2
137 23974 2 6 0 F 1
82 54650 3 20 6 F 3
46 26452 3 1 2 F 4
182 31616 6 7 5 F 3
43 56326 3 12 8 M 2
48 53807 3 20 4 M 4
101 28773 6 5 1 M 1
125 35280 6 9 2 F 4
113 30753 11 3 3 M 1
23 46211 5 14 6 F 4
117 43524 9 6 4 M 2
69 53834 5 14 6 F 4
49 25774 1 0 7 M 1
123 69539 3 22 10 M 4
103 23720 0 0 0 F 3
56 41854 2 6 6 M 4
178 26590 6 0 2 F 2
147 29449 6 5 1 M 1
64 32820 6 18 5 F 1
98 35780 2 8 2 F 4
169 72632 3 22 10 M 4
155 36769 4 4 8 M 3
119 53300 0 25 6 M 3
40 26578 6 0 2 F 2
115 46504 5 14 6 F 4
78 56318 19 6 8 M 4
18 39828 6 18 5 F 1
54 25912 3 15 9 F 1
138 26745 3 1 2 F 4
